osmid,highway,junction,oneway,reversed,length,geometry,ref,maxspeed,lanes,name
36892138,secondary,roundabout,True,False,12.917,"LINESTRING (-0.5252329 35.6561207, -0.5252252 35.656063, -0.5251964 35.6560098)",,,,
103845897,secondary,,False,False,99.01,"LINESTRING (-0.5177721 35.6580279, -0.5188112 35.657745)",CW 74,,,
154408076,residential,,False,True,32.763,"LINESTRING (-0.5177721 35.6580279, -0.5176321 35.6577561)",,,,
"[103845897, 154405404]","['residential', 'secondary']",,False,"[False, True]",152.12300000000002,"LINESTRING (-0.5177721 35.6580279, -0.5172198 35.6582122, -0.5167995 35.6584855, -0.5165052 35.6587234, -0.5166002 35.6587993)",CW 74,,,
103845897,secondary,,False,False,52.013,"LINESTRING (-0.5238626 35.6564099, -0.5244132 35.6562733)",CW 74,,,
103845897,secondary,,False,True,58.128,"LINESTRING (-0.5238626 35.6564099, -0.5232485 35.6565658)",CW 74,,,
154405394,residential,,False,False,48.301,"LINESTRING (-0.5238626 35.6564099, -0.5240209 35.6568248)",,,,
103845897,secondary,,False,True,52.013,"LINESTRING (-0.5244132 35.6562733, -0.5238626 35.6564099)",CW 74,,,
67171339,secondary,,True,False,39.937999999999995,"LINESTRING (-0.5244132 35.6562733, -0.524662 35.6562608, -0.5247532 35.6562635, -0.5248547 35.6562642)",,,,
36892138,secondary,roundabout,True,False,25.848,"LINESTRING (-0.5251964 35.6560098, -0.5251493 35.6559661, -0.5250882 35.6559358, -0.5250188 35.6559219, -0.5249474 35.6559256)",,,,
36892263,secondary,,False,True,80.007,"LINESTRING (-0.5251964 35.6560098, -0.5254118 35.6560216, -0.5260779 35.6559657)",,,,
67171291,primary_link,,True,False,36.153999999999996,"LINESTRING (-0.5251964 35.6560098, -0.525238 35.6559115, -0.5254032 35.6557357)",,40,,
36892138,secondary,roundabout,True,False,26.433999999999997,"LINESTRING (-0.5249474 35.6559256, -0.5248792 35.6559472, -0.5248225 35.6559847, -0.5247828 35.6560346, -0.5247638 35.656092)",,,,
67171279,secondary,,True,False,50.79299999999999,"LINESTRING (-0.5249474 35.6559256, -0.5248303 35.6559202, -0.5247015 35.6559551, -0.5245621 35.6559551, -0.5243936 35.6559386)",,,,
