osmid,highway,oneway,reversed,length,tunnel,geometry,name,ref,junction,lanes,maxspeed
"[438761089, 438761091, 41937381, 37782104, 37782105]",primary,False,False,259.88,yes,"LINESTRING (5.4080292 36.1860037, 5.4078407 36.1859763, 5.407624 36.1859589, 5.4071111 36.1859405, 5.407009 36.1859391, 5.4061863 36.1859276, 5.4061339 36.1859269, 5.406099 36.1859264, 5.4058231 36.1859298, 5.4056691 36.1859441, 5.4055451 36.1859768, 5.4054175 36.1860376, 5.4052293 36.1861719)",,,,,
"[438761089, 438761091, 41937381, 37782104, 37782105]",primary,False,True,259.88,yes,"LINESTRING (5.4052293 36.1861719, 5.4054175 36.1860376, 5.4055451 36.1859768, 5.4056691 36.1859441, 5.4058231 36.1859298, 5.406099 36.1859264, 5.4061339 36.1859269, 5.4061863 36.1859276, 5.407009 36.1859391, 5.4071111 36.1859405, 5.407624 36.1859589, 5.4078407 36.1859763, 5.4080292 36.1860037)",,,,,
1096140533,primary,True,False,20.877,,"LINESTRING (5.4052293 36.1861719, 5.4051961 36.1862158, 5.4051564 36.186276, 5.4051249 36.1863392)",شارع ابن سينا,,,,
41937380,primary,True,False,189.303,,"LINESTRING (5.4051249 36.1863392, 5.4049284 36.1865574, 5.4048369 36.1866394, 5.4047212 36.1867083, 5.40458 36.1867524, 5.4039116 36.1869074, 5.4037892 36.1869583, 5.403709 36.1870886, 5.4036942 36.1873545)",شارع ابن سينا,,,,
41937380,primary,True,False,12.73,,"LINESTRING (5.4035444 36.1891967, 5.4035389 36.1893111)",شارع ابن سينا,,,,
1096937612,primary,True,False,24.395000000000003,,"LINESTRING (5.406855 36.1858185, 5.4068859 36.1858872, 5.4068892 36.1859603, 5.4068646 36.1860307)",دوار ميلود,RN 28,roundabout,,
1096937612,primary,True,False,14.57,,"LINESTRING (5.4068646 36.1860307, 5.4068208 36.1860858, 5.4067598 36.1861291)",دوار ميلود,RN 28,roundabout,,
1096937612,primary,True,False,14.928,,"LINESTRING (5.4067598 36.1861291, 5.4066845 36.1861576, 5.4066023 36.1861678)",دوار ميلود,RN 28,roundabout,,
51734515,residential,True,False,143.012,,"LINESTRING (5.4064186 36.1861171, 5.406355 36.186178, 5.4062612 36.1862092, 5.4061485 36.1862147, 5.4061007 36.1862171, 5.4056183 36.1861966, 5.4053135 36.1864945, 5.4051633 36.1866764)",شارع فلاحي لعيد,,,,
1096937612,primary,True,False,14.482999999999999,,"LINESTRING (5.4064186 36.1861171, 5.4063718 36.1860797, 5.406325 36.1860125)",دوار ميلود,RN 28,roundabout,,
37782389,primary,True,False,121.22400000000002,,"LINESTRING (5.406325 36.1860125, 5.4061626 36.1859828, 5.4060259 36.1859817, 5.4059698 36.1859812, 5.4057735 36.1859983, 5.4056582 36.1860124, 5.4055602 36.1860454, 5.4053714 36.1861423, 5.4052445 36.1862319, 5.4051249 36.1863392)",Boulevard Ibn Sina,,,,
1096937612,primary,True,False,20.743,,"LINESTRING (5.406325 36.1860125, 5.4063086 36.1859517, 5.4063124 36.1858896, 5.4063362 36.1858305)",دوار ميلود,RN 28,roundabout,,
1096937612,primary,True,False,22.003,,"LINESTRING (5.4064213 36.1857457, 5.4064529 36.1857286, 5.4065163 36.1857065, 5.4065843 36.185697, 5.4066532 36.1857007)",دوار ميلود,RN 28,roundabout,,
51776856,secondary,False,True,11.718,,"LINESTRING (5.4035529 36.1930351, 5.4036708 36.1929898)",Boulevard du Sipion,,,,
51776856,secondary,False,False,63.06,,"LINESTRING (5.4035529 36.1930351, 5.4030479 36.1931805, 5.402887 36.1932152)",Boulevard du Sipion,,,,
461380669,primary,True,False,37.835,,"LINESTRING (5.4035529 36.1930351, 5.4034771 36.1929086, 5.4034231 36.1928079, 5.4033931 36.1927212)",شارع ابن سينا,,,2,50
634345598,primary,True,False,9.469,,"LINESTRING (5.403439 36.1891928, 5.4035444 36.1891967)",نهج سعيد بوخريسة,RN 5,,2,40
461380669,primary,True,False,205.521,,"LINESTRING (5.403439 36.1891928, 5.4034806 36.1886213, 5.4035508 36.1876564, 5.4035572 36.1873472)",شارع ابن سينا,,,2,50
41937379,primary,True,False,24.175999999999995,,"LINESTRING (5.405019 36.1863071, 5.4050794 36.1862745, 5.405137 36.186239, 5.4051918 36.1862006, 5.4052293 36.1861719)",,,,,
461380669,primary,True,False,137.715,,"LINESTRING (5.405019 36.1863071, 5.4051271 36.1861944, 5.4052626 36.1860677, 5.4054492 36.1859462, 5.4055816 36.1858891, 5.4056903 36.1858653, 5.4058233 36.1858484, 5.4060606 36.1858421, 5.4063362 36.1858305)",شارع ابن سينا,,,2,50
51566403,residential,False,False,126.419,,"LINESTRING (5.397184 36.189576, 5.3971571 36.1884393)",,,,,
51566399,residential,False,False,38.559,,"LINESTRING (5.3971571 36.1884393, 5.3975865 36.1884272)",,,,,
51566403,residential,False,False,74.328,,"LINESTRING (5.3971571 36.1884393, 5.3971346 36.1877711)",,,,,
51566403,residential,False,True,126.419,,"LINESTRING (5.3971571 36.1884393, 5.397184 36.189576)",,,,,
51566399,residential,False,False,27.053,,"LINESTRING (5.3975865 36.1884272, 5.3978877 36.1884173)",,,,,
51566399,residential,False,True,38.559,,"LINESTRING (5.3975865 36.1884272, 5.3971571 36.1884393)",,,,,
51566400,residential,False,False,138.028,,"LINESTRING (5.3975865 36.1884272, 5.397566 36.187186)",,,,,
51566399,residential,False,False,42.511,,"LINESTRING (5.3978877 36.1884173, 5.398361 36.1884016)",,,,,
51566399,residential,False,True,27.053,,"LINESTRING (5.3978877 36.1884173, 5.3975865 36.1884272)",,,,,
51566401,residential,False,True,104.442,,"LINESTRING (5.3978877 36.1884173, 5.3978555 36.1876372, 5.398052 36.1876303)",,,,,
51566399,residential,False,True,6.628,,"LINESTRING (5.3984348 36.1883992, 5.398361 36.1884016)",,,,,
51566400,residential,False,True,138.028,,"LINESTRING (5.397566 36.187186, 5.3975865 36.1884272)",,,,,
51566408,residential,False,False,40.47,,"LINESTRING (5.397566 36.187186, 5.3971152 36.1871951)",,,,,
51566408,residential,False,True,42.068,,"LINESTRING (5.397566 36.187186, 5.3980346 36.1871765)",,,,,
51566401,residential,False,False,37.917,,"LINESTRING (5.3988407 36.1876026, 5.3984186 36.1876174)",,,,,
216654455,secondary,False,True,44.307,,"LINESTRING (5.3988407 36.1876026, 5.3988318 36.1872042)",Rue Derouiche Abdelkrim,,,,
216654455,secondary,False,False,173.195,,"LINESTRING (5.3988407 36.1876026, 5.3988786 36.1890602, 5.398888 36.1891127, 5.3989081 36.1891564)",Rue Derouiche Abdelkrim,,,,
51566403,residential,False,True,64.072,,"LINESTRING (5.3971152 36.1871951, 5.3971346 36.1877711)",,,,,
51566408,residential,False,True,40.47,,"LINESTRING (5.3971152 36.1871951, 5.397566 36.187186)",,,,,
51566406,residential,False,False,30.993,,"LINESTRING (5.3988318 36.1872042, 5.399177 36.1872123)",,,,,
216654455,secondary,False,False,44.307,,"LINESTRING (5.3988318 36.1872042, 5.3988407 36.1876026)",Rue Derouiche Abdelkrim,,,,
