osmid,ref,highway,oneway,reversed,length,geometry,name,junction
388159164,RN 77,primary,False,False,46.554,"LINESTRING (5.8099343 36.7741247, 5.8101529 36.774505)",,
388159164,RN 77,primary,False,True,16.291,"LINESTRING (5.8099343 36.7741247, 5.8098552 36.7739926)",,
728255671,,residential,False,False,70.435,"LINESTRING (5.8099343 36.7741247, 5.8103165 36.7740656, 5.8104433 36.7740468, 5.8106062 36.7740248, 5.8107128 36.7740144)",,
333552394,,tertiary,False,False,13.157,"LINESTRING (5.8092265 36.7671822, 5.8091974 36.7670662)",,
124849308,CW 153,secondary,False,False,33.181,"LINESTRING (5.8092265 36.7671822, 5.8092611 36.767287, 5.8093107 36.7674728)",,
124849308,CW 153,secondary,False,True,230.29500000000004,"LINESTRING (5.8092265 36.7671822, 5.8093053 36.7671559, 5.8094273 36.7671086, 5.8095816 36.7670377, 5.8097197 36.7669851, 5.8098511 36.7669496, 5.8099692 36.766926, 5.8100979 36.7669013, 5.8102615 36.7668508, 5.8103769 36.7667831, 5.8104908 36.7667015, 5.8105834 36.766652, 5.8106907 36.7666252, 5.8108288 36.7666112, 5.8109696 36.7666263, 5.8111386 36.7666671, 5.8113572 36.76671, 5.8116187 36.7667342)",,
124849308,CW 153,secondary,False,False,80.015,"LINESTRING (5.8121753 36.7662116, 5.8121109 36.7663534, 5.8120318 36.7664898, 5.8119392 36.7665747, 5.8118051 36.7666671, 5.8116589 36.7667229, 5.8116187 36.7667342)",,
124849308,CW 153,secondary,False,True,115.703,"LINESTRING (5.8113062 36.7713317, 5.8113518 36.7702918)",,
388161935,,tertiary,False,False,99.927,"LINESTRING (5.8113062 36.7713317, 5.812427 36.7713713)",Boulevard des frères Haouch,
124849308,CW 153,secondary,False,False,38.177,"LINESTRING (5.8113062 36.7713317, 5.811321 36.771438, 5.8113364 36.7714982, 5.8113592 36.7715573, 5.8113807 36.7716072, 5.8114149 36.7716609)",,
