osmid,lanes,ref,highway,oneway,reversed,length,geometry,maxspeed,junction,name
116854607,2,RN 25,secondary,False,True,21.975,"LINESTRING (3.6690602 36.2947233, 3.6692623 36.2946114)",,,
652964710,1,RN 25,secondary,True,False,23.817,"LINESTRING (3.6690602 36.2947233, 3.6689804 36.2948062, 3.6689161 36.2949024)",,,
116854607,2,RN 25,secondary,False,False,21.975,"LINESTRING (3.6692623 36.2946114, 3.6690602 36.2947233)",,,
116854607,2,RN 25,secondary,False,True,72.428,"LINESTRING (3.6692623 36.2946114, 3.6695298 36.294463, 3.6699418 36.2942592)",,,
242287201,,,residential,False,True,83.08099999999999,"LINESTRING (3.6692623 36.2946114, 3.6687944 36.294262, 3.6685823 36.2941036)",,,
242287197,,,residential,False,True,74.847,"LINESTRING (3.6762641 36.2965744, 3.676938 36.2961768)",,,
103362240,2,,primary,False,True,159.18900000000002,"LINESTRING (3.6762641 36.2965744, 3.6760939 36.2963933, 3.6756743 36.2958857, 3.6752427 36.2954036)",50,,
103362240,2,,primary,False,True,38.029,"LINESTRING (3.6752427 36.2954036, 3.675016 36.2951145)",50,,
242287176,,,residential,False,False,80.062,"LINESTRING (3.6752427 36.2954036, 3.6759946 36.2950148)",,,
242287176,,,residential,False,True,75.564,"LINESTRING (3.6752427 36.2954036, 3.6745551 36.2957969)",,,
103362240,2,,primary,False,False,159.18900000000002,"LINESTRING (3.6752427 36.2954036, 3.6756743 36.2958857, 3.6760939 36.2963933, 3.6762641 36.2965744)",50,,
103362240,2,,primary,False,False,96.508,"LINESTRING (3.6730416 36.2926155, 3.6736075 36.2933539)",50,,
116854607,2,RN 25,secondary,False,False,78.921,"LINESTRING (3.6730416 36.2926155, 3.6723135 36.2930147)",,,
242203590,2,RN 25,primary,False,True,27.785,"LINESTRING (3.6730416 36.2926155, 3.6728617 36.292412)",50,,
563437373,,CW 225,secondary,False,True,74.486,"LINESTRING (3.6730416 36.2926155, 3.6737349 36.2922461)",,,
180301534,,,residential,False,False,127.712,"LINESTRING (3.6745551 36.2957969, 3.6753915 36.2967268)",,,
180301534,,,residential,False,True,38.859,"LINESTRING (3.6745551 36.2957969, 3.6743262 36.2955001)",,,
242287176,,,residential,False,False,75.564,"LINESTRING (3.6745551 36.2957969, 3.6752427 36.2954036)",,,
242287176,,,residential,False,True,215.71800000000002,"LINESTRING (3.6745551 36.2957969, 3.6738498 36.2961621, 3.6737332 36.296186, 3.6736688 36.2961859, 3.6736178 36.2961687, 3.6735655 36.296129, 3.6728708 36.2952848)",,,
242287183,,,residential,False,False,10.42,"LINESTRING (3.6706686 36.2949365, 3.6705831 36.295)",,,
242287183,,,residential,False,True,96.307,"LINESTRING (3.6706686 36.2949365, 3.671541 36.2944308)",,,
180301531,,,residential,False,False,52.61,"LINESTRING (3.6706686 36.2949365, 3.6705241 36.2947252, 3.6703714 36.2945287)",,,
733465114,,,residential,False,False,56.412,"LINESTRING (3.6712493 36.2957909, 3.6708917 36.2953734)",,,
180301530,,,residential,False,False,130.011,"LINESTRING (3.6712493 36.2957909, 3.6719338 36.2953977, 3.6716474 36.2949635)",,,
180301530,,,residential,False,True,76.613,"LINESTRING (3.6712493 36.2957909, 3.6711714 36.2958207, 3.6710392 36.2958504, 3.6704092 36.2958842)",,,
103362240,2,,primary,False,False,27.031,"LINESTRING (3.6736075 36.2933539, 3.6737723 36.2935575)",50,,
103362240,2,,primary,False,True,96.508,"LINESTRING (3.6736075 36.2933539, 3.6730416 36.2926155)",50,,
242287183,,,residential,False,False,76.262,"LINESTRING (3.6736075 36.2933539, 3.6728885 36.2937207)",,,
242287183,,,residential,False,True,76.813,"LINESTRING (3.6736075 36.2933539, 3.6743357 36.2929896)",,,
180301530,,,residential,False,False,23.347,"LINESTRING (3.6701487 36.2958828, 3.6704092 36.2958842)",,,
180301530,,,residential,False,True,36.083,"LINESTRING (3.6701487 36.2958828, 3.6697481 36.2959153)",,,
242287183,,,residential,False,True,110.279,"LINESTRING (3.6701487 36.2958828, 3.6701361 36.2956869, 3.6701404 36.2955889, 3.6701754 36.2954627, 3.670242 36.2953677, 3.6705831 36.295)",,,
