osmid,name,highway,junction,oneway,reversed,length,ref,geometry,maxspeed
345103664,ساحة الشباب,primary,roundabout,True,False,2.858,,"LINESTRING (6.8607311 33.3610954, 6.8607517 33.3611145)",
1028684634,نهــــــــج الشهيد محمد خميستـــــــي,primary,,False,True,65.512,CW 403,"LINESTRING (6.8607311 33.3610954, 6.860807 33.3610286, 6.860872 33.3609727, 6.8609633 33.3608933, 6.8610424 33.3608261, 6.8612216 33.360672)",
205288040,,residential,,False,False,238.13600000000002,,"LINESTRING (6.8655713 33.3630008, 6.865228 33.3632444, 6.8651448 33.3633307, 6.8650737 33.3634382, 6.865 33.3636185, 6.8649732 33.3637171, 6.8649705 33.3638314, 6.8649892 33.363912, 6.8649182 33.3644754, 6.8649209 33.3649526)",
618629932,,secondary,,False,False,62.02799999999999,CW 406,"LINESTRING (6.8655713 33.3630008, 6.8654922 33.3629487, 6.8654506 33.3629034, 6.865403 33.3628429, 6.8653433 33.3627594, 6.8652783 33.3626457, 6.8652119 33.3625382)",
205288019,نهج الشهيد محمد بوضياف,secondary,,False,False,6.605,,"LINESTRING (6.8575408 33.3638672, 6.8574898 33.3638258)",
205288015,نهــــــــج الشهيد محمد خميستـــــــي,primary,,True,False,58.373999999999995,RN 48,"LINESTRING (6.8575408 33.3638672, 6.8573409 33.364042, 6.8571075 33.3642475)",40
205288019,نهج الشهيد محمد بوضياف,secondary,,False,True,83.878,,"LINESTRING (6.8575408 33.3638672, 6.8578667 33.3639568, 6.8580462 33.364004, 6.8581462 33.3640264, 6.8584031 33.3640912)",
205288019,نهج الشهيد محمد بوضياف,secondary,,False,False,33.875,,"LINESTRING (6.8591716 33.3642726, 6.8588201 33.3641912)",
205288019,نهج الشهيد محمد بوضياف,secondary,,False,True,56.594,,"LINESTRING (6.8591716 33.3642726, 6.8597522 33.3644272)",
344259635,,residential,,False,False,56.534,,"LINESTRING (6.8591716 33.3642726, 6.8587907 33.3646692)",
344259637,,residential,,False,False,38.658,,"LINESTRING (6.8591716 33.3642726, 6.8592527 33.3639316)",
205288019,نهج الشهيد محمد بوضياف,secondary,,False,False,33.65,,"LINESTRING (6.8600929 33.3645302, 6.8597522 33.3644272)",
318812513,,residential,,False,False,37.353,,"LINESTRING (6.8600929 33.3645302, 6.8602458 33.3642195)",
205288019,نهج الشهيد محمد بوضياف,secondary,,False,True,66.036,,"LINESTRING (6.8600929 33.3645302, 6.8603732 33.3646199, 6.8604671 33.3646546, 6.8605811 33.364733, 6.8607017 33.3648215)",
205288019,نهج الشهيد محمد بوضياف,secondary,,False,False,50.183,,"LINESTRING (6.8610966 33.3654713, 6.8610739 33.3653799, 6.8609867 33.3651446, 6.8609384 33.3650405)",
244592239,,residential,,False,False,75.314,,"LINESTRING (6.8622266 33.3598057, 6.8614489 33.3596138)",30
244661442,,residential,,False,True,106.901,,"LINESTRING (6.8622266 33.3598057, 6.8633211 33.3601033)",
1028684634,نهــــــــج الشهيد محمد خميستـــــــي,primary,,False,False,99.62800000000001,CW 403,"LINESTRING (6.8622266 33.3598057, 6.8619771 33.3600247, 6.8614823 33.3604509)",
1028684634,نهــــــــج الشهيد محمد خميستـــــــي,primary,,False,True,192.044,CW 403,"LINESTRING (6.8622266 33.3598057, 6.8628434 33.3592826, 6.863405 33.3588155, 6.8636825 33.3585793)",
244592239,,residential,,False,False,37.897,,"LINESTRING (6.8597056 33.3591537, 6.859316 33.3590524)",30
244592239,,residential,,False,True,39.353,,"LINESTRING (6.8597056 33.3591537, 6.8601098 33.3592599)",30
343987827,,residential,,False,True,38.266,,"LINESTRING (6.8597056 33.3591537, 6.8598414 33.3588288)",
343987828,,residential,,False,False,19.833,,"LINESTRING (6.8597056 33.3591537, 6.8595991 33.3593083)",
244592239,,residential,,False,False,5.594,,"LINESTRING (6.8585077 33.3588295, 6.8584547 33.3588056)",30
244592239,,residential,,False,True,41.534,,"LINESTRING (6.8585077 33.3588295, 6.8586002 33.3588681, 6.8587008 33.3588984, 6.8589277 33.3589552)",30
729003090,شارع الشهيد بن جار الله محمود,tertiary,,True,False,115.213,,"LINESTRING (6.8585077 33.3588295, 6.8584943 33.3588664, 6.8584742 33.3588967, 6.8581443 33.3592747, 6.8577952 33.3596749)",30
244592239,,residential,,False,False,21.435,,"LINESTRING (6.8565973 33.3576773, 6.85642 33.3575539)",30
244592239,,residential,,False,True,23.955,,"LINESTRING (6.8565973 33.3576773, 6.8568027 33.3578076)",30
244806647,,residential,,False,False,50.976,,"LINESTRING (6.8565973 33.3576773, 6.8564867 33.35779, 6.8564789 33.3578018, 6.8564741 33.3578147, 6.8564723 33.3578281, 6.8564737 33.3578416, 6.8564783 33.3578545, 6.8564808 33.3578721, 6.8564806 33.3578897, 6.8564772 33.3579072, 6.8564709 33.357924, 6.8564616 33.3579398, 6.8563489 33.3580654)",
