osmid,highway,oneway,reversed,length,geometry,junction,name,bridge
183459530,secondary,False,True,416.828,"LINESTRING (4.5040381 36.4623281, 4.5040347 36.4622226, 4.5040405 36.4618686, 4.5040347 36.4614091, 4.5039764 36.4611278, 4.5038889 36.4609731, 4.5036995 36.4607621, 4.5032336 36.4603867, 4.5025598 36.4598572, 4.5019811 36.4593821, 4.5018515 36.4592594)",,,
301963075,secondary,True,False,10.891,"LINESTRING (4.5040381 36.4623281, 4.5040497 36.4623225, 4.5040629 36.4623203, 4.5040763 36.4623217, 4.5040884 36.4623267, 4.5040978 36.4623345, 4.5041033 36.4623445, 4.5041045 36.4623553, 4.5041012 36.4623659, 4.5040937 36.4623749)",roundabout,,
183459530,secondary,False,False,27.896,"LINESTRING (4.5016883 36.4590475, 4.5017776 36.4591894, 4.5018515 36.4592594)",,,
367999770,tertiary,False,False,131.829,"LINESTRING (4.5016883 36.4590475, 4.5015887 36.4588851, 4.501545 36.4587375, 4.5014896 36.4585499, 4.5014371 36.4584514, 4.5013322 36.4583366, 4.5011719 36.4582545, 4.5010174 36.458156, 4.500895 36.4581467)",,Abrid n Ighil Nacer,
301963075,secondary,True,False,5.829,"LINESTRING (4.5040937 36.4623749, 4.5040833 36.4623813, 4.504071 36.4623847, 4.504058 36.4623847, 4.5040456 36.4623814, 4.5040352 36.4623751)",roundabout,,
301963075,secondary,True,False,5.826,"LINESTRING (4.5040352 36.4623751, 4.5040279 36.4623664, 4.5040243 36.4623564, 4.504025 36.4623459, 4.5040297 36.4623361, 4.5040381 36.4623281)",roundabout,,
301963076,tertiary,False,False,72.82,"LINESTRING (4.5040352 36.4623751, 4.5039129 36.4626049, 4.5037271 36.4628194, 4.5036137 36.4629302)",,,
301963078,tertiary,False,False,355.446,"LINESTRING (4.5024355 36.4652416, 4.5023636 36.465256, 4.5022497 36.4652175, 4.5020519 36.46515, 4.50195 36.4651428, 4.5017523 36.465162, 4.5015275 36.4651982, 4.5012548 36.4652584, 4.5008682 36.4653187, 4.4997654 36.4655284, 4.4994747 36.4655838, 4.4992919 36.4656344, 4.499223 36.4656754, 4.499163 36.4657308, 4.4990222 36.4659887, 4.4989518 36.4661413)",,,
"[301963076, 301963077, 301963078]",tertiary,False,True,462.72299999999996,"LINESTRING (4.5024355 36.4652416, 4.5024685 36.4651789, 4.5024145 36.4651066, 4.5022198 36.4650319, 4.501977 36.4649524, 4.5016534 36.4648608, 4.5015125 36.4647837, 4.5014556 36.4646752, 4.5014676 36.4645957, 4.5016384 36.4643137, 4.5016923 36.4642679, 4.5018541 36.4642173, 4.502025 36.4641787, 4.5021239 36.4641763, 4.5023157 36.4641835, 4.502897 36.464251, 4.5030289 36.4642486, 4.5031667 36.4642004, 4.5032836 36.4641161, 4.5033525 36.4640413, 4.5033705 36.4639498, 4.5033316 36.4637039, 4.5033016 36.463393, 4.5033076 36.4632605, 4.5033466 36.4631737, 4.5035174 36.4630243, 4.5036137 36.4629302)",,,yes
542850611,residential,False,True,113.36500000000001,"LINESTRING (4.5024355 36.4652416, 4.5024361 36.465418, 4.5024574 36.4655973, 4.5024397 36.4658108, 4.5025175 36.4659104, 4.5025388 36.4660414, 4.5025317 36.4662406)",,,
183459530,secondary,False,False,416.82800000000003,"LINESTRING (4.5018515 36.4592594, 4.5019811 36.4593821, 4.5025598 36.4598572, 4.5032336 36.4603867, 4.5036995 36.4607621, 4.5038889 36.4609731, 4.5039764 36.4611278, 4.5040347 36.4614091, 4.5040405 36.4618686, 4.5040347 36.4622226, 4.5040381 36.4623281)",,,
183459530,secondary,False,True,27.896,"LINESTRING (4.5018515 36.4592594, 4.5017776 36.4591894, 4.5016883 36.4590475)",,,
367999769,tertiary,False,False,384.24800000000005,"LINESTRING (4.5018515 36.4592594, 4.5021242 36.4592509, 4.5024506 36.4593236, 4.5027071 36.4594174, 4.5030919 36.4595979, 4.503465 36.459769, 4.503809 36.4599777, 4.5041471 36.4602285, 4.504526 36.4604981, 4.5048292 36.4607372, 4.5051002 36.460913, 4.5053567 36.4611147)",,,
367999769,tertiary,False,True,384.248,"LINESTRING (4.5053567 36.4611147, 4.5051002 36.460913, 4.5048292 36.4607372, 4.504526 36.4604981, 4.5041471 36.4602285, 4.503809 36.4599777, 4.503465 36.459769, 4.5030919 36.4595979, 4.5027071 36.4594174, 4.5024506 36.4593236, 4.5021242 36.4592509, 4.5018515 36.4592594)",,,
367999770,tertiary,False,True,131.829,"LINESTRING (4.500895 36.4581467, 4.5010174 36.458156, 4.5011719 36.4582545, 4.5013322 36.4583366, 4.5014371 36.4584514, 4.5014896 36.4585499, 4.501545 36.4587375, 4.5015887 36.4588851, 4.5016883 36.4590475)",,Abrid n Ighil Nacer,
301963078,tertiary,False,True,355.44599999999997,"LINESTRING (4.4989518 36.4661413, 4.4990222 36.4659887, 4.499163 36.4657308, 4.499223 36.4656754, 4.4992919 36.4656344, 4.4994747 36.4655838, 4.4997654 36.4655284, 4.5008682 36.4653187, 4.5012548 36.4652584, 4.5015275 36.4651982, 4.5017523 36.465162, 4.50195 36.4651428, 4.5020519 36.46515, 4.5022497 36.4652175, 4.5023636 36.465256, 4.5024355 36.4652416)",,,
