osmid,oneway,ref,highway,reversed,length,geometry,junction,bridge,name
190574952,True,RN 17,trunk,False,86.92099999999999,"LINESTRING (-0.0503716 35.3157394, -0.0504111 35.3161413, -0.0504576 35.3165179)",,,
398214960,True,,trunk,False,12.253,"LINESTRING (-0.0503716 35.3157394, -0.0503909 35.315756, -0.0504149 35.3157646, -0.0504404 35.315764, -0.0504639 35.3157542, -0.0504821 35.3157359)",roundabout,,
190574956,True,,secondary,False,66.346,"LINESTRING (-0.0504694 35.3156417, -0.0504434 35.3154932, -0.0504205 35.3153443, -0.0504022 35.3152889, -0.0503524 35.3152502, -0.0502694 35.315207, -0.0501509 35.3151722)",,,
398214960,True,,trunk,False,14.026,"LINESTRING (-0.0504694 35.3156417, -0.050446 35.3156294, -0.0504169 35.315627, -0.0503894 35.3156368, -0.0503683 35.315657, -0.0503574 35.3156841)",roundabout,,
"[307950181, 190574951]",False,RN 17,primary,True,129.787,"LINESTRING (-0.0504973 35.3156859, -0.0514567 35.315617, -0.051546 35.3155884, -0.0516614 35.3155515, -0.051763 35.3154802, -0.0518079 35.3153952)",,yes,
398214960,True,,trunk,False,5.573,"LINESTRING (-0.0504973 35.3156859, -0.0504865 35.3156619, -0.0504694 35.3156417)",roundabout,,
190574951,False,RN 17,primary,True,30.526,"LINESTRING (-0.0511989 35.312238, -0.0510826 35.3119804)",,,
190702205,False,,residential,True,44.095,"LINESTRING (-0.0511989 35.312238, -0.0515669 35.312497)",,,
190574951,False,RN 17,primary,False,214.94500000000002,"LINESTRING (-0.0511989 35.312238, -0.0514098 35.3124944, -0.0515766 35.3126954, -0.0516923 35.312918, -0.0517744 35.313176, -0.0518249 35.3135745, -0.0518316 35.3139314, -0.0518369 35.3140469)",,,
190574951,False,RN 17,primary,False,30.526,"LINESTRING (-0.0510826 35.3119804, -0.0511989 35.312238)",,,
190702119,False,,residential,False,66.871,"LINESTRING (-0.0510826 35.3119804, -0.0503501 35.3120466)",,,
190574951,False,RN 17,primary,True,79.084,"LINESTRING (-0.0510826 35.3119804, -0.0510355 35.311757, -0.0509825 35.3112744)",,,
190702066,False,,unclassified,True,67.694,"LINESTRING (-0.0458685 35.3133078, -0.0451511 35.3134749)",,,
