osmid,ref,highway,oneway,reversed,length,geometry,junction,name,lanes,bridge,maxspeed
28844900,CW 122,secondary,False,False,20.849,"LINESTRING (3.4074549 36.6565507, 3.4074701 36.6567378)",,,,,
28844900,CW 122,secondary,False,True,5.117,"LINESTRING (3.4074549 36.6565507, 3.4074616 36.656505)",,,,,
324443225,,residential,False,True,49.376,"LINESTRING (3.4074549 36.6565507, 3.4069103 36.6564713)",,,,,
578672683,RN 29,primary,False,True,162.50900000000001,"LINESTRING (3.4076006 36.6554201, 3.4076772 36.6553771, 3.4081212 36.6552242, 3.4085342 36.6551048, 3.4087513 36.6550496, 3.4088471 36.6550486, 3.4089835 36.6550683, 3.4091148 36.6550902, 3.4092959 36.6551752)",,,,,
578672684,,primary,True,False,14.758000000000003,"LINESTRING (3.4076006 36.6554201, 3.4076208 36.6554411, 3.4076323 36.655466, 3.407634 36.6554925, 3.4076258 36.6555182, 3.4076084 36.6555408)",roundabout,,,,
128980294,,tertiary,False,False,71.168,"LINESTRING (3.4105136 36.655953, 3.4102721 36.656563)",,Route de Seharoua,,,
267777392,RN 29,primary,False,False,23.96,"LINESTRING (3.4105136 36.655953, 3.4107193 36.655978, 3.410778 36.6559899)",,,2,,
"[267777392, 203509800, 578672683]",RN 29,primary,False,"[False, True]",144.083,"LINESTRING (3.4105136 36.655953, 3.4103098 36.6559186, 3.4101288 36.6558592, 3.4099639 36.6557748, 3.4098206 36.6556681, 3.4095424 36.6553409, 3.4094797 36.655271, 3.4092959 36.6551752)",,,2,yes,
324443220,,residential,False,False,125.115,"LINESTRING (3.4092959 36.6551752, 3.4091377 36.6552909, 3.4088534 36.6554684, 3.4081433 36.6558104)",,,,,
578672683,RN 29,primary,False,False,162.50900000000001,"LINESTRING (3.4092959 36.6551752, 3.4091148 36.6550902, 3.4089835 36.6550683, 3.4088471 36.6550486, 3.4087513 36.6550496, 3.4085342 36.6551048, 3.4081212 36.6552242, 3.4076772 36.6553771, 3.4076006 36.6554201)",,,,,
