osmid,highway,oneway,reversed,length,geometry,maxspeed,ref,name
"[293836464, 293768727]",residential,False,"[False, True]",256.20399999999995,"LINESTRING (5.0946929 36.3353352, 5.0943677 36.3353389, 5.0942658 36.3353605, 5.0941531 36.3353994, 5.0939976 36.3354859, 5.0937311 36.3356827, 5.0935443 36.3357881, 5.0933249 36.3358652, 5.0928112 36.335995, 5.0925643 36.3354239)",,,
293768727,residential,False,True,111.257,"LINESTRING (5.0920753 36.3342817, 5.0924802 36.3352276)",,,
255612105,tertiary,False,False,115.93,"LINESTRING (5.0920753 36.3342817, 5.092111 36.3344757, 5.0920786 36.334581, 5.0920166 36.3346838, 5.0918486 36.3347942, 5.0914766 36.3350215, 5.0914067 36.3350678)",,,
255612107,tertiary,False,False,323.87499999999994,"LINESTRING (5.0920753 36.3342817, 5.0917778 36.334269, 5.0915077 36.3342569, 5.0912504 36.3342897, 5.0900724 36.3346039, 5.0898919 36.3346101, 5.0897804 36.3345701, 5.0897162 36.334547, 5.0894613 36.3342225, 5.0894023 36.3341339, 5.0893407 36.3340756, 5.0892681 36.3340431, 5.0891743 36.3340021, 5.0889381 36.3338715)",50,,
314976890,primary,False,False,97.947,"LINESTRING (5.0920753 36.3342817, 5.0919997 36.3342011, 5.0919017 36.3339435, 5.0918493 36.3338453, 5.0918153 36.3338098, 5.0917962 36.3337898, 5.0917201 36.3337456, 5.0915785 36.33369, 5.0914211 36.3336572)",50,RN 103,
375389771,residential,False,False,48.878,"LINESTRING (5.0909091 36.3322767, 5.0913983 36.332082)",,,
255612118,residential,True,False,125.633,"LINESTRING (5.0909091 36.3322767, 5.0900918 36.3329484, 5.0900092 36.3330164, 5.0899024 36.3330546)",50,,
314976890,primary,False,True,175.03399999999996,"LINESTRING (5.0909091 36.3322767, 5.09086 36.3324472, 5.0908455 36.3325241, 5.0908847 36.3328217, 5.0910601 36.3334391, 5.091092 36.3335019, 5.0911687 36.333579, 5.091265 36.3336315, 5.0914211 36.3336572)",50,RN 103,
375389772,primary,False,False,41.081,"LINESTRING (5.0909091 36.3322767, 5.0910174 36.3321075, 5.091052 36.3319306)",50,RN 103,
255612116,residential,True,False,131.807,"LINESTRING (5.091052 36.3319306, 5.0897427 36.3324715)",,,
375389772,primary,False,True,41.081,"LINESTRING (5.091052 36.3319306, 5.0910174 36.3321075, 5.0909091 36.3322767)",50,RN 103,
375389403,primary,True,False,70.78,"LINESTRING (5.0926712 36.3311939, 5.0919969 36.3315257)",50,RN 103,
375389404,primary,False,False,172.36200000000002,"LINESTRING (5.0926712 36.3311939, 5.094335 36.3312242, 5.0944499 36.3312119, 5.0945816 36.331165)",50,RN 103,
255612108,residential,False,False,90.137,"LINESTRING (5.0945816 36.331165, 5.0946953 36.3308919, 5.0948133 36.3307147, 5.0949281 36.3305868, 5.0950835 36.3304814)",,,
375389404,primary,False,True,172.36200000000002,"LINESTRING (5.0945816 36.331165, 5.0944499 36.3312119, 5.094335 36.3312242, 5.0926712 36.3311939)",50,RN 103,
255612105,tertiary,False,False,72.878,"LINESTRING (5.0911947 36.3352084, 5.0904668 36.3355012)",,,
255612105,tertiary,False,True,24.598,"LINESTRING (5.0911947 36.3352084, 5.0914067 36.3350678)",,,
293830461,residential,False,True,60.641,"LINESTRING (5.0911947 36.3352084, 5.0914026 36.3357274)",,,
293827563,residential,False,True,34.216,"LINESTRING (5.0889381 36.3338715, 5.0886492 36.3340728)",,,
255612107,tertiary,False,False,71.34299999999999,"LINESTRING (5.0889381 36.3338715, 5.0887647 36.333749, 5.0886973 36.3336575, 5.0885495 36.333329)",50,,
255612107,tertiary,False,True,323.87499999999994,"LINESTRING (5.0889381 36.3338715, 5.0891743 36.3340021, 5.0892681 36.3340431, 5.0893407 36.3340756, 5.0894023 36.3341339, 5.0894613 36.3342225, 5.0897162 36.334547, 5.0897804 36.3345701, 5.0898919 36.3346101, 5.0900724 36.3346039, 5.0912504 36.3342897, 5.0915077 36.3342569, 5.0917778 36.334269, 5.0920753 36.3342817)",50,,
255612107,tertiary,False,False,150.69000000000003,"LINESTRING (5.0879949 36.3327268, 5.0878769 36.3327175, 5.0877549 36.3327392, 5.087662 36.3327724, 5.0871526 36.3330874, 5.0870478 36.3331019, 5.0869531 36.3330808, 5.0868807 36.33304, 5.0867908 36.332944, 5.0867372 36.3328531, 5.0867113 36.3327523)",50,,
255612107,tertiary,False,True,86.687,"LINESTRING (5.0879949 36.3327268, 5.0880593 36.3327435, 5.0881546 36.3327813, 5.0882387 36.3328475, 5.0882726 36.3328742, 5.0883074 36.3329262, 5.0885495 36.333329)",50,,
255661531,residential,False,True,138.078,"LINESTRING (5.0879949 36.3327268, 5.0876367 36.332971, 5.0872898 36.3333667, 5.0871292 36.3336009, 5.0870728 36.333703)",,,
255612107,tertiary,False,True,5.542,"LINESTRING (5.0858026 36.3314945, 5.0858087 36.3315441)",50,,
293838235,residential,False,False,75.298,"LINESTRING (5.0858026 36.3314945, 5.0852253 36.3310023)",,,
255612107,tertiary,False,False,59.781000000000006,"LINESTRING (5.0858026 36.3314945, 5.0862514 36.3312683, 5.086385 36.3312406)",50,,
293839594,residential,False,True,152.44000000000003,"LINESTRING (5.0858026 36.3314945, 5.085849 36.3311471, 5.0859027 36.3310045, 5.0859952 36.330649, 5.0858508 36.3305228, 5.0858078 36.330409, 5.0858078 36.3302853, 5.085849 36.3301963)",,,
255612107,tertiary,False,True,29.867,"LINESTRING (5.0937224 36.3305019, 5.093389 36.3304999)",50,,
255612107,tertiary,False,False,122.822,"LINESTRING (5.0937224 36.3305019, 5.0939612 36.3305429, 5.0941379 36.3305531, 5.0950835 36.3304814)",50,,
293827582,residential,False,True,105.58000000000001,"LINESTRING (5.0937224 36.3305019, 5.0937198 36.3298614, 5.0937186 36.3295524)",,,
255612109,residential,False,True,10.247,"LINESTRING (5.0933349 36.3304187, 5.093389 36.3304999)",,,
255612109,residential,False,False,100.13499999999999,"LINESTRING (5.0933349 36.3304187, 5.0932235 36.3303414, 5.0928059 36.3302673, 5.0922816 36.3301529)",,,
293829398,residential,False,True,246.06199999999998,"LINESTRING (5.0933349 36.3304187, 5.0933431 36.3299457, 5.093327 36.3296864, 5.0933002 36.3295913, 5.0932519 36.3295265, 5.0931607 36.3294876, 5.0930212 36.3294746, 5.0927047 36.3294962, 5.092517 36.3295005, 5.0923024 36.3294962, 5.0921522 36.3294919, 5.0919966 36.3295049, 5.0916582 36.3295831)",,,
255612109,residential,False,False,119.896,"LINESTRING (5.0877024 36.3296058, 5.0865453 36.3301477)",,,
