osmid,name,highway,oneway,reversed,length,junction,geometry,lanes,ref,maxspeed,bridge,tunnel
36438785,Avenue Ould Aissa,secondary,False,True,55.238,,"LINESTRING (0.0851546 35.9327549, 0.0848698 35.9323149)",,,,,
1095039820,,secondary,True,False,11.665,roundabout,"LINESTRING (0.0851546 35.9327549, 0.0851736 35.9327407, 0.0851968 35.9327313, 0.0852223 35.9327276, 0.085248 35.9327299, 0.085272 35.932738)",,,,,
189197478,,secondary,True,False,4.139,roundabout,"LINESTRING (0.0851384 35.9328229, 0.0851345 35.9328045, 0.0851363 35.932786)",,,,,
189197478,,secondary,True,False,10.703,roundabout,"LINESTRING (0.0853023 35.9328406, 0.0852825 35.9328585, 0.0852566 35.9328704, 0.0852274 35.9328749, 0.085198 35.9328715)",,,,,
189197339,Rue Bensaadoun Menouar,residential,False,False,52.098,,"LINESTRING (0.0886859 35.9310268, 0.0883705 35.930634)",,,,,
189197359,Rue Lahouel Charef,residential,False,True,21.466,,"LINESTRING (0.0886859 35.9310268, 0.0889167 35.9310752)",,,,,
189197312,Boulevard Bensayeh Salah,secondary,True,False,31.517000000000003,,"LINESTRING (0.0886859 35.9310268, 0.0887676 35.9309983, 0.0889421 35.9309451, 0.0890054 35.9309131)",,,,,
189197359,Rue Lahouel Charef,residential,False,False,89.45100000000001,,"LINESTRING (0.0886859 35.9310268, 0.0885281 35.9309878, 0.0877028 35.9310467)",,,,,
628426321,Boulevard Bensayeh Salah,primary,True,False,52.884,,"LINESTRING (0.0890054 35.9309131, 0.0891177 35.930796, 0.0891624 35.9307105, 0.0892523 35.9304876)",2,RN 17,30,,
188328641,Avenue Mohamed Khemisti,primary,False,False,33.042,,"LINESTRING (0.0892869 35.9297246, 0.0890394 35.9295052)",2,RN 17,40,,
189197315,Avenue Khemisti Mohamed,primary,True,False,79.081,,"LINESTRING (0.0892869 35.9297246, 0.0899126 35.9302237)",3,RN 17,30,,
189336100,,residential,False,False,25.812,,"LINESTRING (0.0892869 35.9297246, 0.0895013 35.9295705)",,,,,
189197393,,residential,True,False,22.133,,"LINESTRING (0.0909914 35.9311804, 0.0907999 35.9313052)",,,,,
"[628426330, 1095039828, 170978503]","['Pont du 17 Octobre 1961', 'Avenue Khemisti Mohamed', 'Rue du 17 Octobre 1961']",primary,True,False,164.145,,"LINESTRING (0.0909914 35.9311804, 0.0912052 35.9313621, 0.0914107 35.9314528, 0.091803 35.9315927, 0.0925013 35.9318363, 0.0925913 35.9318329)","['2', '3']",RN 17,"['30', '40']",yes,
313164045,نهج بن يحيى بلقاسم,primary,False,False,29.821,,"LINESTRING (0.0923051 35.9301806, 0.0925413 35.9299926)",,RN 23,,,
1209291031,,unclassified,True,False,20.36,,"LINESTRING (0.0923051 35.9301806, 0.0923489 35.9301714, 0.0923941 35.9301717, 0.0924377 35.9301816, 0.0924766 35.9302003, 0.0925081 35.9302265)",,,,,
