osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access
28452313,Avenue des Frères Abdeslami,secondary,40,False,True,29.945,"LINESTRING (3.0855092 36.7308595, 3.0858183 36.7309651)",,
28455280,Rue Garidi Mohamed,secondary,40,False,True,177.31599999999997,"LINESTRING (3.0855092 36.7308595, 3.0853721 36.7310207, 3.0851226 36.7313077, 3.0847965 36.731686, 3.0846763 36.731913, 3.0845299 36.7322357)",,
369354268,Avenue des Frères Abdeslami,secondary,40,False,False,124.763,"LINESTRING (3.0855092 36.7308595, 3.0852403 36.7307367, 3.0846789 36.730406, 3.0843697 36.7302106)",,
29669744,Rue des Freres Ferroum,residential,,False,False,49.367,"LINESTRING (3.0843697 36.7302106, 3.0840281 36.7305601)",,
369354268,Avenue des Frères Abdeslami,secondary,40,False,False,44.876,"LINESTRING (3.0843697 36.7302106, 3.0840713 36.7299531, 3.084027 36.7299149)",,
369354268,Avenue des Frères Abdeslami,secondary,40,False,True,124.763,"LINESTRING (3.0843697 36.7302106, 3.0846789 36.730406, 3.0852403 36.7307367, 3.0855092 36.7308595)",,
28453958,Avenue Fellah Mohamed,primary,,False,False,16.281,"LINESTRING (3.0887511 36.7305562, 3.0886516 36.730679)",,
28453958,Avenue Fellah Mohamed,primary,,False,True,61.698,"LINESTRING (3.0887511 36.7305562, 3.0891079 36.7300807)",,
28453958,Avenue Fellah Mohamed,primary,,False,False,120.22,"LINESTRING (3.0881627 36.7314182, 3.0880323 36.7315866, 3.0878459 36.7318464, 3.0876223 36.7321583, 3.0874751 36.7323482)",,
28453958,Avenue Fellah Mohamed,primary,,False,True,93.047,"LINESTRING (3.0881627 36.7314182, 3.0884435 36.7309806, 3.0884563 36.7309611, 3.0884624 36.7309497, 3.0886516 36.730679)",,
233301966,,residential,,False,True,173.159,"LINESTRING (3.0881627 36.7314182, 3.0885 36.7315606, 3.0887325 36.7317396, 3.0891394 36.7320308, 3.0891417 36.7320645, 3.0888451 36.7322831, 3.0886652 36.7321453)",,
29679238,Rue Martinetti,residential,,False,False,95.30999999999999,"LINESTRING (3.0863093 36.7349491, 3.086291 36.7348902, 3.0862214 36.7343236, 3.0862081 36.7341663, 3.086205 36.7340969)",,
29680358,,residential,,False,True,113.33099999999999,"LINESTRING (3.0863093 36.7349491, 3.0863696 36.7351934, 3.086434 36.7353675, 3.0864956 36.7354642, 3.0865788 36.7355846, 3.0866485 36.7356469, 3.086729 36.7357049, 3.0869054 36.7358028)",,
217742115,Avenue Fellah Mohamed,primary,,False,True,163.436,"LINESTRING (3.0863093 36.7349491, 3.0867453 36.7340212, 3.0868072 36.7338894, 3.0868481 36.7338023, 3.086923 36.7336204, 3.0869437 36.7335702)",,
282058508,Avenue Rabia Mohamed,primary,,False,True,64.466,"LINESTRING (3.0863093 36.7349491, 3.0862127 36.7353249, 3.0862065 36.7355209)",,
28454251,,primary,,True,False,43.742999999999995,"LINESTRING (3.0922008 36.7368325, 3.0922899 36.7367443, 3.0923352 36.7367003, 3.0923654 36.7366602, 3.0923878 36.7366089, 3.0924009 36.7365557, 3.0923835 36.7364897)",,
559228189,Avenue Rabia Mohamed,primary,,False,False,4.902,"LINESTRING (3.0923935 36.7363292, 3.0923409 36.7363421)",,
28454009,Avenue Rabia Mohamed,primary,,True,False,78.01799999999999,"LINESTRING (3.0923935 36.7363292, 3.0924582 36.7363859, 3.0925018 36.7364386, 3.0925203 36.7364684, 3.0925411 36.7365063, 3.0925551 36.7365697, 3.0925545 36.7365995, 3.0925494 36.7366272, 3.0925203 36.7366798, 3.0925055 36.7367048, 3.0924804 36.7367301, 3.0924425 36.7367497, 3.0923603 36.7367841, 3.0922839 36.7368088, 3.0922008 36.7368325)",,
28506276,نهج سعودي بوعلام,secondary,,False,False,10.274999999999999,"LINESTRING (3.0923935 36.7363292, 3.0924442 36.7363104, 3.0924948 36.7362854)",,
