osmid,highway,oneway,reversed,length,junction,geometry,lanes,name,ref,maxspeed
228098420,residential,False,False,153.428,,"LINESTRING (5.3883366 34.7293857, 5.3884151 34.7280074)",,,,
142778481,primary,True,False,7.728,roundabout,"LINESTRING (5.3806565 34.7291714, 5.3806246 34.7291486, 5.3805997 34.7291205)",,,,
142778481,primary,True,False,16.38,roundabout,"LINESTRING (5.3805997 34.7291205, 5.3805786 34.7290746, 5.3805759 34.7290255, 5.3805919 34.7289782)",,,,
228097852,primary,True,False,47.18300000000001,,"LINESTRING (5.3805997 34.7291205, 5.3803623 34.7290821, 5.3801793 34.7290732, 5.3800883 34.7290752)",2,Boulevard Si El Haouès,,
142778484,secondary,False,True,7.852,,"LINESTRING (5.3806364 34.7286707, 5.3806226 34.728601)",,Boulevard de l'Emir Abdelkader,CW 61,
142778483,secondary,True,False,29.268,,"LINESTRING (5.3806364 34.7286707, 5.3807467 34.7288136, 5.3808105 34.7288916)",,,,
410391142,tertiary,False,False,49.916,,"LINESTRING (5.3867271 34.7334963, 5.3872436 34.7333502)",,,,
410391142,tertiary,False,True,53.705,,"LINESTRING (5.3867271 34.7334963, 5.3861616 34.7336278)",,,,
698798988,residential,False,False,147.882,,"LINESTRING (5.3867271 34.7334963, 5.3869379 34.7348149)",,,,
410391142,tertiary,False,False,39.024,,"LINESTRING (5.3874716 34.7332808, 5.3878778 34.7331725)",,,,
410391142,tertiary,False,True,22.218,,"LINESTRING (5.3874716 34.7332808, 5.3872436 34.7333502)",,,,
410673414,residential,False,False,173.198,,"LINESTRING (5.3874716 34.7332808, 5.3872329 34.7317356)",,شارع مخلوف ساعد,,50
271258577,residential,False,True,182.524,,"LINESTRING (5.3818039 34.7345344, 5.3815225 34.7329093)",,Boulevard de l'Emir Abdelkader,,
410391142,tertiary,False,False,13.258,,"LINESTRING (5.3818039 34.7345344, 5.3819449 34.7345063)",,,,
410391142,tertiary,False,True,75.022,,"LINESTRING (5.3818039 34.7345344, 5.3810102 34.7347069)",,,,
