osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,junction,bridge,tunnel
698149662,False,2,RN 99,primary,40,False,34.082,,"LINESTRING (-1.7296 34.8516495, -1.7296098 34.8513431)",,,
314767746,False,,,residential,,False,42.969,,"LINESTRING (-1.7296098 34.8513431, -1.7300805 34.8513322)",,,
314767746,False,,,residential,,True,31.855,,"LINESTRING (-1.7296098 34.8513431, -1.7292609 34.8513525)",,,
698149662,False,2,RN 99,primary,40,False,81.425,,"LINESTRING (-1.7296098 34.8513431, -1.7295814 34.8506112)",,,
698149662,False,2,RN 99,primary,40,True,34.082,,"LINESTRING (-1.7296098 34.8513431, -1.7296 34.8516495)",,,
93096167,False,,,residential,,False,76.649,,"LINESTRING (-1.7295814 34.8506112, -1.7287426 34.8506476)",,,
345070395,False,,,residential,,True,43.567,,"LINESTRING (-1.7295814 34.8506112, -1.7300588 34.8506161)",,,
698149662,False,2,RN 99,primary,40,False,60.747,,"LINESTRING (-1.7295814 34.8506112, -1.7295527 34.8500654)",,,
698149662,False,2,RN 99,primary,40,True,81.425,,"LINESTRING (-1.7295814 34.8506112, -1.7296098 34.8513431)",,,
93096080,False,,,residential,,False,82.284,,"LINESTRING (-1.7295138 34.8492045, -1.7286131 34.8492395)",,,
314767749,False,2,RN 99,primary,40,False,45.928,,"LINESTRING (-1.7295138 34.8492045, -1.7294718 34.8487929)",,,
314767749,False,2,RN 99,primary,40,True,44.328,,"LINESTRING (-1.7295138 34.8492045, -1.7295416 34.8496025)",,,
39027634,False,4,RN 7,primary,60,False,59.367,طريق وجدة,"LINESTRING (-1.7302221 34.8470455, -1.7308726 34.8470387)",,,
380829721,True,1,RN 7,primary,40,False,58.176,طريق وجدة,"LINESTRING (-1.7302221 34.8470455, -1.7300772 34.8470174, -1.7299726 34.8469951, -1.729868 34.8469731, -1.7296035 34.8469191)",,,
90795486,False,,,residential,,True,37.014,,"LINESTRING (-1.7250815 34.8473234, -1.7254871 34.8473219)",,,
585468444,False,,,residential,,False,49.745,,"LINESTRING (-1.7250815 34.8473234, -1.7251191 34.8477697)",,,
585468444,False,,,residential,,True,48.67,,"LINESTRING (-1.7250815 34.8473234, -1.725042 34.8468869)",,,
90795486,False,,,residential,,False,36.756,,"LINESTRING (-1.7270517 34.8472806, -1.7266491 34.8472906)",,,
90795486,False,,,residential,,True,121.175,,"LINESTRING (-1.7270517 34.8472806, -1.7283789 34.8472461)",,,
93096068,False,2,,tertiary,40,False,47.537,,"LINESTRING (-1.7270517 34.8472806, -1.7270714 34.8477078)",,,
93096068,False,2,,tertiary,40,True,46.834,,"LINESTRING (-1.7270517 34.8472806, -1.7270271 34.8468599)",,,
585468428,False,,,residential,,True,45.503,شارع 1,"LINESTRING (-1.727096 34.8488928, -1.7271501 34.8492996)",,,
93786717,True,,,residential,30,False,10.721,,"LINESTRING (-1.727096 34.8488928, -1.7271539 34.8488846, -1.7272049 34.8488607)",roundabout,,
91732264,False,3,,residential,40,False,67.994,شارع أول نوفمبر,"LINESTRING (-1.7269261 34.848765, -1.726181 34.8487671)",,,
93786717,True,,,residential,30,False,13.803,,"LINESTRING (-1.7269261 34.848765, -1.7269379 34.8488052, -1.7269635 34.8488409, -1.7270007 34.8488688)",roundabout,,
91732270,False,,,residential,,False,133.907,,"LINESTRING (-1.724222 34.851223, -1.7256876 34.8511625)",,,
585468440,False,,,residential,,False,41.832,,"LINESTRING (-1.724222 34.851223, -1.724225 34.8508468)",,,
585468440,False,,,residential,,True,33.406,,"LINESTRING (-1.724222 34.851223, -1.7242363 34.8515232)",,,
91732270,False,,,residential,,False,142.787,,"LINESTRING (-1.7256876 34.8511625, -1.7272494 34.8510834)",,,
91732270,False,,,residential,,True,133.907,,"LINESTRING (-1.7256876 34.8511625, -1.724222 34.851223)",,,
93096151,False,,,residential,,True,43.193,,"LINESTRING (-1.7256876 34.8511625, -1.7256747 34.8507742)",,,
91732270,False,,,residential,,False,22.309,,"LINESTRING (-1.7272494 34.8510834, -1.7274936 34.8510738)",,,
