osmid,highway,oneway,reversed,length,ref,lanes,geometry,junction,name
187869579,residential,False,False,49.455,,,"LINESTRING (2.9152271 36.1318072, 2.915592 36.1314741)",,
787019417,secondary,False,False,34.158,CW 144,,"LINESTRING (2.9152271 36.1318072, 2.9156071 36.1317942)",,
787019417,secondary,False,True,23.743,CW 144,,"LINESTRING (2.9152271 36.1318072, 2.9149631 36.1318186)",,
104832926,trunk,True,False,63.528,RN 1,2,"LINESTRING (2.9204545 36.1325683, 2.9204248 36.1327524, 2.9204413 36.1328809, 2.9205004 36.133042, 2.9205328 36.1331265)",,
104832932,trunk,True,False,38.27100000000001,RN 1,,"LINESTRING (2.9204545 36.1325683, 2.920416 36.1326065, 2.9203652 36.1326335, 2.9203066 36.1326469, 2.9202458 36.1326454, 2.9201883 36.1326292, 2.9201395 36.1325998, 2.920104 36.1325599)",roundabout,
104832932,trunk,True,False,18.235,RN 1,,"LINESTRING (2.920104 36.1325599, 2.9200869 36.1325213, 2.9200823 36.1324805, 2.9200907 36.1324401, 2.9201114 36.1324026)",roundabout,
187869557,secondary,True,False,40.519999999999996,,,"LINESTRING (2.920104 36.1325599, 2.9197857 36.1324975, 2.9196781 36.1324483)",,
92161836,primary,False,True,40.909,RN 62,,"LINESTRING (2.9189656 36.139713, 2.9187784 36.1397008, 2.9186172 36.1397006, 2.9185108 36.1397051)",,
104832944,trunk,True,False,20.839,RN 1,,"LINESTRING (2.9189656 36.139713, 2.9189685 36.1396635, 2.9189862 36.1396172, 2.919017 36.1395783, 2.9190581 36.1395506)",roundabout,
104832932,trunk,True,False,38.054,RN 1,,"LINESTRING (2.9201114 36.1324026, 2.9201504 36.1323652, 2.9202015 36.132339, 2.9202599 36.1323262, 2.9203204 36.1323283, 2.9203774 36.1323448, 2.9204256 36.1323744, 2.9204607 36.1324142)",roundabout,
541925440,primary,True,False,46.791,,,"LINESTRING (2.9192828 36.1396498, 2.9195068 36.1397028, 2.9196221 36.1397202, 2.9197911 36.1397375)",,
104832944,trunk,True,False,26.745,RN 1,,"LINESTRING (2.9190581 36.1395506, 2.9191115 36.1395359, 2.9191668 36.1395399, 2.9192175 36.1395623, 2.9192577 36.1396004, 2.9192828 36.1396498)",roundabout,
136360030,trunk,True,False,223.335,RN 1,2,"LINESTRING (2.9190581 36.1395506, 2.919237 36.1394595, 2.9197655 36.1389803, 2.9200622 36.1386519, 2.9202971 36.138316, 2.9204325 36.1380502, 2.9204469 36.1380151, 2.9204777 36.1379398)",,
104832932,trunk,True,False,17.826999999999998,RN 1,,"LINESTRING (2.9204607 36.1324142, 2.9204773 36.132452, 2.9204818 36.1324919, 2.9204741 36.1325315, 2.9204545 36.1325683)",roundabout,
187869624,tertiary,True,False,108.86099999999999,,,"LINESTRING (2.9204607 36.1324142, 2.9206548 36.1324736, 2.9216395 36.1326343)",,
136360075,tertiary,False,False,58.474,,,"LINESTRING (2.920843 36.1365945, 2.9202578 36.1363639)",,
136360030,trunk,True,False,385.39099999999996,RN 1,2,"LINESTRING (2.920843 36.1365945, 2.920893 36.1363926, 2.9210101 36.1358867, 2.9210421 36.1356115, 2.921047 36.1353372, 2.9210233 36.1350841, 2.9209783 36.1348171, 2.9208243 36.1343231, 2.9204647 36.1331981)",,
787019417,secondary,False,False,49.228,CW 144,,"LINESTRING (2.918702 36.1320497, 2.9191924 36.1322475)",,
187869601,residential,False,False,143.524,,,"LINESTRING (2.918702 36.1320497, 2.918147 36.1323724, 2.9179217 36.13255, 2.9177662 36.132706, 2.917639 36.1328914, 2.9175999 36.132956)",,
187869601,residential,False,True,170.239,,,"LINESTRING (2.918702 36.1320497, 2.9199119 36.1313196, 2.920062 36.1312134, 2.9201868 36.1311023)",,
787019417,secondary,False,True,43.938,CW 144,,"LINESTRING (2.918702 36.1320497, 2.9183567 36.1319052, 2.9182645 36.1318732)",,
136360134,residential,False,True,16.213,,,"LINESTRING (2.9195967 36.1357411, 2.9194359 36.1358074)",,Cité des 108 Logements
