osmid,ref,highway,oneway,reversed,length,geometry,lanes,maxspeed
93465481,RN 89,primary,False,False,53.17699999999999,"LINESTRING (3.2249758 35.6347486, 3.2249297 35.6345338, 3.2249205 35.6342932, 3.2249305 35.6342755)",,
93465481,RN 89,primary,False,True,126.39099999999999,"LINESTRING (3.2249758 35.6347486, 3.2243198 35.6353341, 3.2240954 35.6356267)",,
362772064,,residential,False,False,116.971,"LINESTRING (3.2249758 35.6347486, 3.2250552 35.6350891, 3.2250459 35.6356851, 3.225049 35.6357944)",,
363126901,,residential,False,False,106.514,"LINESTRING (3.2249758 35.6347486, 3.2245751 35.6348273, 3.2243256 35.6348774, 3.2241561 35.6349074, 3.2239096 35.6349625, 3.2238479 35.6350042)",,
396101600,RN 40B,primary,False,True,1.145,"LINESTRING (3.2240954 35.6356267, 3.2240915 35.6356169)",2,80
93465481,RN 89,primary,False,False,126.39099999999999,"LINESTRING (3.2240954 35.6356267, 3.2243198 35.6353341, 3.2249758 35.6347486)",,
396101600,RN 40B,primary,False,False,67.312,"LINESTRING (3.2240954 35.6356267, 3.2241319 35.63572, 3.2243107 35.6362062)",2,80
172453787,,residential,False,False,34.928,"LINESTRING (3.2191809 35.6295391, 3.21909 35.6298444)",,
362772051,,residential,False,True,41.048,"LINESTRING (3.2191809 35.6295391, 3.2195967 35.6293906)",,
172453787,,residential,False,True,34.928,"LINESTRING (3.21909 35.6298444, 3.2191809 35.6295391)",,
172453787,,residential,False,False,56.064,"LINESTRING (3.21909 35.6298444, 3.2190243 35.6300652, 3.2190198 35.6303422)",,
172453787,,residential,False,False,27.356,"LINESTRING (3.2190198 35.6303422, 3.2190158 35.6305882)",,
172453787,,residential,False,True,56.064,"LINESTRING (3.2190198 35.6303422, 3.2190243 35.6300652, 3.21909 35.6298444)",,
172453787,,residential,False,False,52.399,"LINESTRING (3.2189981 35.6307829, 3.2189199 35.6311851, 3.2189022 35.6312475)",,
172453787,,residential,False,True,21.762999999999998,"LINESTRING (3.2189981 35.6307829, 3.2190139 35.6307015, 3.2190158 35.6305882)",,
362392201,,residential,False,False,37.663,"LINESTRING (3.2222645 35.6318929, 3.2218478 35.6318885)",,
363137022,,residential,False,False,33.307,"LINESTRING (3.2222645 35.6318929, 3.2226102 35.6317891)",,
396101600,RN 40B,primary,False,True,48.004,"LINESTRING (3.2222645 35.6318929, 3.2221031 35.6314816)",2,80
396101600,RN 40B,primary,False,False,48.851,"LINESTRING (3.2222645 35.6318929, 3.2223074 35.6320029, 3.2224396 35.6323085)",2,80
