osmid,oneway,ref,highway,reversed,length,lanes,maxspeed,geometry,name,junction
669057720,True,RN 83,primary,False,25.141,,,"LINESTRING (7.0055199 35.0397795, 7.0055279 35.0395535)",,
926215882,False,RN 83,primary,True,62.800000000000004,2,50,"LINESTRING (7.0055199 35.0397795, 7.005469 35.040189, 7.0054773 35.040342)",,
336583972,False,,residential,False,60.926,,,"LINESTRING (7.0024858 35.0367707, 7.0028854 35.0363312)",,
366294556,False,RN 83,primary,False,61.183,2,,"LINESTRING (7.0024858 35.0367707, 7.0030131 35.0371118)",Route de Biskra,
366294556,False,RN 83,primary,True,82.078,2,,"LINESTRING (7.0024858 35.0367707, 7.0017564 35.0363369)",Route de Biskra,
141710142,True,,primary,False,17.347,,,"LINESTRING (7.0058437 35.0390851, 7.0058599 35.0391134, 7.0058668 35.039144, 7.0058637 35.0391751, 7.005851 35.0392046, 7.0058295 35.0392303)",,roundabout
141710294,True,CW 8,secondary,False,111.826,,,"LINESTRING (7.0058437 35.0390851, 7.0061338 35.0389458, 7.0063457 35.0387964, 7.0067993 35.0384596)",Route Taberdga,
251334345,False,,residential,True,112.142,,,"LINESTRING (7.0054773 35.040342, 7.0043712 35.0398982)",,
926215882,False,RN 83,primary,True,33.075,2,50,"LINESTRING (7.0054773 35.040342, 7.0055638 35.0406309)",,
926215882,False,RN 83,primary,False,62.800000000000004,2,50,"LINESTRING (7.0054773 35.040342, 7.005469 35.040189, 7.0055199 35.0397795)",,
436971935,False,,residential,False,59.631,,,"LINESTRING (7.0052631 35.0385976, 7.0057312 35.0382225)",,
669000157,True,RN 83,primary,False,40.253,,,"LINESTRING (7.0052631 35.0385976, 7.0055696 35.0388585)",,
366294556,False,RN 83,primary,True,17.749,2,,"LINESTRING (7.004993 35.0384522, 7.004849 35.0383446)",Route de Biskra,
669000157,True,RN 83,primary,False,29.43,,,"LINESTRING (7.004993 35.0384522, 7.0052631 35.0385976)",,
141710142,True,,primary,False,29.67600000000001,,,"LINESTRING (7.005576 35.0391732, 7.0055744 35.0391351, 7.0055874 35.0390985, 7.0056138 35.0390671, 7.0056509 35.0390441, 7.0056949 35.0390316, 7.0057415 35.0390311, 7.0057859 35.0390426)",,roundabout
141710296,True,RN 83,primary,False,98.791,,,"LINESTRING (7.005576 35.0391732, 7.0055005 35.0389462, 7.0054297 35.0388132, 7.004993 35.0384522)",,
251334341,False,,residential,False,43.117,,,"LINESTRING (7.0005409 35.041097, 7.0007483 35.0407484)",,
251334359,False,,residential,False,87.194,,,"LINESTRING (7.0005409 35.041097, 6.999704 35.0407157)",,
251334359,False,,residential,True,34.927,,,"LINESTRING (7.0005409 35.041097, 7.0008816 35.0412414)",,
251334345,False,,residential,True,125.676,,,"LINESTRING (7.0020834 35.0388752, 7.0008501 35.0383675)",,
251334356,False,,residential,False,52.147,,,"LINESTRING (7.0020834 35.0388752, 7.002349 35.0384597)",,
251334356,False,,residential,True,46.887,,,"LINESTRING (7.0020834 35.0388752, 7.0018503 35.0392512)",,
251334345,False,,residential,False,127.05,,,"LINESTRING (7.0020834 35.0388752, 7.0025127 35.0390837, 7.0032914 35.0394472)",,
251334339,False,,residential,False,49.61,,,"LINESTRING (6.9994474 35.0352553, 6.9996946 35.0348577)",,
251334339,False,,residential,False,4.605,,,"LINESTRING (6.9994474 35.0352553, 6.9994403 35.0352963)",,
251334356,False,,residential,True,93.932,,,"LINESTRING (7.0031472 35.0372077, 7.0026476 35.0379468)",,
366294556,False,RN 83,primary,False,59.666,2,,"LINESTRING (7.0031472 35.0372077, 7.0036551 35.0375468)",Route de Biskra,
366294556,False,RN 83,primary,True,16.21,2,,"LINESTRING (7.0031472 35.0372077, 7.0030131 35.0371118)",Route de Biskra,
251334350,False,,residential,False,179.75300000000001,,,"LINESTRING (7.0056351 35.0427355, 7.006071 35.0428242, 7.0061158 35.0428241, 7.0061504 35.0427993, 7.0067808 35.0417443)",,
251334350,False,,residential,True,76.502,,,"LINESTRING (7.0056351 35.0427355, 7.0055113 35.0427534, 7.0053512 35.0427117, 7.0049871 35.0426699, 7.0048252 35.0427323)",,
251334361,False,,residential,False,145.476,,,"LINESTRING (7.0056351 35.0427355, 7.0059916 35.0421486, 7.0063482 35.0415647)",,
251334339,False,,residential,False,38.551,,,"LINESTRING (6.9998227 35.0346831, 7.0000123 35.0343731)",,
251334339,False,,residential,True,22.649,,,"LINESTRING (6.9998227 35.0346831, 6.9996946 35.0348577)",,
251334340,False,,residential,False,85.848,,,"LINESTRING (6.9998227 35.0346831, 7.0006496 35.0350541)",,
251334340,False,,residential,True,99.351,,,"LINESTRING (6.9998227 35.0346831, 6.998868 35.0342504)",,
251334343,False,,residential,False,50.965,,,"LINESTRING (7.0005254 35.035231, 7.0002865 35.0356455)",,
251334343,False,,residential,True,22.689,,,"LINESTRING (7.0005254 35.035231, 7.0006496 35.0350541)",,
251334342,False,,residential,False,86.28399999999999,,,"LINESTRING (7.0005254 35.035231, 7.000307 35.0351355, 6.9996946 35.0348577)",,
366294556,False,RN 83,primary,False,82.078,2,,"LINESTRING (7.0017564 35.0363369, 7.0024858 35.0367707)",Route de Biskra,
366294556,False,RN 83,primary,True,46.886,2,,"LINESTRING (7.0017564 35.0363369, 7.0013142 35.0361208)",Route de Biskra,
251334357,False,,residential,True,60.068000000000005,,,"LINESTRING (7.0017564 35.0363369, 7.0019304 35.0360775, 7.0020983 35.0360811, 7.0021629 35.0359884)",,
251334355,False,,residential,False,38.833,,,"LINESTRING (7.0019134 35.0416785, 7.0021031 35.0413657)",شارع الشهيد زروالي لمنور,
251334359,False,,residential,False,70.102,,,"LINESTRING (7.0019134 35.0416785, 7.0012295 35.0413888)",,
251334340,False,,residential,True,85.848,,,"LINESTRING (7.0006496 35.0350541, 6.9998227 35.0346831)",,
251334343,False,,residential,False,22.689,,,"LINESTRING (7.0006496 35.0350541, 7.0005254 35.035231)",,
251334343,False,,residential,True,35.969,,,"LINESTRING (7.0006496 35.0350541, 7.0008427 35.0347719)",,
