osmid,oneway,ref,highway,reversed,length,geometry,name,lanes,maxspeed,junction,tunnel
334345940,False,RN 15,primary,False,34.886,"LINESTRING (4.2066522 36.6340249, 4.2068595 36.6337589)",,,,,
102378405,False,CW 1,secondary,True,1081.8450000000003,"LINESTRING (4.2066522 36.6340249, 4.2065043 36.6339403, 4.2063648 36.6339145, 4.2061878 36.6339231, 4.2060343 36.633966, 4.2058713 36.6340264, 4.2055081 36.6341718, 4.20541 36.6341931, 4.2052923 36.6342019, 4.2051004 36.6341933, 4.2047536 36.6341595, 4.2046469 36.6341624, 4.2045371 36.6341848, 4.2044352 36.634245, 4.2043547 36.6343225, 4.2042635 36.6344215, 4.2041455 36.6345334, 4.2040489 36.6346238, 4.2039496 36.6347398, 4.2038344 36.6349295, 4.2037611 36.6350072, 4.2036793 36.6350589, 4.2035232 36.6350974, 4.2033838 36.6351017, 4.2032926 36.6351017, 4.2031998 36.635094, 4.2030468 36.6351023, 4.2027722 36.635149, 4.2026006 36.6351878, 4.2024557 36.6351964, 4.202319 36.6351748, 4.202209 36.6351189, 4.2019809 36.6349854, 4.2018426 36.6349181, 4.2017066 36.6349012, 4.2015501 36.6349185, 4.2013238 36.6349768, 4.2011979 36.63498, 4.2010638 36.6349426, 4.2009213 36.6348467, 4.20072 36.6347242, 4.2005218 36.6346518, 4.2003118 36.6346263, 4.200163 36.634637, 4.2000747 36.6346622, 4.1999387 36.6347508, 4.1998042 36.6348458, 4.1996963 36.6349432, 4.1996171 36.6350067, 4.1995313 36.6350632, 4.1994162 36.6350939, 4.199312 36.6350906, 4.1992182 36.6350556, 4.199139 36.6350056, 4.1991015 36.6349787, 4.1989788 36.6349023, 4.1988426 36.6348399, 4.1987179 36.6347904, 4.1986545 36.6347486, 4.1985858 36.6346903, 4.1985275 36.6346198, 4.1984504 36.6345342, 4.1983739 36.6344686, 4.1983196 36.6344234, 4.1982378 36.6343534, 4.1981144 36.6342706, 4.1979924 36.6342151, 4.1978341 36.6341786, 4.1976692 36.6341382, 4.1975833 36.6341102, 4.1975156 36.6340693, 4.197464 36.6340187, 4.1974466 36.6339698, 4.1974338 36.6339187, 4.1974369 36.6338807, 4.1974573 36.6337825, 4.1974844 36.6336332, 4.1974942 36.6335463, 4.197521 36.6333951, 4.1975156 36.6332864, 4.1974915 36.6332202, 4.1974492 36.6331443, 4.1972757 36.6330475)",,,,,
334345940,False,RN 15,primary,True,171.633,"LINESTRING (4.2066522 36.6340249, 4.2066029 36.6341232, 4.206541 36.6342371, 4.2064629 36.6342967, 4.2060565 36.6343811, 4.2059159 36.6344088, 4.2058031 36.6344818, 4.2056582 36.6345722, 4.2055724 36.6347056, 4.2055276 36.6350639)",,,,,
334345940,False,RN 15,primary,False,171.633,"LINESTRING (4.2055276 36.6350639, 4.2055724 36.6347056, 4.2056582 36.6345722, 4.2058031 36.6344818, 4.2059159 36.6344088, 4.2060565 36.6343811, 4.2064629 36.6342967, 4.206541 36.6342371, 4.2066029 36.6341232, 4.2066522 36.6340249)",,,,,
334345940,False,RN 15,primary,True,156.873,"LINESTRING (4.2055276 36.6350639, 4.2055509 36.6354202, 4.2055456 36.6356871, 4.2055295 36.6358464, 4.2051291 36.6361349, 4.2049036 36.6362087)",,,,,
445110096,False,CW 1,secondary,True,62.932,"LINESTRING (4.2055276 36.6350639, 4.2056885 36.6347659, 4.2057379 36.6347048, 4.2058043 36.6346602, 4.205856 36.634637, 4.2059161 36.6346194)",,,,,
318867205,True,RN 15,primary,False,42.113,"LINESTRING (4.2049036 36.6362087, 4.2046412 36.6365235)",,,,,
334345940,False,RN 15,primary,False,156.873,"LINESTRING (4.2049036 36.6362087, 4.2051291 36.6361349, 4.2055295 36.6358464, 4.2055456 36.6356871, 4.2055509 36.6354202, 4.2055276 36.6350639)",,,,,
344122959,True,RN 15,primary,False,153.612,"LINESTRING (4.2046412 36.6365235, 4.2044672 36.6367932, 4.2042414 36.6368949, 4.2040409 36.6369126, 4.2038471 36.6369303, 4.2034981 36.6369227, 4.2032942 36.6369098, 4.2031784 36.6368561)",,,,,
344122960,True,,primary,False,9.562,"LINESTRING (4.2028964 36.6368301, 4.2027895 36.6368362)",RN 15,,,,
