osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,junction,geometry,bridge,tunnel
518946811,False,2,CW 1,Boulevard Derrar Abdrahmane,primary,40,True,34.11,,"LINESTRING (-1.3213947 34.8850965, -1.3217578 34.8850231)",,
431328736,True,1,,,primary,30,False,9.024999999999999,roundabout,"LINESTRING (-1.3213947 34.8850965, -1.3213897 34.8850836, -1.3213811 34.885072, -1.3213649 34.8850598, -1.3213448 34.8850525, -1.321323 34.8850507)",,
88654551,False,2,,Boulevard Cdt Hamsali Sayah Miloud,secondary,40,False,81.757,,"LINESTRING (-1.3168873 34.8780733, -1.316497 34.8775437, -1.3164006 34.8774583)",,
518600350,True,,,,secondary,,False,25.46,,"LINESTRING (-1.3168873 34.8780733, -1.316966 34.878237, -1.316997 34.8782835)",,
517690649,True,2,,,primary,30,False,19.391,,"LINESTRING (-1.3118135 34.8861334, -1.3120176 34.8861822)",,
100020542,False,,,,residential,,False,101.451,,"LINESTRING (-1.3123924 34.886045, -1.3127274 34.8860655, -1.3134988 34.8861371)",,
517690652,True,,,,residential,30,False,19.707,,"LINESTRING (-1.3123924 34.886045, -1.3123143 34.8860424, -1.3122534 34.8860454, -1.3121939 34.886056, -1.3121947 34.8860691)",,
267953613,False,,,Rue Ibn Khamis,residential,,False,73.45,,"LINESTRING (-1.3134988 34.8861371, -1.3131849 34.8855288)",,
100020542,False,,,,residential,,False,121.99100000000001,,"LINESTRING (-1.3134988 34.8861371, -1.3145867 34.8862744, -1.3148232 34.8862655)",,
100020542,False,,,,residential,,True,101.451,,"LINESTRING (-1.3134988 34.8861371, -1.3127274 34.8860655, -1.3123924 34.886045)",,
100020542,False,,,,residential,,False,77.46,,"LINESTRING (-1.3148232 34.8862655, -1.3150961 34.8861401, -1.3152344 34.8860535, -1.315489 34.8858419)",,
100020542,False,,,,residential,,True,121.99100000000001,,"LINESTRING (-1.3148232 34.8862655, -1.3145867 34.8862744, -1.3134988 34.8861371)",,
304645463,False,,,Rue de Paris,residential,,True,132.081,,"LINESTRING (-1.3148232 34.8862655, -1.3145656 34.8857419, -1.3143084 34.8851555)",,
304645463,False,,,Rue de Paris,residential,,True,83.157,,"LINESTRING (-1.3143084 34.8851555, -1.3139577 34.8844652)",,
517690651,False,,,,residential,,False,67.322,,"LINESTRING (-1.3143084 34.8851555, -1.3149884 34.8849201)",,
517690651,False,,,,residential,,True,110.566,,"LINESTRING (-1.3143084 34.8851555, -1.3131849 34.8855288)",,
304645463,False,,,Rue de Paris,residential,,False,132.081,,"LINESTRING (-1.3143084 34.8851555, -1.3145656 34.8857419, -1.3148232 34.8862655)",,
90626018,True,,,Rue de Paris,residential,,False,59.842,,"LINESTRING (-1.3122999 34.8813082, -1.312548 34.8818064)",,
