osmid,oneway,highway,reversed,length,geometry,ref,name,maxspeed,junction,bridge,lanes
92831105,True,primary,False,31.579,"LINESTRING (5.3717003 35.3859339, 5.3715321 35.3861826)",,,,,,
289045081,False,residential,False,108.511,"LINESTRING (5.3717003 35.3859339, 5.372296 35.3861736, 5.3727669 35.3863766)",,,,,,
290154236,False,residential,False,92.722,"LINESTRING (5.3656605 35.3854048, 5.3660766 35.3848409, 5.3661832 35.3846881)",,,,,,
358650454,True,primary,False,60.528999999999996,"LINESTRING (5.3656605 35.3854048, 5.3657667 35.3853656, 5.3658766 35.3853601, 5.3659267 35.3853684, 5.3662344 35.3855636)","RN 28, RN 78",Rue 1er Novembre,,,,
255366390,True,primary,False,20.802,"LINESTRING (5.3655242 35.3855553, 5.3656605 35.3854048)",RN 28; RN 78,,,,,
92831114,True,primary,False,23.931,"LINESTRING (5.374406 35.381883, 5.3744195 35.3818544, 5.3744429 35.3818302, 5.374474 35.3818128, 5.3745099 35.3818036, 5.3745477 35.3818035, 5.3745837 35.3818124, 5.374615 35.3818297)",,,30,roundabout,,
92831110,True,primary,False,11.185,"LINESTRING (5.3728278 35.3839346, 5.372799 35.3839257, 5.372774 35.383911, 5.3727545 35.3838915, 5.3727419 35.3838685)",,,,roundabout,,
92831116,True,primary,False,46.898,"LINESTRING (5.3706381 35.387364, 5.3708828 35.3869924)",RN 78,,,,,
289046645,False,residential,False,187.099,"LINESTRING (5.3706381 35.387364, 5.3688822 35.3864797)",,,,,,
92831110,True,primary,False,20.555999999999997,"LINESTRING (5.372854 35.3837449, 5.3728913 35.3837496, 5.372925 35.3837637, 5.3729514 35.3837857, 5.3729679 35.3838134, 5.3729729 35.383844, 5.3729657 35.3838742)",,,,roundabout,,
"[290154232, 92831113, 290154233]",True,primary,False,188.212,"LINESTRING (5.372854 35.3837449, 5.3729744 35.3834695, 5.3731005 35.383218, 5.3731519 35.3831216, 5.3732454 35.3829956, 5.3733952 35.3828363, 5.3738048 35.3824526, 5.3739391 35.3823268)",RN 78,,,,yes,
92831095,True,primary,False,21.126,"LINESTRING (5.374615 35.3818297, 5.3748476 35.3818182)",,,,,,
92831114,True,primary,False,16.872,"LINESTRING (5.374615 35.3818297, 5.3746383 35.3818533, 5.3746522 35.3818815, 5.3746554 35.3819117, 5.3746477 35.3819414, 5.3746297 35.381968)",,,30,roundabout,,
