osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,ref,bridge
149926341,2,Poplar Street,residential,False,False,78.423,,"LINESTRING (-64.2039897 45.8247571, -64.2032417 45.8252322)",,
149926335,2,Poplar Street,residential,False,False,77.043,,"LINESTRING (-64.2032417 45.8252322, -64.2025211 45.8257096)",,
149926341,2,Poplar Street,residential,False,True,78.423,,"LINESTRING (-64.2032417 45.8252322, -64.2039897 45.8247571)",,
149925929,2,East Pleasant Street,tertiary,False,True,23.066,50,"LINESTRING (-64.2077436 45.8256401, -64.2080401 45.8256586)",,
149925931,2,East Pleasant Street,tertiary,False,False,111.72,50,"LINESTRING (-64.2077436 45.8256401, -64.2063018 45.8256454)",,
149925925,2,East Pleasant Street,tertiary,False,False,92.772,50,"LINESTRING (-64.2063018 45.8256454, -64.205105 45.8256689)",,
149925931,2,East Pleasant Street,tertiary,False,True,111.72,50,"LINESTRING (-64.2063018 45.8256454, -64.2077436 45.8256401)",,
149925926,2,East Pleasant Street,tertiary,False,True,34.807,50,"LINESTRING (-64.2080401 45.8256586, -64.2084893 45.8256584)",,
149925929,2,East Pleasant Street,tertiary,False,False,23.066,50,"LINESTRING (-64.2080401 45.8256586, -64.2077436 45.8256401)",,
149925740,2,Beacon Street,residential,False,False,183.78599999999997,,"LINESTRING (-64.2080401 45.8256586, -64.2079755 45.8257664, -64.2077036 45.8258736, -64.2076469 45.8258948, -64.2072017 45.8260617, -64.2067366 45.8262853, -64.2066079 45.8263478, -64.2064587 45.8264018, -64.2063242 45.8264463, -64.2060661 45.8265272)",,
149925926,2,East Pleasant Street,tertiary,False,False,34.807,50,"LINESTRING (-64.2084893 45.8256584, -64.2080401 45.8256586)",,
149925694,2,Albion Street,primary,False,True,193.687,50,"LINESTRING (-64.2084893 45.8256584, -64.2084734 45.8257348, -64.2084216 45.8258619, -64.2083416 45.8260375, -64.2082076 45.8262783, -64.2081651 45.8263791, -64.2081521 45.826474, -64.2081629 45.8265585, -64.2081992 45.8267074, -64.2083075 45.8270374, -64.2084092 45.8273446)",NS 2,
149925927,2,East Pleasant Street,tertiary,False,False,110.628,50,"LINESTRING (-64.2039475 45.8256667, -64.2025211 45.8257096)",,
149925928,2,East Pleasant Street,tertiary,False,True,89.69,50,"LINESTRING (-64.2039475 45.8256667, -64.205105 45.8256689)",,
149926493,2,Stanley Street,residential,False,True,159.542,,"LINESTRING (-64.2039475 45.8256667, -64.2052017 45.8268046)",,
149925794,2,Chignecto Street,residential,False,True,121.056,,"LINESTRING (-64.205105 45.8256689, -64.2060661 45.8265272)",,
149925925,2,East Pleasant Street,tertiary,False,True,92.772,50,"LINESTRING (-64.205105 45.8256689, -64.2063018 45.8256454)",,
149925928,2,East Pleasant Street,tertiary,False,False,89.69,50,"LINESTRING (-64.205105 45.8256689, -64.2039475 45.8256667)",,
