osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,ref,tunnel
248502250,True,2,Bay Street North,secondary,50,False,11.351,"LINESTRING (-79.8729126 43.2600047, -79.8728753 43.2601031)",,,
90191919,True,2,York Boulevard,secondary,50,False,55.46300000000001,"LINESTRING (-79.8729126 43.2600047, -79.8728259 43.2599662, -79.8727161 43.2599175, -79.8723962 43.2598289, -79.8722837 43.2598314)",,,
373848110,False,3,York Boulevard,secondary,50,False,83.499,"LINESTRING (-79.8722837 43.2598314, -79.8719181 43.2597327, -79.8713168 43.2595705)",,,
"[373848118, 835082903]",True,1,York Boulevard,secondary,50,False,56.746,"LINESTRING (-79.8722837 43.2598314, -79.8723626 43.2598743, -79.872422 43.2599019, -79.8725735 43.2599578, -79.8727048 43.2600171, -79.8727742 43.2600495, -79.8728086 43.2600677, -79.8728753 43.2601031)",,,
23097044,False,2,Park Street North,residential,,False,112.663,"LINESTRING (-79.8713168 43.2595705, -79.8708591 43.2605273)",,,
90191921,False,3,York Boulevard,secondary,50,False,143.161,"LINESTRING (-79.8713168 43.2595705, -79.8708199 43.259439, -79.8707992 43.2594335, -79.8698129 43.2591717, -79.8697834 43.259166, -79.8696512 43.2591402)",,,
373848110,False,3,York Boulevard,secondary,50,True,83.499,"LINESTRING (-79.8713168 43.2595705, -79.8719181 43.2597327, -79.8722837 43.2598314)",,,
10066252,False,2,MacNab Street North,unclassified,,False,117.287,"LINESTRING (-79.8696512 43.2591402, -79.8696371 43.2592276, -79.8696318 43.2592606, -79.8694854 43.2596177, -79.8692572 43.2601534)",,,
90191921,False,3,York Boulevard,secondary,50,True,143.161,"LINESTRING (-79.8696512 43.2591402, -79.8697834 43.259166, -79.8698129 43.2591717, -79.8707992 43.2594335, -79.8708199 43.259439, -79.8713168 43.2595705)",,,
"[90191923, 373848116, 1050942391, 1050942392, 1050942393]",False,"['4', '5']",York Boulevard,secondary,50,False,138.227,"LINESTRING (-79.8696512 43.2591402, -79.869527 43.259116, -79.8692668 43.2590933, -79.8691041 43.2590858, -79.8689862 43.2590874, -79.8688566 43.2590945, -79.8687255 43.259106, -79.8686062 43.2591185, -79.8683912 43.2591425, -79.8681767 43.2591679, -79.8681022 43.2591767, -79.8679611 43.2591914)",,,
9666756,False,2,Jackson Street East,tertiary,40,False,112.473,"LINESTRING (-79.8700589 43.2544789, -79.8699354 43.2544496, -79.8696795 43.2543889, -79.8695492 43.254358, -79.869332 43.2543064, -79.8690505 43.2542396, -79.8688005 43.2541803, -79.8687384 43.2541656)",,,
32971816,False,4,James Street South,secondary,50,True,104.12899999999999,"LINESTRING (-79.8700589 43.2544789, -79.8700329 43.2545363, -79.8698748 43.2548993, -79.8697157 43.2552477, -79.8697038 43.2552753, -79.8696629 43.2553698)",14,,
54778030,False,2,Jackson Street West,unclassified,40,False,129.89499999999998,"LINESTRING (-79.8700589 43.2544789, -79.8701705 43.2545072, -79.8706611 43.2546247, -79.8708441 43.2546699, -79.870999 43.2547059, -79.8710479 43.2547172, -79.8713667 43.2547913, -79.8715101 43.2548254, -79.8715835 43.2548416)",,,
"[147487250, 1050023084]",False,4,James Street South,secondary,50,False,97.77900000000001,"LINESTRING (-79.8700589 43.2544789, -79.870087 43.2544167, -79.8702289 43.2540967, -79.8702851 43.2539698, -79.8703239 43.2538802, -79.8703791 43.2537398, -79.8703899 43.2537123, -79.8704055 43.2536375)","['14', '15']",,
147487243,False,2,Jackson Street East,tertiary,40,True,112.29099999999998,"LINESTRING (-79.8674222 43.253848, -79.8675481 43.2538784, -79.8677674 43.2539313, -79.867799 43.2539389, -79.8680782 43.2540063, -79.8683914 43.2540819, -79.8685521 43.2541206, -79.8686631 43.2541474, -79.8687384 43.2541656)",,,
"[147487252, 317589405]",False,"['4', '3']",John Street South,secondary,50,False,103.02699999999999,"LINESTRING (-79.8674222 43.253848, -79.8673955 43.2539077, -79.8671862 43.2543765, -79.8670659 43.2546505, -79.867038 43.2547311)",,,
"[27369880, 317589479]",False,4,John Street South,secondary,50,True,99.51100000000001,"LINESTRING (-79.8674222 43.253848, -79.867447 43.2537927, -79.8674883 43.2537006, -79.8676152 43.2534172, -79.8676929 43.2532437, -79.8677554 43.2531041, -79.867767 43.2530782, -79.8678033 43.2529972)",,,
506147612,False,2,Jackson Street East,tertiary,40,False,57.519999999999996,"LINESTRING (-79.8674222 43.253848, -79.8673235 43.2538224, -79.8668323 43.2536948, -79.8667532 43.2536743)",,,
"[5115505, 392700462]",True,3,Hess Street North,tertiary,,False,101.48299999999999,"LINESTRING (-79.8773408 43.2589882, -79.8773042 43.2590691, -79.8771436 43.259421, -79.876981 43.2597744, -79.8769629 43.2598137, -79.8769444 43.259854)",,,
404154736,True,4,King Street West,primary,50,False,120.926,"LINESTRING (-79.8773408 43.2589882, -79.8774079 43.2590076, -79.8778183 43.2591207, -79.8780213 43.2591766, -79.8783573 43.2592692, -79.8786192 43.2593413, -79.8786577 43.2593519, -79.8787367 43.2593745)",14,8,
