osmid,oneway,name,highway,reversed,length,ref,maxspeed,lanes,geometry,bridge
37018614,True,Avenue Brodeur,residential,False,95.148,,,,"LINESTRING (-72.9422095 45.6269761, -72.9413671 45.6263555)",
326060189,False,Rue des Cascades,primary,True,67.279,116;137,50,,"LINESTRING (-72.9422095 45.6269761, -72.9415885 45.6273974)",
516212083,True,Rue des Cascades,tertiary,False,60.684,,50,,"LINESTRING (-72.9422095 45.6269761, -72.9427721 45.6265979)",
688506029,False,Rue Dessaulles,primary,False,12.176,,,,"LINESTRING (-72.9459189 45.6275023, -72.9460288 45.6274243)",
43579413,True,Rue Dessaulles,primary,False,48.725,,,2,"LINESTRING (-72.9459189 45.6275023, -72.9458339 45.6275384, -72.9455875 45.6276917, -72.94544 45.6277834)",
688664755,True,Avenue Brodeur,primary,False,94.158,116;R 137,50,2,"LINESTRING (-72.9430432 45.6275902, -72.9422095 45.6269761)",
35600279,False,Rue Calixa Lavallée,residential,True,59.986,,,,"LINESTRING (-72.9430432 45.6275902, -72.9431252 45.6275355, -72.9436012 45.6272177)",
43592977,False,Rue Calixa Lavallée,residential,False,66.876,,,2,"LINESTRING (-72.9430432 45.6275902, -72.9429805 45.6276321, -72.942421 45.6280054)",
516212083,True,Rue des Cascades,tertiary,False,59.685,,50,,"LINESTRING (-72.9433484 45.6262103, -72.9439017 45.6258383)",
35600397,False,Avenue de la Concorde Nord,tertiary,False,95.21600000000001,,50,,"LINESTRING (-72.9433484 45.6262103, -72.9431875 45.6260926, -72.9425025 45.6255912)",
35600397,False,Avenue de la Concorde Nord,tertiary,True,94.60900000000001,,50,,"LINESTRING (-72.9433484 45.6262103, -72.9435709 45.6263732, -72.9441887 45.6268256)",
35957358,False,Rue Girouard Ouest,residential,True,48.942,,,,"LINESTRING (-72.9461881 45.626066, -72.9463826 45.6256474)",
35957434,False,Avenue Mondor,residential,False,46.784,,,,"LINESTRING (-72.9461881 45.626066, -72.9458419 45.6257219)",
688506034,False,Rue Girouard Ouest,residential,False,18.404,,,,"LINESTRING (-72.9461881 45.626066, -72.9461149 45.6262234)",
35957434,False,Avenue Mondor,residential,True,46.784,,,,"LINESTRING (-72.9458419 45.6257219, -72.9461881 45.626066)",
688506032,False,Rue Calixa Lavallée,residential,True,78.882,,,,"LINESTRING (-72.9458419 45.6257219, -72.9459354 45.6256595, -72.9463512 45.625382, -72.9465757 45.6252321)",
"[688506033, 688669692]",False,Avenue Mondor,residential,False,95.241,,,,"LINESTRING (-72.9458419 45.6257219, -72.9456525 45.6255806, -72.9450043 45.625097)",
"[688669693, 688506031]",False,Rue Calixa Lavallée,residential,False,62.348,,,,"LINESTRING (-72.9458419 45.6257219, -72.9457555 45.6257796, -72.9455784 45.6258979, -72.945262 45.6261091)",
43579287,True,,primary_link,False,50.987,,,1,"LINESTRING (-72.9448105 45.6284477, -72.9449989 45.6281797, -72.9451611 45.628067)",
473793861,False,Rue Girouard Est,tertiary,True,26.281999999999996,,,,"LINESTRING (-72.9448105 45.6284477, -72.944791 45.6282814, -72.944776 45.6282127)",
474754542,False,Rue Girouard Ouest,tertiary,False,109.82600000000001,,,2,"LINESTRING (-72.9448105 45.6284477, -72.9446774 45.628687, -72.9441903 45.6293337)",
35600397,False,Avenue de la Concorde Nord,tertiary,True,100.236,,50,,"LINESTRING (-72.9416121 45.6249394, -72.9425025 45.6255912)",
414694902,False,Rue Marguerite Bourgeois,residential,True,58.327,,50,,"LINESTRING (-72.9416121 45.6249394, -72.9421665 45.6245861)",
516212079,False,Avenue de la Concorde Nord,tertiary,False,98.084,,50,,"LINESTRING (-72.9416121 45.6249394, -72.9407511 45.6242948)",
37018635,False,Rue Bibeau,residential,False,63.15,,,,"LINESTRING (-72.9390127 45.6246176, -72.9396153 45.6242369)",
"[37018597, 37018614]",True,"['Avenue Brodeur', 'Avenue Robert']",residential,False,233.043,,,,"LINESTRING (-72.9390127 45.6246176, -72.9383671 45.6241422, -72.9383422 45.6240627, -72.938365 45.6239538, -72.9384666 45.6238085, -72.9385978 45.6237119, -72.9386871 45.6236801, -72.9388051 45.6236792, -72.9389145 45.6237128, -72.9396153 45.6242369)",
43579219,False,Rue Bibeau,residential,False,28.822,,,2,"LINESTRING (-72.9390127 45.6246176, -72.9387376 45.6247913)",
37018597,True,Avenue Robert,residential,False,64.41,,,,"LINESTRING (-72.9396153 45.6242369, -72.940181 45.62466)",
37018635,False,Rue Bibeau,residential,False,60.149,,,,"LINESTRING (-72.9396153 45.6242369, -72.9401864 45.6238721)",
37018635,False,Rue Bibeau,residential,True,63.15,,,,"LINESTRING (-72.9396153 45.6242369, -72.9390127 45.6246176)",
37018635,False,Rue Bibeau,residential,False,55.577,,,,"LINESTRING (-72.9401864 45.6238721, -72.940702 45.623526)",
