osmid,name,highway,oneway,reversed,length,maxspeed,geometry,bridge
504614203,Rue Natiruvaaktuk,residential,False,False,48.004,,"LINESTRING (-75.6315513 62.194413, -75.6324403 62.194293)",
1266330770,Rue Imiqtavik,residential,False,True,225.433,40,"LINESTRING (-75.6315513 62.194413, -75.6328537 62.1963472)",
445392461,Kasuqvik,tertiary,False,False,442.419,,"LINESTRING (-75.6446659 62.1948695, -75.6440968 62.1959089, -75.6439907 62.1961339, -75.6439714 62.1963364, -75.6440582 62.1967908, -75.6442222 62.1971508, -75.6445694 62.1976187, -75.6449842 62.1980552, -75.6455643 62.1986748)",
"[869240026, 869240027, 445392471]",Rue Saniqqamati,tertiary,False,False,428.207,40,"LINESTRING (-75.6446659 62.1948695, -75.6387234 62.1955066, -75.6381689 62.1955672, -75.6366349 62.1957601)",yes
445392471,Rue Saniqqamati,tertiary,False,False,42.067,40,"LINESTRING (-75.6366349 62.1957601, -75.6358634 62.1958768)",
504614204,Situuqvik,residential,False,True,73.022,,"LINESTRING (-75.6366349 62.1957601, -75.6364721 62.1951078)",
"[869240026, 869240027, 445392471]",Rue Saniqqamati,tertiary,False,True,428.207,40,"LINESTRING (-75.6366349 62.1957601, -75.6381689 62.1955672, -75.6387234 62.1955066, -75.6446659 62.1948695)",yes
445392471,Rue Saniqqamati,tertiary,False,False,52.262,40,"LINESTRING (-75.6337936 62.1961778, -75.6328537 62.1963472)",
445392471,Rue Saniqqamati,tertiary,False,True,112.45,40,"LINESTRING (-75.6337936 62.1961778, -75.6358634 62.1958768)",
504614205,Paggivik,residential,False,False,198.109,,"LINESTRING (-75.6337936 62.1961778, -75.634104 62.1965374, -75.6361208 62.1962771, -75.6358634 62.1958768)",
504614205,Paggivik,residential,False,True,72.682,,"LINESTRING (-75.6337936 62.1961778, -75.6332835 62.195569)",
445392471,Rue Saniqqamati,tertiary,False,True,52.262,40,"LINESTRING (-75.6328537 62.1963472, -75.6337936 62.1961778)",
1266330770,Rue Imiqtavik,residential,False,False,225.433,40,"LINESTRING (-75.6328537 62.1963472, -75.6315513 62.194413)",
445392461,Kasuqvik,tertiary,False,False,88.587,,"LINESTRING (-75.6455643 62.1986748, -75.6462479 62.1994049)",
445392461,Kasuqvik,tertiary,False,True,442.41900000000004,,"LINESTRING (-75.6455643 62.1986748, -75.6449842 62.1980552, -75.6445694 62.1976187, -75.6442222 62.1971508, -75.6440582 62.1967908, -75.6439714 62.1963364, -75.6439907 62.1961339, -75.6440968 62.1959089, -75.6446659 62.1948695)",
