osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,junction,width
42171052,True,1,1st Avenue,tertiary,False,6.649,,"LINESTRING (-120.338949 50.6714508, -120.3389491 50.671391)",,
"[999300655, 921102567]",True,"['2', '3']",Columbia Street West,secondary,False,415.45199999999994,60,"LINESTRING (-120.338949 50.6714508, -120.3401364 50.6714577, -120.3404505 50.6714658, -120.3406827 50.6714785, -120.3410086 50.6715081, -120.3415184 50.6715634, -120.3420031 50.6716366, -120.342482 50.6717302, -120.3431677 50.6719044, -120.3435319 50.6720102, -120.3438645 50.6721252, -120.3442009 50.6722582, -120.3445325 50.6723998)",,
26558485,True,3,1st Avenue,tertiary,False,99.60699999999999,,"LINESTRING (-120.3389202 50.6753843, -120.338922 50.6753031, -120.3389286 50.6750571, -120.3389327 50.6749177, -120.3389274 50.6745899, -120.3389262 50.6744886)",,
144287065,True,2,Seymour Street,secondary,False,166.036,,"LINESTRING (-120.3389202 50.6753843, -120.3388148 50.6753643, -120.3380448 50.6752179, -120.3378465 50.6751808, -120.3372671 50.6750677, -120.3366629 50.6749562)",,
"[997802736, 391785377]",False,3,1st Avenue,tertiary,True,84.896,,"LINESTRING (-120.3389202 50.6753843, -120.3389226 50.6754778, -120.3389335 50.6758531, -120.3389436 50.6759745, -120.3389749 50.6761464)",,
"[173122721, 26558484]",True,,3rd Avenue,tertiary,False,146.974,,"LINESTRING (-120.3343992 50.6766939, -120.3343407 50.6767607, -120.3343399 50.6768298, -120.3343384 50.6769572, -120.3343378 50.6770096, -120.334335 50.677254, -120.3343345 50.6772923, -120.3343346 50.6774025, -120.334335 50.6779431, -120.3343327 50.6779572, -120.3343146 50.6780046)",,
"[997824872, 997824868, 997824869]",True,"['4', '3']",Lansdowne Street,secondary,False,159.974,,"LINESTRING (-120.3343992 50.6766939, -120.334538 50.6766947, -120.334675 50.6766966, -120.3359056 50.6766967, -120.3366694 50.6767022)",,
26558487,False,2,Victoria Street,tertiary,False,159.65900000000002,,"LINESTRING (-120.3343986 50.6758464, -120.3345403 50.675847, -120.3355247 50.675851, -120.3365138 50.675855, -120.3366598 50.6758783)",,
"[997824873, 997824874]",True,2,3rd Avenue,tertiary,False,94.24300000000001,,"LINESTRING (-120.3343986 50.6758464, -120.3343985 50.6759386, -120.3343926 50.6762893, -120.3343948 50.6765727, -120.3343992 50.6766939)",,
"[483174715, 26558487]",False,2,Victoria Street,tertiary,False,169.844,,"LINESTRING (-120.3366598 50.6758783, -120.3374573 50.676042, -120.337762 50.6761019, -120.3382872 50.6762074, -120.3388273 50.6763164, -120.338874 50.6763242, -120.3389581 50.6763382)",,
26558487,False,2,Victoria Street,tertiary,True,159.659,,"LINESTRING (-120.3366598 50.6758783, -120.3365138 50.675855, -120.3355247 50.675851, -120.3345403 50.675847, -120.3343986 50.6758464)",,
26558488,False,2,2nd Avenue,residential,False,102.535,,"LINESTRING (-120.3366598 50.6758783, -120.3366653 50.6753969, -120.3366629 50.6749562)",,
26558488,False,2,2nd Avenue,residential,True,91.624,,"LINESTRING (-120.3366598 50.6758783, -120.3366604 50.6762897, -120.3366674 50.6764113, -120.3366677 50.6765791, -120.3366694 50.6767022)",,
26558488,False,2,2nd Avenue,residential,False,91.624,,"LINESTRING (-120.3366694 50.6767022, -120.3366677 50.6765791, -120.3366674 50.6764113, -120.3366604 50.6762897, -120.3366598 50.6758783)",,
"[27539649, 27538509]",False,2,2nd Avenue,residential,True,97.56,,"LINESTRING (-120.3366694 50.6767022, -120.3366694 50.6767924, -120.3366678 50.6768757, -120.3366696 50.6769257, -120.3366677 50.6769727, -120.3366699 50.6770127, -120.3366732 50.6770729, -120.3366739 50.6771162, -120.3366688 50.6772396, -120.3366678 50.6773224, -120.3366627 50.6773763, -120.3366676 50.6774411, -120.336679 50.6774879, -120.3367268 50.6775735)",,
"[997824870, 997824871]",True,"['4', '3']",Lansdowne Street,secondary,False,167.083,,"LINESTRING (-120.3366694 50.6767022, -120.3372158 50.6766935, -120.337506 50.6766859, -120.3379867 50.676676, -120.338303 50.676665, -120.3388981 50.6766385, -120.3389437 50.6766369, -120.3390379 50.6766377)",,
26558488,False,2,2nd Avenue,residential,False,95.443,,"LINESTRING (-120.3366629 50.6749562, -120.3366717 50.6745095, -120.3366724 50.674257, -120.3366729 50.6740979)",,
26558488,False,2,2nd Avenue,residential,True,102.535,,"LINESTRING (-120.3366629 50.6749562, -120.3366653 50.6753969, -120.3366598 50.6758783)",,
144287065,True,2,Seymour Street,secondary,False,159.00400000000002,,"LINESTRING (-120.3366629 50.6749562, -120.3361208 50.6749545, -120.3359422 50.674954, -120.3356395 50.6749531, -120.3353747 50.6749523, -120.3352643 50.674952, -120.3349143 50.6749509, -120.3344066 50.6749437)",,
"[997824875, 125695981]",True,3,3rd Avenue,tertiary,False,100.38,,"LINESTRING (-120.3344066 50.6749437, -120.3343979 50.6753898, -120.3344002 50.6757731, -120.3343986 50.6758464)",,
441243928,True,2,Columbia Street,secondary,False,131.289,60,"LINESTRING (-120.3366877 50.67145, -120.3385507 50.6714514)",,
88981925,False,,2nd Avenue,residential,True,95.15899999999999,,"LINESTRING (-120.3366877 50.67145, -120.3366833 50.6718549, -120.3366701 50.6723057)",,
42171054,False,2,Lee Road,residential,False,95.895,,"LINESTRING (-120.3419489 50.6741482, -120.3419502 50.6736755, -120.3419513 50.6732858)",,
144281415,False,2,Battle Street West,residential,False,220.819,,"LINESTRING (-120.3419489 50.6741482, -120.341625 50.6740935, -120.3412544 50.6740494, -120.3403035 50.673856, -120.3389395 50.6735998)",,
27539272,False,2,McIntosh Street,residential,False,49.107,,"LINESTRING (-120.3432477 50.6763673, -120.3434712 50.675949)",,
27539466,True,1,Seymour Street West,residential,False,102.195,,"LINESTRING (-120.3432477 50.6763673, -120.3428302 50.6762765, -120.3424745 50.6761631, -120.3422096 50.6760729, -120.34191 50.6760224)",,
27538327,False,2,Bluff Place,residential,False,56.553000000000004,,"LINESTRING (-120.3451981 50.6732764, -120.3452898 50.6729517, -120.3453709 50.6728348, -120.3454037 50.6727882)",,
27538846,False,2,McIntosh Street,residential,False,47.469,,"LINESTRING (-120.3434712 50.675949, -120.3436789 50.6755429)",,
27539272,False,2,McIntosh Street,residential,True,49.107,,"LINESTRING (-120.3434712 50.675949, -120.3432477 50.6763673)",,
27540346,False,2,Nicola Wagon Road,residential,True,204.664,,"LINESTRING (-120.3434712 50.675949, -120.3439478 50.6760433, -120.3441329 50.6760653, -120.3447294 50.6760677, -120.3448725 50.6760791, -120.3455833 50.6762765, -120.3461025 50.6765741)",,
27537805,False,2,Lee Road,residential,False,44.659,,"LINESTRING (-120.3419607 50.6746579, -120.3419395 50.6742565)",,
27540765,False,2,Lee Road,residential,True,51.962,,"LINESTRING (-120.3419607 50.6746579, -120.3419627 50.6751252)",,
