osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,geometry
32332705,2,25 Street,tertiary,False,False,22.316,,,"LINESTRING (-110.1980958 54.4597621, -110.1982831 54.4599307)"
252346371,2,8 Avenue,primary,True,False,449.811,28,80,"LINESTRING (-110.1980958 54.4597621, -110.1921094 54.4618251)"
32332705,2,25 Street,tertiary,False,True,61.16,,,"LINESTRING (-110.198825 54.4603816, -110.1982831 54.4599307)"
278722161,,,unclassified,False,False,476.00699999999995,,,"LINESTRING (-110.198825 54.4603816, -110.1984537 54.4605345, -110.1979706 54.460613, -110.1974745 54.460565, -110.197173 54.460573, -110.1967716 54.4606951, -110.1937959 54.4617108, -110.1936185 54.4618144, -110.1934837 54.4619777, -110.1934004 54.4621248, -110.193235 54.4622645, -110.1930034 54.4623766, -110.1927653 54.4624587)"
278722161,,,unclassified,False,True,374.826,,,"LINESTRING (-110.187625 54.4638384, -110.1909245 54.4626728, -110.1912212 54.4625978, -110.191524 54.4625783, -110.1918572 54.4626178, -110.192159 54.4626191, -110.1924103 54.4625697, -110.1927653 54.4624587)"
32332705,2,25 Street,tertiary,False,False,61.16,,,"LINESTRING (-110.1982831 54.4599307, -110.198825 54.4603816)"
32332705,2,25 Street,tertiary,False,True,22.316,,,"LINESTRING (-110.1982831 54.4599307, -110.1980958 54.4597621)"
399687332,,,unclassified,False,True,22.099,,,"LINESTRING (-110.1921094 54.4618251, -110.1922813 54.4619969)"
62232218,2,8 Avenue,primary,True,False,450.847,28,80,"LINESTRING (-110.1922813 54.4619969, -110.1982831 54.4599307)"
399687332,,,unclassified,False,False,22.099,,,"LINESTRING (-110.1922813 54.4619969, -110.1921094 54.4618251)"
399687332,,,unclassified,False,True,60.128,,,"LINESTRING (-110.1922813 54.4619969, -110.1927653 54.4624587)"
399687332,,,unclassified,False,False,60.128,,,"LINESTRING (-110.1927653 54.4624587, -110.1922813 54.4619969)"
278722161,,,unclassified,False,False,374.826,,,"LINESTRING (-110.1927653 54.4624587, -110.1924103 54.4625697, -110.192159 54.4626191, -110.1918572 54.4626178, -110.191524 54.4625783, -110.1912212 54.4625978, -110.1909245 54.4626728, -110.187625 54.4638384)"
278722161,,,unclassified,False,True,476.007,,,"LINESTRING (-110.1927653 54.4624587, -110.1930034 54.4623766, -110.193235 54.4622645, -110.1934004 54.4621248, -110.1934837 54.4619777, -110.1936185 54.4618144, -110.1937959 54.4617108, -110.1967716 54.4606951, -110.197173 54.460573, -110.1974745 54.460565, -110.1979706 54.460613, -110.1984537 54.4605345, -110.198825 54.4603816)"
399687332,,,unclassified,False,True,153.813,,,"LINESTRING (-110.1927653 54.4624587, -110.1930663 54.4627334, -110.1940583 54.46362)"
399687332,,,unclassified,False,False,153.813,,,"LINESTRING (-110.1940583 54.46362, -110.1930663 54.4627334, -110.1927653 54.4624587)"
62232218,2,8 Avenue,primary,True,False,439.306,28,80,"LINESTRING (-110.1864241 54.464001, -110.1869169 54.4638473, -110.1908289 54.4624911, -110.1922813 54.4619969)"
543624564,,,primary_link,True,False,81.505,,,"LINESTRING (-110.1864241 54.464001, -110.1870647 54.4638401, -110.1872177 54.4638415, -110.1874853 54.463853, -110.187625 54.4638384)"
