osmid,oneway,name,highway,reversed,length,lanes,maxspeed,geometry,ref,access,bridge
1201098431,False,Filipa Kovačevića,residential,False,8.201,,,"LINESTRING (18.83919 42.2872396, 18.8392442 42.2871777)",,,
"[1193092937, 533154789]",False,Filipa Kovačevića,residential,True,288.614,2,40,"LINESTRING (18.83919 42.2872396, 18.8391455 42.2872896, 18.8391332 42.2873012, 18.8390371 42.2874052, 18.8388024 42.2876576, 18.8385003 42.2879276, 18.8387462 42.2883147, 18.8389191 42.2886128, 18.839021 42.2887835, 18.8392222 42.2891243, 18.8394159 42.2894216, 18.8394692 42.2895108)",,,
"[532587520, 1234485985, 747808425, 1101219873]",True,Jadranski put,primary,False,279.9599999999999,"['2', '3']",50,"LINESTRING (18.83919 42.2872396, 18.8389132 42.2871116, 18.8386403 42.2869781, 18.8386225 42.2869686, 18.8383885 42.286844, 18.8381462 42.2867029, 18.8378857 42.2865373, 18.8377599 42.2864549, 18.8373767 42.2862038, 18.8371147 42.2860241, 18.8369254 42.2858702, 18.8368224 42.2857885, 18.8367803 42.285748, 18.8366349 42.2855984)",M-1,,
"[1101219874, 1101219875, 1101219876, 1101219877]",True,Jadranski put,primary,False,150.721,2,50,"LINESTRING (18.8408206 42.287856, 18.8404893 42.2877493, 18.8402174 42.2876492, 18.8400495 42.287585, 18.8398325 42.2875019, 18.8396623 42.287434, 18.839449 42.2873466, 18.8394074 42.2873298, 18.83919 42.2872396)",M-1,,
34856202,False,22. novembar,tertiary,True,46.834,2,,"LINESTRING (18.8383456 42.2844162, 18.8382521 42.2844757, 18.8379069 42.2846846)",,,
188233925,False,Mediteranska,tertiary,True,43.072,2,,"LINESTRING (18.8383456 42.2844162, 18.8384389 42.2844773, 18.8384838 42.2845037, 18.8385285 42.2845358, 18.8387266 42.2846815)",,,
28433536,True,Popa Jola Zeca,residential,False,148.872,,,"LINESTRING (18.8394692 42.2895108, 18.8396353 42.2894568, 18.8399905 42.2893596, 18.8401969 42.2892725, 18.8402467 42.2892515, 18.8403053 42.2892267, 18.8404975 42.2891573, 18.8406625 42.2890787, 18.8409629 42.2889453, 18.8410734 42.2888994)",,,
177161766,False,Popa Jola Zeca,residential,False,109.53200000000001,,,"LINESTRING (18.8394692 42.2895108, 18.8393381 42.2895474, 18.8390841 42.2896288, 18.838445 42.2898164, 18.8383401 42.2898475, 18.8382337 42.2898779)",,,
"[1193092937, 533154789]",False,Filipa Kovačevića,residential,False,288.614,2,40,"LINESTRING (18.8394692 42.2895108, 18.8394159 42.2894216, 18.8392222 42.2891243, 18.839021 42.2887835, 18.8389191 42.2886128, 18.8387462 42.2883147, 18.8385003 42.2879276, 18.8388024 42.2876576, 18.8390371 42.2874052, 18.8391332 42.2873012, 18.8391455 42.2872896, 18.83919 42.2872396)",,,
533154789,False,Filipa Kovačevića,residential,True,137.483,2,40,"LINESTRING (18.8394692 42.2895108, 18.8395616 42.2896302, 18.839807 42.2900268, 18.8401324 42.2906442)",,,
