osmid,oneway,highway,reversed,length,geometry,lanes,name,maxspeed
329700500,False,residential,False,62.857,"LINESTRING (73.6932697 33.3426535, 73.6935259 33.3431767)",,,
329700500,False,residential,True,41.117,"LINESTRING (73.6932697 33.3426535, 73.6931126 33.3423078)",,,
332362338,False,residential,True,130.708,"LINESTRING (73.6932697 33.3426535, 73.6919647 33.3430931)",,,
330496076,False,residential,True,98.249,"LINESTRING (73.6945249 33.3429581, 73.6947318 33.3434092, 73.6949076 33.3437818)",,,
333370531,True,primary,False,13.364,"LINESTRING (73.6945249 33.3429581, 73.6945259 33.3429191, 73.6945166 33.3428909, 73.6944854 33.342846)",2,Dadyal Road,40
329700503,False,primary,True,34.763,"LINESTRING (73.6938789 33.3430729, 73.6935259 33.3431767)",2,Dadyal Road,40
333370531,True,primary,False,37.609,"LINESTRING (73.6938789 33.3430729, 73.6939117 33.3431069, 73.6939562 33.3431234, 73.6940183 33.3431312, 73.6941313 33.3431019, 73.6942455 33.3430642)",2,Dadyal Road,40
754690153,True,primary,False,8.352,"LINESTRING (73.6938537 33.3430008, 73.6938789 33.3430729)",2,Dadyal Road,40
329700500,False,residential,False,98.743,"LINESTRING (73.6938537 33.3430008, 73.6937395 33.3428348, 73.693425 33.3421897)",,,
330377298,False,primary,False,20.769,"LINESTRING (73.6973083 33.3419254, 73.6975214 33.3418689)",2,Dadyal Road,40
330377298,False,primary,True,44.669,"LINESTRING (73.6973083 33.3419254, 73.6968606 33.342072)",2,Dadyal Road,40
333371474,False,unclassified,True,221.469,"LINESTRING (73.6973083 33.3419254, 73.6972262 33.3417774, 73.6970799 33.3415736, 73.6969254 33.3414241, 73.696714 33.3412883, 73.6964212 33.3411558, 73.6961407 33.3410981, 73.6958765 33.3410505, 73.6956163 33.3410913, 73.6953822 33.34115)",,,
330377298,False,primary,False,29.669,"LINESTRING (73.6944854 33.342846, 73.6947859 33.3427556)",2,Dadyal Road,40
754690153,True,primary,False,36.259,"LINESTRING (73.6944854 33.342846, 73.6944338 33.3428147, 73.6943956 33.3428043, 73.6943476 33.3428104, 73.6941234 33.3428767)",2,Dadyal Road,40
329700503,False,primary,False,42.917,"LINESTRING (73.6904459 33.3442504, 73.6908717 33.3441006)",2,Dadyal Road,40
330489607,False,residential,True,70.354,"LINESTRING (73.6904459 33.3442504, 73.6906457 33.3448607)",,,
329700503,False,primary,True,177.382,"LINESTRING (73.6904459 33.3442504, 73.6899715 33.3444202, 73.6894785 33.3445695, 73.6886528 33.344796)",2,Dadyal Road,40
330496076,False,residential,False,105.378,"LINESTRING (73.6953235 33.3446635, 73.6949076 33.3437818)",,,
330496077,False,residential,False,30.465,"LINESTRING (73.693006 33.3453088, 73.6928813 33.3450554)",,,
329700500,False,residential,True,62.857,"LINESTRING (73.6935259 33.3431767, 73.6932697 33.3426535)",,,
329700503,False,primary,False,34.763,"LINESTRING (73.6935259 33.3431767, 73.6938789 33.3430729)",2,Dadyal Road,40
329700503,False,primary,True,135.415,"LINESTRING (73.6935259 33.3431767, 73.693505 33.3431842, 73.6926437 33.3434555, 73.6921837 33.3436481)",2,Dadyal Road,40
330496077,False,residential,False,18.636,"LINESTRING (73.6928813 33.3450554, 73.692805 33.3449004)",,,
330496077,False,residential,True,30.465,"LINESTRING (73.6928813 33.3450554, 73.693006 33.3453088)",,,
331013710,False,residential,False,90.459,"LINESTRING (73.6928813 33.3450554, 73.6937987 33.3447825)",,,
330496077,False,residential,False,59.572,"LINESTRING (73.6927033 33.3446938, 73.6924733 33.3441937)",,,
330496077,False,residential,True,24.839,"LINESTRING (73.6927033 33.3446938, 73.692805 33.3449004)",,,
331013789,False,residential,False,91.013,"LINESTRING (73.6927033 33.3446938, 73.6936302 33.3444285)",,,
331013789,False,residential,True,107.838,"LINESTRING (73.694704 33.3440599, 73.6936302 33.3444285)",,,
331014955,False,residential,False,22.845,"LINESTRING (73.694704 33.3440599, 73.6946119 33.3438694)",,,
"[331014955, 331013710]",False,residential,True,142.298,"LINESTRING (73.694704 33.3440599, 73.6948173 33.3443843, 73.6943136 33.3446176, 73.6937987 33.3447825)",,,
329696762,False,residential,False,67.634,"LINESTRING (73.6886528 33.344796, 73.6888604 33.345379)",,,20
329700503,False,primary,False,177.382,"LINESTRING (73.6886528 33.344796, 73.6894785 33.3445695, 73.6899715 33.3444202, 73.6904459 33.3442504)",2,Dadyal Road,40
330496077,False,residential,False,66.365,"LINESTRING (73.6924733 33.3441937, 73.6921837 33.3436481)",,,
330496077,False,residential,True,59.572,"LINESTRING (73.6924733 33.3441937, 73.6927033 33.3446938)",,,
331014838,False,residential,False,95.067,"LINESTRING (73.6924733 33.3441937, 73.6934245 33.3438782)",,,20
331331131,False,residential,True,185.26,"LINESTRING (73.6924733 33.3441937, 73.6906457 33.3448607)",,,
331014838,False,residential,True,102.639,"LINESTRING (73.6944451 33.3435245, 73.6934245 33.3438782)",,,20
331014917,False,residential,False,54.438,"LINESTRING (73.6944451 33.3435245, 73.6942455 33.3430642)",,,
331014955,False,residential,True,41.363,"LINESTRING (73.6944451 33.3435245, 73.6946119 33.3438694)",,,
331014917,False,residential,True,54.438,"LINESTRING (73.6942455 33.3430642, 73.6944451 33.3435245)",,,
