osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,junction
444071001,2,primary,60,False,False,14.067,"LINESTRING (70.3256821 29.1057904, 70.3258109 29.1058482)",
444071390,,residential,,False,False,71.36,"LINESTRING (70.3256821 29.1057904, 70.3253199 29.1052321)",
810858154,2,primary,60,False,False,135.374,"LINESTRING (70.3256821 29.1057904, 70.324328 29.1060775)",
810858158,,residential,,False,False,99.714,"LINESTRING (70.3273642 29.1020478, 70.3283888 29.1019959)",
444071388,,tertiary,,False,True,131.744,"LINESTRING (70.3273642 29.1020478, 70.3269207 29.1022565, 70.3265732 29.10246, 70.3261629 29.1025834)",
444071389,,tertiary,,False,False,166.353,"LINESTRING (70.324328 29.1060775, 70.3245261 29.1045915)",
450504360,,primary,,False,False,67.399,"LINESTRING (70.324328 29.1060775, 70.3236528 29.1062167)",
810858154,2,primary,60,False,True,135.374,"LINESTRING (70.324328 29.1060775, 70.3256821 29.1057904)",
1104772705,2,tertiary,80,False,True,162.946,"LINESTRING (70.324328 29.1060775, 70.324087 29.1075277)",
450504360,,primary,,False,True,67.399,"LINESTRING (70.3236528 29.1062167, 70.324328 29.1060775)",
689233648,,residential,,False,False,151.757,"LINESTRING (70.3236528 29.1062167, 70.324087 29.1075277)",
444071390,,residential,,False,True,71.36,"LINESTRING (70.3253199 29.1052321, 70.3256821 29.1057904)",
444213411,,residential,,False,True,138.418,"LINESTRING (70.3253199 29.1052321, 70.3267 29.104923)",
444071390,,residential,,False,False,166.09,"LINESTRING (70.3253199 29.1052321, 70.3250161 29.104686, 70.324856 29.1043239, 70.3247326 29.1038374)",
444071390,,residential,,False,True,92.352,"LINESTRING (70.324564 29.1030207, 70.324676 29.1036432, 70.3247326 29.1038374)",
689233647,,residential,,False,False,162.93900000000002,"LINESTRING (70.324564 29.1030207, 70.3252797 29.102859, 70.3261629 29.1025834)",
444071389,,tertiary,,False,True,91.44900000000001,"LINESTRING (70.3247326 29.1038374, 70.3246452 29.1038547, 70.3245261 29.1045915)",
444071390,,residential,,False,False,92.352,"LINESTRING (70.3247326 29.1038374, 70.324676 29.1036432, 70.324564 29.1030207)",
444071390,,residential,,False,True,166.09,"LINESTRING (70.3247326 29.1038374, 70.324856 29.1043239, 70.3250161 29.104686, 70.3253199 29.1052321)",
689233648,,residential,,False,True,151.757,"LINESTRING (70.324087 29.1075277, 70.3236528 29.1062167)",
1104772705,2,tertiary,80,False,False,162.946,"LINESTRING (70.324087 29.1075277, 70.324328 29.1060775)",
1104772705,2,tertiary,80,False,True,87.724,"LINESTRING (70.324087 29.1075277, 70.3239586 29.1083086)",
444071389,,tertiary,,False,True,166.353,"LINESTRING (70.3245261 29.1045915, 70.324328 29.1060775)",
444071389,,tertiary,,False,False,91.44900000000001,"LINESTRING (70.3245261 29.1045915, 70.3246452 29.1038547, 70.3247326 29.1038374)",
1104772705,2,tertiary,80,False,False,87.724,"LINESTRING (70.3239586 29.1083086, 70.324087 29.1075277)",
1104772705,2,tertiary,80,False,True,6.134,"LINESTRING (70.3239586 29.1083086, 70.3239496 29.1083632)",
1104772705,2,tertiary,80,False,False,6.134,"LINESTRING (70.3239496 29.1083632, 70.3239586 29.1083086)",
"[810860338, 810860340]",,residential,,False,False,228.71699999999998,"LINESTRING (70.3239496 29.1083632, 70.3258475 29.1084742, 70.325719 29.1080955)",
444213406,,residential,,False,False,52.196,"LINESTRING (70.3320489 29.1080315, 70.331539 29.1081794)",
444213406,,residential,,False,True,55.659,"LINESTRING (70.3320489 29.1080315, 70.3325958 29.1078824)",
444213409,,secondary,,False,True,96.063,"LINESTRING (70.3320489 29.1080315, 70.3319112 29.107176)",
444213407,,residential,,False,False,119.686,"LINESTRING (70.328428 29.1071972, 70.3282456 29.1061327)",
444213408,,residential,,False,False,337.646,"LINESTRING (70.328428 29.1071972, 70.3317917 29.1064335)",
444213407,,residential,,False,True,87.809,"LINESTRING (70.3281135 29.1053515, 70.3282456 29.1061327)",
810858152,,primary,,True,False,9.475000000000001,"LINESTRING (70.3281135 29.1053515, 70.3281365 29.1053445, 70.3281557 29.1053314, 70.3281691 29.1053135, 70.3281751 29.1052929)",roundabout
444213409,,secondary,,False,False,8.95,"LINESTRING (70.3314173 29.1045517, 70.3314331 29.104631)",
444213409,,secondary,,False,True,181.797,"LINESTRING (70.3314173 29.1045517, 70.331272 29.1029217)",
810858150,2,primary,60,True,False,268.372,"LINESTRING (70.3314173 29.1045517, 70.3287279 29.1051026)",
444213408,,residential,,False,True,337.646,"LINESTRING (70.3317917 29.1064335, 70.328428 29.1071972)",
444213409,,secondary,,False,False,83.375,"LINESTRING (70.3317917 29.1064335, 70.3319112 29.107176)",
444213409,,secondary,,False,True,203.435,"LINESTRING (70.3317917 29.1064335, 70.3314331 29.104631)",
444213410,,tertiary,,False,False,70.884,"LINESTRING (70.326836 29.1055493, 70.3267 29.104923)",
810858151,2,primary,60,True,False,115.267,"LINESTRING (70.326836 29.1055493, 70.3256821 29.1057904)",
444213410,,tertiary,,False,True,164.482,"LINESTRING (70.3261629 29.1025834, 70.3265774 29.1040176)",
444071388,,tertiary,,False,False,131.744,"LINESTRING (70.3261629 29.1025834, 70.3265732 29.10246, 70.3269207 29.1022565, 70.3273642 29.1020478)",
689233647,,residential,,False,True,162.93900000000002,"LINESTRING (70.3261629 29.1025834, 70.3252797 29.102859, 70.324564 29.1030207)",
444213410,,tertiary,,False,True,70.884,"LINESTRING (70.3267 29.104923, 70.326836 29.1055493)",
444213411,,residential,,False,False,138.418,"LINESTRING (70.3267 29.104923, 70.3253199 29.1052321)",
444213410,,tertiary,,False,False,101.408,"LINESTRING (70.3267 29.104923, 70.3265859 29.1040469, 70.3265774 29.1040176)",
444213407,,residential,,False,False,87.809,"LINESTRING (70.3282456 29.1061327, 70.3281135 29.1053515)",
444213407,,residential,,False,True,119.686,"LINESTRING (70.3282456 29.1061327, 70.328428 29.1071972)",
