osmid,oneway,highway,maxspeed,reversed,length,geometry,name,access,ref
198926394,True,trunk,60,False,103.465,"LINESTRING (72.8615805 32.936304, 72.8619667 32.9354318)",,,
200166863,False,unclassified,,True,83.603,"LINESTRING (72.8615805 32.936304, 72.8624756 32.9363345)",,,
198926394,True,trunk,60,False,83.365,"LINESTRING (72.8622046 32.9348646, 72.8625025 32.9341578)",,,
320893712,False,residential,,False,114.296,"LINESTRING (72.8622046 32.9348646, 72.8634236 32.9349638)",,,
198926394,True,trunk,60,False,66.864,"LINESTRING (72.8619667 32.9354318, 72.8622046 32.9348646)",,,
"[489606999, 516481055]",False,unclassified,,True,201.378,"LINESTRING (72.8619667 32.9354318, 72.8634363 32.9355367, 72.8634205 32.9349953, 72.8634236 32.9349638)",,,
198926394,True,trunk,60,False,136.138,"LINESTRING (72.8625025 32.9341578, 72.8629707 32.9330977, 72.8629326 32.9330096)",,,
320893714,False,residential,,False,88.346,"LINESTRING (72.8625025 32.9341578, 72.8626651 32.9341511, 72.8631571 32.9341244, 72.8634457 32.9340943)",,,
198926394,True,trunk,60,False,45.731,"LINESTRING (72.861416 32.9366914, 72.8615805 32.936304)",,,
323265621,False,residential,,False,41.312,"LINESTRING (72.861416 32.9366914, 72.8618581 32.9367104)",,,
199696684,False,secondary,60,True,59.043,"LINESTRING (72.864399 32.933918, 72.8641744 32.9334216)",Pinwal Road,,
320893716,False,residential,,True,91.226,"LINESTRING (72.864399 32.933918, 72.8634323 32.9340396)",,,
199696684,False,secondary,60,False,398.978,"LINESTRING (72.864399 32.933918, 72.8646177 32.9344564, 72.8646701 32.9345191, 72.865507 32.9349648, 72.8670466 32.9357662, 72.8676162 32.9361125)",Pinwal Road,,
199696684,False,secondary,60,False,59.043,"LINESTRING (72.8641744 32.9334216, 72.864399 32.933918)",Pinwal Road,,
199696684,False,secondary,60,True,29.752,"LINESTRING (72.8641744 32.9334216, 72.8640731 32.9331679)",Pinwal Road,,
446476696,False,residential,,True,84.729,"LINESTRING (72.8641744 32.9334216, 72.8632836 32.9335687)",,,
199696684,False,secondary,60,True,58.913,"LINESTRING (72.8636747 32.9328231, 72.8631447 32.9325353)",Pinwal Road,,
320896481,False,residential,,False,41.128,"LINESTRING (72.8636747 32.9328231, 72.8638687 32.932491)",,,
199696684,False,secondary,60,False,53.963,"LINESTRING (72.8636747 32.9328231, 72.8639817 32.9330431, 72.8640731 32.9331679)",Pinwal Road,,
75869447,False,trunk,80,False,46.313,"LINESTRING (72.8631447 32.9325353, 72.8633114 32.932143)",Choa-Chakwal Road,yes,
75869447,False,trunk,80,True,29.633,"LINESTRING (72.8631447 32.9325353, 72.863038 32.9327863)",Choa-Chakwal Road,yes,
199696684,False,secondary,60,False,58.913,"LINESTRING (72.8631447 32.9325353, 72.8636747 32.9328231)",Pinwal Road,,
198926394,True,trunk,60,False,40.748,"LINESTRING (72.8612561 32.9370324, 72.861416 32.9366914)",,,
323271698,False,residential,,True,115.416,"LINESTRING (72.8612561 32.9370324, 72.8616639 32.9370761, 72.8624876 32.9371235)",,,
200166863,False,unclassified,,False,74.267,"LINESTRING (72.86327 32.9363741, 72.8624756 32.9363345)",,,
200166863,False,unclassified,,True,58.196,"LINESTRING (72.86327 32.9363741, 72.8638869 32.9364506)",,,
200166863,False,unclassified,,False,83.603,"LINESTRING (72.8624756 32.9363345, 72.8615805 32.936304)",,,
200166863,False,unclassified,,True,74.267,"LINESTRING (72.8624756 32.9363345, 72.86327 32.9363741)",,,
323265619,False,residential,,False,70.781,"LINESTRING (72.8624756 32.9363345, 72.8625267 32.9356994)",,,
200166863,False,unclassified,,False,58.196,"LINESTRING (72.8638869 32.9364506, 72.86327 32.9363741)",,,
320893729,True,trunk,80,False,52.218,"LINESTRING (72.8642741 32.9295629, 72.8641215 32.9300147)",Choa-Chakwal Road,yes,
861225736,False,residential,,False,206.453,"LINESTRING (72.8642741 32.9295629, 72.8640551 32.9295984, 72.8631631 32.9298056, 72.8623562 32.9299754, 72.862132 32.9300242)",,,
320893729,True,trunk,80,False,87.747,"LINESTRING (72.8645796 32.9288166, 72.8642741 32.9295629)",Choa-Chakwal Road,yes,
861225744,False,residential,,False,191.923,"LINESTRING (72.8645796 32.9288166, 72.8644508 32.9288443, 72.8643359 32.9288728, 72.8637074 32.9290898, 72.8632697 32.9292344, 72.8626547 32.9294202)",,,
200283967,False,tertiary,60,True,295.922,"LINESTRING (72.8642245 32.9299903, 72.8653718 32.9298042, 72.8667698 32.9295933, 72.8673425 32.9295074)",Chakral Road,,
320893675,True,trunk,,False,60.324999999999996,"LINESTRING (72.8642245 32.9299903, 72.8643329 32.929711, 72.8644315 32.9294764)",,,
320893727,False,residential,,False,163.927,"LINESTRING (72.8641215 32.9300147, 72.8624604 32.9303798, 72.8624255 32.930395)",,,
320893729,True,trunk,80,False,163.362,"LINESTRING (72.8641215 32.9300147, 72.8635895 32.9313344, 72.863593 32.9314103)",Choa-Chakwal Road,yes,
75869447,False,trunk,80,True,14.103,"LINESTRING (72.863593 32.9314103, 72.8635477 32.9315313)",Choa-Chakwal Road,yes,
320893675,True,trunk,,False,12.414,"LINESTRING (72.863593 32.9314103, 72.8636984 32.9313422)",,,
320893675,True,trunk,,False,48.434,"LINESTRING (72.8636984 32.9313422, 72.8638597 32.9309282)",,,
320896484,False,residential,,False,102.265,"LINESTRING (72.8636984 32.9313422, 72.8640913 32.9313069, 72.8647869 32.9312367)",,,
75869447,False,trunk,80,False,60.008,"LINESTRING (72.8633492 32.9320446, 72.8635477 32.9315313)",Choa-Chakwal Road,yes,
75869447,False,trunk,80,True,11.496,"LINESTRING (72.8633492 32.9320446, 72.8633114 32.932143)",Choa-Chakwal Road,yes,
320893701,False,tertiary,,False,297.097,"LINESTRING (72.8633492 32.9320446, 72.8618483 32.9316749, 72.8602749 32.9313541)",,,
717332876,False,residential,,True,152.829,"LINESTRING (72.8633492 32.9320446, 72.8637158 32.9319375, 72.8639794 32.931878, 72.8648479 32.9315035)",,,
320893703,False,tertiary,,False,16.012,"LINESTRING (72.8602749 32.9313541, 72.8603067 32.9312126)",,,
320893701,False,tertiary,,True,297.097,"LINESTRING (72.8602749 32.9313541, 72.8618483 32.9316749, 72.8633492 32.9320446)",,,
320893703,False,tertiary,,True,153.219,"LINESTRING (72.8602749 32.9313541, 72.8602424 32.9317056, 72.8601235 32.9327261)",,,
