osmid,oneway,highway,maxspeed,reversed,length,geometry,name
242075376,True,secondary,60,False,44.167,"LINESTRING (72.2390031 30.5252983, 72.2385512 30.5252193)",
242075498,False,secondary,,False,155.726,"LINESTRING (72.2390031 30.5252983, 72.2396906 30.5240292)",
242075498,False,secondary,,True,7.214,"LINESTRING (72.2390031 30.5252983, 72.2389759 30.5253588)",
242075376,True,secondary,60,False,46.922,"LINESTRING (72.2398498 30.5254781, 72.2393746 30.5253756)",
242075494,False,tertiary,,False,20.071,"LINESTRING (72.2398498 30.5254781, 72.2400183 30.5253708)",
242075494,False,tertiary,,True,9.217,"LINESTRING (72.2398498 30.5254781, 72.2397684 30.5255223)",
242075498,False,secondary,,True,25.545,"LINESTRING (72.2399341 30.5235864, 72.2398199 30.523794)",
397470791,False,residential,,False,14.098,"LINESTRING (72.2399341 30.5235864, 72.2397939 30.5235478)",
397470790,False,residential,,False,57.616,"LINESTRING (72.2399341 30.5235864, 72.2400554 30.5236047, 72.2405337 30.5236112)",
397470790,False,residential,,True,113.57,"LINESTRING (72.2426173 30.5235663, 72.2414325 30.5236053)",
"[397470789, 242075494]",False,"['residential', 'tertiary']",,"[False, True]",160.52100000000002,"LINESTRING (72.2426173 30.5235663, 72.2426129 30.5237465, 72.2421369 30.5240217, 72.2414185 30.5244791)",
397470791,False,residential,,False,51.229,"LINESTRING (72.2397939 30.5235478, 72.2397976 30.5230871)",
397470791,False,residential,,True,14.098,"LINESTRING (72.2397939 30.5235478, 72.2399341 30.5235864)",
397470792,False,residential,,False,165.524,"LINESTRING (72.2397939 30.5235478, 72.2380659 30.5235352)",
397470792,False,residential,,True,17.146,"LINESTRING (72.2378869 30.5235339, 72.2380659 30.5235352)",
397470790,False,residential,,False,86.095,"LINESTRING (72.2405337 30.5236112, 72.2414325 30.5236053)",
397470793,False,residential,,False,52.995,"LINESTRING (72.2405337 30.5236112, 72.2405228 30.5240877)",
397470790,False,residential,,True,57.616,"LINESTRING (72.2405337 30.5236112, 72.2400554 30.5236047, 72.2399341 30.5235864)",
242075494,False,tertiary,,False,108.498,"LINESTRING (72.2405077 30.5250592, 72.2414185 30.5244791)",
242075494,False,tertiary,,True,33.112,"LINESTRING (72.2405077 30.5250592, 72.2402297 30.5252362)",
397470793,False,residential,,True,108.036,"LINESTRING (72.2405077 30.5250592, 72.2405228 30.5240877)",
242075498,False,secondary,,False,25.545,"LINESTRING (72.2398199 30.523794, 72.2399341 30.5235864)",
242075498,False,secondary,,True,28.937,"LINESTRING (72.2398199 30.523794, 72.2396906 30.5240292)",
397470794,False,residential,,False,60.245999999999995,"LINESTRING (72.2398199 30.523794, 72.2401237 30.5238492, 72.2401608 30.523866, 72.2401714 30.5239025, 72.2401694 30.5241031)",
242075494,False,tertiary,,False,33.112,"LINESTRING (72.2402297 30.5252362, 72.2405077 30.5250592)",
242075494,False,tertiary,,True,25.18,"LINESTRING (72.2402297 30.5252362, 72.2400183 30.5253708)",
397470794,False,residential,,True,126.226,"LINESTRING (72.2402297 30.5252362, 72.2401744 30.5246861, 72.2401694 30.5241031)",
397470795,False,residential,,False,33.894,"LINESTRING (72.2401694 30.5241031, 72.2405228 30.5240877)",
397470794,False,residential,,False,126.226,"LINESTRING (72.2401694 30.5241031, 72.2401744 30.5246861, 72.2402297 30.5252362)",
397470794,False,residential,,True,60.245999999999995,"LINESTRING (72.2401694 30.5241031, 72.2401714 30.5239025, 72.2401608 30.523866, 72.2401237 30.5238492, 72.2398199 30.523794)",
397470795,False,residential,,True,87.414,"LINESTRING (72.2414354 30.5240862, 72.2405228 30.5240877)",
397470796,False,residential,,False,43.719,"LINESTRING (72.2414354 30.5240862, 72.2414185 30.5244791)",
397470796,False,residential,,True,53.474,"LINESTRING (72.2414354 30.5240862, 72.2414325 30.5236053)",
397470790,False,residential,,False,113.57,"LINESTRING (72.2414325 30.5236053, 72.2426173 30.5235663)",
397470790,False,residential,,True,86.095,"LINESTRING (72.2414325 30.5236053, 72.2405337 30.5236112)",
397470796,False,residential,,False,53.474,"LINESTRING (72.2414325 30.5236053, 72.2414354 30.5240862)",
242075494,False,tertiary,,True,108.498,"LINESTRING (72.2414185 30.5244791, 72.2405077 30.5250592)",
397470796,False,residential,,True,43.719,"LINESTRING (72.2414185 30.5244791, 72.2414354 30.5240862)",
