osmid,name,highway,maxspeed,oneway,reversed,length,lanes,access,junction,geometry,bridge
305198908,Gur Mandi Rd,secondary,60,False,True,59.805,,,,"LINESTRING (74.5381861 32.4962318, 74.5380924 32.4956998)",
643293178,,secondary,50,True,False,16.695,2,permissive,roundabout,"LINESTRING (74.5381861 32.4962318, 74.5381623 32.4962635, 74.5381517 32.4963, 74.5381555 32.4963374, 74.5381732 32.4963718)",
365514088,Main Bazar,tertiary,,False,True,164.644,,,,"LINESTRING (74.5412342 32.4923664, 74.5429421 32.4927088)",
305198909,Main Bazar,tertiary,,False,True,87.825,,,,"LINESTRING (74.5412342 32.4923664, 74.5411395 32.4924427, 74.5404368 32.4926192, 74.5403654 32.4926285)",
365500122,Budhi Bazar,tertiary,,False,False,182.985,,,,"LINESTRING (74.5412342 32.4923664, 74.5411435 32.4922604, 74.5411008 32.4921331, 74.5409599 32.491713, 74.5409028 32.491592, 74.5407615 32.4912001, 74.5406509 32.4908048)",
365514088,Main Bazar,tertiary,,False,False,148.563,,,,"LINESTRING (74.5444164 32.4931974, 74.5429421 32.4927088)",
365514085,Raja Bazar,tertiary,,False,True,194.335,,,,"LINESTRING (74.5444164 32.4931974, 74.5445371 32.4943927, 74.5445532 32.4949406)",
232478150,,tertiary,,False,True,112.726,,,,"LINESTRING (74.539227 32.4950039, 74.5397999 32.4950599, 74.5404194 32.495131)",
241159861,Trunk Bazaar,residential,,False,False,208.19,,,,"LINESTRING (74.539227 32.4950039, 74.5394458 32.4945938, 74.5401124 32.493557, 74.5402601 32.4933482)",
1020374263,,tertiary,,True,False,112.12299999999999,,,,"LINESTRING (74.539227 32.4950039, 74.5388138 32.4950058, 74.5384089 32.4950173, 74.5380318 32.4950239)",
305198908,Gur Mandi Rd,secondary,60,False,False,75.371,,,,"LINESTRING (74.5380318 32.4950239, 74.5380924 32.4956998)",
305198908,Gur Mandi Rd,secondary,60,False,True,108.032,,,,"LINESTRING (74.5380318 32.4950239, 74.537957 32.4940544)",
232478150,,tertiary,,False,False,9.237,,,,"LINESTRING (74.5405168 32.4951433, 74.5404194 32.495131)",
363912295,,residential,,False,True,76.304,,,,"LINESTRING (74.5405168 32.4951433, 74.5404148 32.4958241)",
232478150,,tertiary,,False,True,126.635,,,,"LINESTRING (74.5405168 32.4951433, 74.5408181 32.4951789, 74.5411547 32.4952089, 74.5412807 32.4952202, 74.5418583 32.4952717)",
232478150,,tertiary,,False,False,22.939,,,,"LINESTRING (74.5433038 32.4951625, 74.5430597 32.4951756)",
232478150,,tertiary,,False,True,119.746,,,,"LINESTRING (74.5433038 32.4951625, 74.5445532 32.4949406)",
241159857,Mahajra Road,tertiary,,False,True,149.503,,,,"LINESTRING (74.5433038 32.4951625, 74.5434139 32.4958141, 74.5434167 32.4958894, 74.5434315 32.4962932, 74.5434183 32.4964999)",
363907098,Karimpura Road,residential,,False,False,74.883,,,,"LINESTRING (74.5434183 32.4964999, 74.5442116 32.4965763)",
241159857,Mahajra Road,tertiary,,False,False,149.503,,,,"LINESTRING (74.5434183 32.4964999, 74.5434315 32.4962932, 74.5434167 32.4958894, 74.5434139 32.4958141, 74.5433038 32.4951625)",
241159857,Mahajra Road,tertiary,,False,True,122.398,,,,"LINESTRING (74.5434183 32.4964999, 74.5433925 32.4969405, 74.5434234 32.4975996)",
241159858,Karimpura Road,residential,,False,False,165.177,,,,"LINESTRING (74.5434183 32.4964999, 74.5427225 32.4963455, 74.541973 32.4961791, 74.5419172 32.4961666, 74.5417145 32.4961237)",
902243606,Karimpura Road,residential,,True,False,86.807,,,,"LINESTRING (74.5390149 32.495636, 74.5380924 32.4956998)",
