osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,access
454117036,2,Chak Jhumra - Khurrianwal Road,primary,60,False,True,12.958,"LINESTRING (73.2729947 31.4977409, 73.2728903 31.4978161)",,,
454117036,2,Chak Jhumra - Khurrianwal Road,primary,60,False,False,62.581,"LINESTRING (73.2729947 31.4977409, 73.2731096 31.4976634, 73.2732137 31.4975869, 73.2733606 31.497468, 73.2734766 31.4973579)",,,
454117039,2,فیصل آباد - شیخو پورہ - لاہور روڈ,trunk,70,True,False,102.302,"LINESTRING (73.2729947 31.4977409, 73.2728516 31.4977349, 73.272702 31.4977228, 73.2724611 31.4977009, 73.272231 31.4976611, 73.2721345 31.4976331, 73.2719402 31.4975736)",,,
454117035,4,Chak Jhumra - Khurrianwal Road,primary,80,False,True,22.504,"LINESTRING (73.2739319 31.4968368, 73.2737855 31.4969961)",yes,,
454330465,,,unclassified,,False,False,299.563,"LINESTRING (73.2739319 31.4968368, 73.2738353 31.4967341, 73.2737576 31.4966129, 73.2737522 31.4964368, 73.27361 31.4959428, 73.2734277 31.4952201, 73.2734303 31.495028, 73.2734545 31.4944425, 73.2734706 31.4942207)",,,
940929151,2,Khurrianwal-Jaranwala Road,primary,60,False,False,200.498,"LINESTRING (73.2739319 31.4968368, 73.2740558 31.4967107, 73.2741505 31.4966115, 73.27478 31.4960452, 73.2753744 31.4955192)",,,
45493188,2,,primary,60,False,False,54.980000000000004,"LINESTRING (73.2717565 31.4968172, 73.2717708 31.4969321, 73.2717767 31.49705, 73.2717748 31.4971517, 73.2717681 31.497226, 73.2717524 31.4973096)",,,
45493188,2,,primary,60,False,True,33.289,"LINESTRING (73.2717565 31.4968172, 73.2717519 31.4967494, 73.2716902 31.496524)",,,
230934991,,,trunk_link,,True,False,112.68,"LINESTRING (73.2717565 31.4968172, 73.27174 31.4969481, 73.2717229 31.4970854, 73.2717156 31.4971271, 73.2716909 31.4971713, 73.271666 31.4972037, 73.2716198 31.4972462, 73.2715707 31.4972757, 73.2714803 31.4972999, 73.2713984 31.4973027, 73.2713752 31.4973001, 73.271245 31.4972788, 73.2711688 31.4972588, 73.270999 31.4972095)",,,
230935000,,,trunk_link,,True,False,35.815,"LINESTRING (73.2719402 31.4975736, 73.2718616 31.4975161, 73.2718141 31.4974753, 73.2717884 31.4974357, 73.2717722 31.4974101, 73.2717655 31.4973827, 73.2717524 31.4973096)",,,
454117039,2,فیصل آباد - شیخو پورہ - لاہور روڈ,trunk,70,True,False,28.793,"LINESTRING (73.2719402 31.4975736, 73.2718557 31.497541, 73.2716623 31.4974692)",,,
45493188,2,,primary,60,False,False,9.141,"LINESTRING (73.2716623 31.4974692, 73.2716196 31.4975429)",,,
45493188,2,,primary,60,False,True,19.731,"LINESTRING (73.2716623 31.4974692, 73.2716904 31.4974277, 73.2717195 31.4973795, 73.2717524 31.4973096)",,,
454117039,2,فیصل آباد - شیخو پورہ - لاہور روڈ,trunk,70,True,False,69.205,"LINESTRING (73.2716623 31.4974692, 73.271415 31.4973718, 73.2712312 31.4972979, 73.270999 31.4972095)",,,
130509009,2,Khurianwala Bypass,secondary,60,False,False,62.861,"LINESTRING (73.2731576 31.4986859, 73.2731558 31.4986374, 73.2731514 31.4985912, 73.2731241 31.4985029, 73.2730052 31.498279, 73.27294 31.4981578)",,,
130509009,2,Khurianwala Bypass,secondary,60,False,True,40.317,"LINESTRING (73.2731576 31.4986859, 73.2731357 31.4987506, 73.2731027 31.4988128, 73.272952 31.4989999)",,,
"[454336410, 454336411, 454117046]",,,tertiary,,False,False,96.71,"LINESTRING (73.2731576 31.4986859, 73.2732041 31.4987254, 73.2732564 31.498746, 73.2732926 31.4987517, 73.2733235 31.498746, 73.2733731 31.4987254, 73.2734281 31.4987003, 73.2735005 31.4986706, 73.2735957 31.498634, 73.2736816 31.4986042, 73.2737607 31.4985711, 73.2738318 31.4985413, 73.2739297 31.4985265, 73.2739726 31.498539, 73.2740048 31.4985653, 73.2740463 31.4986202)",yes,,
454117036,2,Chak Jhumra - Khurrianwal Road,primary,60,False,False,12.958,"LINESTRING (73.2728903 31.4978161, 73.2729947 31.4977409)",,,
454117036,2,Chak Jhumra - Khurrianwal Road,primary,60,False,True,11.137,"LINESTRING (73.2728903 31.4978161, 73.2728046 31.4978846)",,,
"[454330480, 454330460]",,,"['unclassified', 'residential']",,False,"[False, True]",167.274,"LINESTRING (73.2699889 31.4969928, 73.2699529 31.4970618, 73.2699368 31.4971887, 73.269926 31.4972779, 73.2699233 31.4973659, 73.269918 31.4974426, 73.2699193 31.4975077, 73.2699207 31.4975535, 73.2699247 31.4976026, 73.2692689 31.4978096, 73.2689488 31.4979083)",,,
454117036,2,Chak Jhumra - Khurrianwal Road,primary,60,False,False,11.137,"LINESTRING (73.2728046 31.4978846, 73.2728903 31.4978161)",,,
130509009,2,Khurianwala Bypass,secondary,60,False,True,32.992000000000004,"LINESTRING (73.2728046 31.4978846, 73.2728336 31.4979451, 73.272851 31.4979794, 73.2728827 31.4980512, 73.27294 31.4981578)",,,
454117036,2,Chak Jhumra - Khurrianwal Road,primary,60,False,True,33.594,"LINESTRING (73.2728046 31.4978846, 73.2726326 31.4980066, 73.2725269 31.498072)",,,
454330469,,,tertiary,,False,False,96.309,"LINESTRING (73.2681081 31.4959596, 73.2678808 31.4954328, 73.2677519 31.4951485)",,,
454330476,,,unclassified,,False,False,20.938,"LINESTRING (73.2686557 31.4999084, 73.2685797 31.4997316)",,,
454385440,,,unclassified,,False,True,43.293,"LINESTRING (73.2686557 31.4999084, 73.2682277 31.5000441)",,,
454330476,,,unclassified,,False,True,92.963,"LINESTRING (73.2686557 31.4999084, 73.2688913 31.5004272, 73.2690083 31.5006885)",,,
454117036,2,Chak Jhumra - Khurrianwal Road,primary,60,False,True,23.353,"LINESTRING (73.2693691 31.5003855, 73.2691961 31.500535)",,,
454117036,2,Chak Jhumra - Khurrianwal Road,primary,60,False,False,68.979,"LINESTRING (73.2693691 31.5003855, 73.2698252 31.5000444, 73.269919 31.4999794)",,,
779672421,,,residential,,False,True,109.38499999999999,"LINESTRING (73.2693691 31.5003855, 73.2692331 31.5002412, 73.2691956 31.5001132, 73.2689006 31.4994958)",,,
454117036,2,Chak Jhumra - Khurrianwal Road,primary,60,False,False,23.353,"LINESTRING (73.2691961 31.500535, 73.2693691 31.5003855)",,,
454117036,2,Chak Jhumra - Khurrianwal Road,primary,60,False,True,24.665,"LINESTRING (73.2691961 31.500535, 73.2690083 31.5006885)",,,
286087426,,,residential,,False,True,50.685,"LINESTRING (73.2707818 31.5008218, 73.2702771 31.5009721)",,,
286087426,,,residential,,False,False,50.685,"LINESTRING (73.2702771 31.5009721, 73.2707818 31.5008218)",,,
