osmid,oneway,name,highway,reversed,length,geometry,maxspeed,ref,junction,lanes
380377836,True,انقلاب,secondary,False,25.962,"LINESTRING (46.2071085 36.520231, 46.2071199 36.5199977)",,,,
304199191,False,استاد هیمن - یکشوه,tertiary,True,57.616,"LINESTRING (46.2071085 36.520231, 46.2070315 36.5202449, 46.2064727 36.5203164)",,,,
380377836,True,انقلاب,secondary,False,85.7,"LINESTRING (46.2069666 36.5222756, 46.2070205 36.5215061)",,,,
708190945,True,وحدت,secondary,False,54.747,"LINESTRING (46.2069666 36.5222756, 46.2069101 36.5222868, 46.2063721 36.5223946)",,,,
373279244,False,حمام مرمر,residential,True,78.596,"LINESTRING (46.206918 36.523271, 46.2060413 36.523328)",30,,,
380377832,True,خیابان انقلاب,secondary,False,19.906,"LINESTRING (46.206918 36.523271, 46.2069209 36.523092)",,,,
304199188,True,مسجد ایلخانی زاده,tertiary,False,95.943,"LINESTRING (46.2068582 36.5241037, 46.2057845 36.5241006)",,,,
380377832,True,خیابان انقلاب,secondary,False,54.137,"LINESTRING (46.2068582 36.5241037, 46.2069019 36.5236181)",,,,
301283777,True,بلوار جمهوری اسلامی - کمربندی,primary,False,63.553,"LINESTRING (46.2155611 36.5220919, 46.2156516 36.5226588)",,21,,
772827467,False,,secondary,True,9.836,"LINESTRING (46.2155611 36.5220919, 46.2154533 36.5221098)",,,,
966550894,True,بلوار شهدا,secondary,False,32.037,"LINESTRING (46.2155611 36.5220919, 46.2158681 36.5222407)",,,,
629907152,False,گه لاویژ ۱۸,residential,True,103.344,"LINESTRING (46.2156468 36.5236636, 46.2145016 36.5237933)",30,,,
199212597,True,بلوار جمهوری اسلامی - کمربندی,primary,False,173.709,"LINESTRING (46.2156468 36.5236636, 46.2156087 36.5232398, 46.2155834 36.5229552, 46.215544 36.5226426, 46.215486 36.5223133, 46.2154533 36.5221098)",,21,,
199212597,True,بلوار جمهوری اسلامی - کمربندی,primary,False,16.559,"LINESTRING (46.2154533 36.5221098, 46.2154138 36.5219643)",,21,,
772827467,False,,secondary,False,9.836,"LINESTRING (46.2154533 36.5221098, 46.2155611 36.5220919)",,,,
199212597,True,بلوار جمهوری اسلامی - کمربندی,primary,False,14.6,"LINESTRING (46.2154138 36.5219643, 46.2153827 36.5218354)",,21,,
629898648,True,سید قطب,residential,False,61.47,"LINESTRING (46.2154138 36.5219643, 46.2147549 36.5218055)",30,,,
199212597,True,بلوار جمهوری اسلامی - کمربندی,primary,False,71.383,"LINESTRING (46.2150657 36.5204032, 46.2149054 36.5197743)",,21,,
784738016,False,چهار راه کمربندی,secondary,False,10.806,"LINESTRING (46.2150657 36.5204032, 46.2151838 36.5203823)",,,,
886385594,False,مولوی شرقی,secondary,False,58.541,"LINESTRING (46.2150657 36.5204032, 46.21443 36.5205304)",,,,
199212597,True,بلوار جمهوری اسلامی - کمربندی,primary,False,71.739,"LINESTRING (46.2149054 36.5197743, 46.2147869 36.5191362)",,21,,
373291113,False,گه لاویژ ۱۱,residential,False,61.177,"LINESTRING (46.2149054 36.5197743, 46.2142529 36.5199408)",30,,,
199212614,True,شهید بهشتی,secondary,False,71.539,"LINESTRING (46.2087536 36.5218376, 46.2086574 36.5224763)",,,,
764364413,False,,secondary,False,6.132,"LINESTRING (46.2087536 36.5218376, 46.2086896 36.5218575)",,,,
374103084,False,مولوی شرقی,residential,True,29.341,"LINESTRING (46.2087536 36.5218376, 46.2087715 36.5219153, 46.2089291 36.5219639, 46.2089901 36.521968)",30,,,
199212609,True,مولوی شرقی,secondary,False,31.514,"LINESTRING (46.2105507 36.5214148, 46.2102129 36.5214962)",,,,
398965904,False,هه وار ۱,residential,False,52.835,"LINESTRING (46.2105507 36.5214148, 46.2105861 36.5209405)",30,,,
199212609,True,مولوی شرقی,secondary,False,18.223,"LINESTRING (46.2107469 36.5213701, 46.2105507 36.5214148)",,,,
629905513,False,به فرانبار ۴  - مام صاحبی,residential,True,43.398,"LINESTRING (46.2107469 36.5213701, 46.2107994 36.5217581)",30,,,
199212609,True,مولوی شرقی,secondary,False,24.802,"LINESTRING (46.2123426 36.5210004, 46.2120823 36.5210778)",,,,
886385594,False,مولوی شرقی,secondary,True,29.223,"LINESTRING (46.2123426 36.5210004, 46.2126576 36.5209298)",,,,
373291124,False,شاهین ۱,residential,True,67.444,"LINESTRING (46.21443 36.5205304, 46.2142529 36.5199408)",30,,,
886385594,False,مولوی شرقی,secondary,False,36.282,"LINESTRING (46.21443 36.5205304, 46.2140401 36.5206214)",,,,
886385594,False,مولوی شرقی,secondary,True,58.541,"LINESTRING (46.21443 36.5205304, 46.2150657 36.5204032)",,,,
374103093,False,پوشپه ر ۶,residential,False,23.246,"LINESTRING (46.2084087 36.5257713, 46.2086566 36.5257079)",30,,,
629207130,True,شهید بهشتی,secondary,False,51.318,"LINESTRING (46.2093379 36.5205771, 46.2090342 36.5209688)",,,,
199212619,True,سید قطب,residential,False,65.607,"LINESTRING (46.2093379 36.5205771, 46.2097075 36.5205821, 46.2100706 36.5206079)",30,,,
629207130,True,شهید بهشتی,secondary,False,22.953,"LINESTRING (46.2100546 36.5196535, 46.209948 36.5198413)",,,,
373291114,False,خاکه لیوه ۶,residential,False,52.865,"LINESTRING (46.2100546 36.5196535, 46.2102704 36.5196979, 46.2106372 36.5197289)",30,,,
685261645,True,شهید بهشتی,secondary,False,70.451,"LINESTRING (46.2100181 36.5193064, 46.2099994 36.518673)",,,,
629905516,False,پوشپه ر ۱۳,residential,False,67.13,"LINESTRING (46.2111526 36.5242001, 46.2104361 36.5243816)",30,,,
