osmid,oneway,highway,maxspeed,reversed,length,lanes,name,geometry,junction,bridge,width
831327604,True,secondary,30,False,10.763,,,"LINESTRING (50.0024085 37.2551988, 50.0023795 37.2552928)",,,
748912325,True,secondary,50,False,185.899,2,بلوار حشمت,"LINESTRING (50.0024085 37.2551988, 50.0033163 37.2554239, 50.0044133 37.2556975)",,,
233785369,True,secondary,30,False,10.56,,رودبنه - لاهیجان,"LINESTRING (50.0022968 37.2552725, 50.0023227 37.2551798)",,,
748912324,True,secondary,,False,1.625,,میدان شهدا,"LINESTRING (50.0047682 37.2557853, 50.0047728 37.2557854, 50.0047773 37.2557858, 50.0047818 37.2557865, 50.0047863 37.2557874)",roundabout,,
748912326,True,secondary,50,False,218.157,2,بلوار حشمت,"LINESTRING (50.0047354 37.2558698, 50.0023795 37.2552928)",,,
748912324,True,secondary,,False,12.994999999999997,,میدان شهدا,"LINESTRING (50.0047354 37.2558698, 50.0047317 37.2558676, 50.0047283 37.2558652, 50.0047252 37.2558625, 50.0047223 37.2558597, 50.0047197 37.2558567, 50.0047174 37.2558535, 50.0047154 37.2558502, 50.0047137 37.2558468, 50.0047124 37.2558433, 50.0047115 37.2558397, 50.0047109 37.2558361, 50.0047106 37.2558325, 50.0047107 37.2558288, 50.0047112 37.2558252, 50.004712 37.2558216, 50.0047132 37.2558181, 50.0047148 37.2558146, 50.0047166 37.2558113, 50.0047188 37.2558081, 50.0047213 37.255805, 50.0047241 37.2558021, 50.0047271 37.2557994, 50.0047305 37.2557969, 50.004734 37.2557946, 50.0047378 37.2557925, 50.0047418 37.2557907, 50.0047459 37.2557891, 50.0047502 37.2557878, 50.0047546 37.2557868, 50.0047591 37.255786, 50.0047636 37.2557855, 50.0047682 37.2557853)",roundabout,,
233785328,True,secondary,50,False,60.509,2,بلوار حشمت,"LINESTRING (50.0069221 37.2563429, 50.007574 37.2565069)",,,
292269427,False,residential,,False,10.638,,بوستان,"LINESTRING (50.0069221 37.2563429, 50.0068854 37.256434)",,,
292269427,False,residential,,True,10.638,,بوستان,"LINESTRING (50.0068854 37.256434, 50.0069221 37.2563429)",,,
"[292269427, 292269428, 292269429]",False,residential,,False,118.643,,بوستان,"LINESTRING (50.0068854 37.256434, 50.0065626 37.2569834, 50.0065026 37.2570885, 50.0063519 37.2572927, 50.0062861 37.2573874)",,yes,3
841286300,True,secondary,50,False,197.164,2,بلوار حشمت,"LINESTRING (50.0068854 37.256434, 50.0055206 37.2560756, 50.0047699 37.2558783)",,,
721792999,True,secondary_link,,False,13.302,,,"LINESTRING (50.0095363 37.2570005, 50.0095493 37.2570152, 50.0095557 37.2570299, 50.0095586 37.2570403, 50.0095564 37.2570528, 50.0095527 37.2570629, 50.0095423 37.2570726, 50.0095323 37.2570782, 50.0095202 37.2570838, 50.0095128 37.2570868, 50.0094988 37.2570914)",,,
841286300,True,secondary,50,False,242.571,2,بلوار حشمت,"LINESTRING (50.0094988 37.2570914, 50.0070306 37.2564705, 50.0068854 37.256434)",,,
