osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction,lanes,bridge,tunnel
244720503,True,البرز ۲,secondary,30,False,69.93,"LINESTRING (52.8572068 36.4630044, 52.8565292 36.4633183)",,,,
1022763532,False,,primary,,False,7.864,"LINESTRING (52.8572068 36.4630044, 52.8572808 36.4629662)",,,,
1021391886,True,خیابان صالحی مازندرانی,primary,,False,187.07799999999997,"LINESTRING (52.8572068 36.4630044, 52.8571461 36.4629152, 52.8569462 36.4626213, 52.8561838 36.4615369)",,,,
244720969,True,تلار ۱ شهیدبهشتی,secondary,30,False,81.472,"LINESTRING (52.8570221 36.4639345, 52.8565292 36.4633183)",,,,
1125329317,True,خیابان امام خمینی,primary,,False,59.800000000000004,"LINESTRING (52.8570221 36.4639345, 52.85713 36.4638948, 52.8575684 36.4637335, 52.8576302 36.4637108)",,,,
52088575,True,میدان طالقانی,primary,,False,53.357,"LINESTRING (52.8581873 36.4637824, 52.8581175 36.4638393, 52.8580291 36.463876, 52.8579309 36.4638886, 52.8578327 36.463876, 52.8577443 36.4638394, 52.8576745 36.4637824)",roundabout,,,
52088575,True,میدان طالقانی,primary,,False,33.144,"LINESTRING (52.8576302 36.4637108, 52.8576159 36.4636372, 52.8576288 36.4635635, 52.8576678 36.4634959, 52.857697 36.4634657, 52.8577295 36.4634404)",roundabout,,,
122821973,True,شهید مدرس,primary,,False,71.19399999999999,"LINESTRING (52.8617924 36.4628756, 52.8618735 36.4629338, 52.8621276 36.4630652, 52.8624444 36.4632416)",,1,,
243246150,True,شهید مدرس,primary,,False,126.051,"LINESTRING (52.8617924 36.4628756, 52.8621365 36.4629072, 52.8624639 36.4629897, 52.8627753 36.4631392, 52.8630602 36.4633128)",,3,,
83365466,True,شهید مدرس,primary,,False,144.88500000000002,"LINESTRING (52.8594996 36.4628224, 52.8596197 36.462786, 52.8600395 36.462688, 52.8605313 36.4626311, 52.8609916 36.4626524, 52.861086 36.4626694)",,,,
52088575,True,میدان طالقانی,primary,,False,9.303,"LINESTRING (52.8577295 36.4634404, 52.8578194 36.4633983)",roundabout,,,
1021391886,True,خیابان صالحی مازندرانی,primary,,False,67.345,"LINESTRING (52.8577295 36.4634404, 52.8572068 36.4630044)",,,,
243244290,True,میدان شهید بهشتی,secondary,20,False,13.283000000000001,"LINESTRING (52.8615459 36.4602382, 52.8615434 36.4602084, 52.8615516 36.4601793, 52.8615698 36.4601532, 52.8615965 36.4601325)",roundabout,,,
479568530,False,راهبند قایم محله,secondary,,True,13.472,"LINESTRING (52.8571492 36.4606541, 52.8570162 36.460711)",,,,
479568530,False,راهبند قایم محله,secondary,,False,95.334,"LINESTRING (52.8571492 36.4606541, 52.8572242 36.4605216, 52.8572894 36.460113, 52.8573545 36.4598825, 52.8573865 36.4598245)",,,,
625754941,False,,residential,,False,100.94,"LINESTRING (52.8571492 36.4606541, 52.8577026 36.4604534, 52.8581808 36.4602858)",,,,
619397652,True,مدرس(یاس۸),primary,,False,178.224,"LINESTRING (52.8630602 36.4633128, 52.8632283 36.4633968, 52.8633097 36.4634736, 52.8633487 36.4635818, 52.8633327 36.4636899, 52.8632496 36.4638408, 52.8629523 36.4642193, 52.8626727 36.4646022, 52.862632 36.4646577)",,,,
