osmid,highway,junction,oneway,reversed,length,geometry,name
178798366,secondary,,True,False,12.528,"LINESTRING (49.0981303 32.329918, 49.098112 32.3300296)",آیت الله خامنه ای
865525286,tertiary,,True,False,8.666,"LINESTRING (49.0981303 32.329918, 49.0980393 32.3299053)",
178798392,tertiary,roundabout,True,False,11.296,"LINESTRING (49.0962059 32.3295332, 49.0962002 32.3295437, 49.0961725 32.3295632, 49.096138 32.3295691, 49.0961034 32.3295632)",
178798392,tertiary,roundabout,True,False,3.388,"LINESTRING (49.0961034 32.3295632, 49.0960757 32.3295437)",
430052153,residential,,False,False,60.974,"LINESTRING (49.0961034 32.3295632, 49.095642 32.3299488)",
178798392,tertiary,roundabout,True,False,9.665,"LINESTRING (49.0960757 32.3295437, 49.0960619 32.3295184, 49.0960619 32.3294872, 49.0960757 32.3294619)",
178798432,tertiary,,True,False,139.247,"LINESTRING (49.0960757 32.3295437, 49.0958406 32.3295414, 49.0945938 32.3295287)",امام خمینی
178798392,tertiary,roundabout,True,False,10.007,"LINESTRING (49.0960757 32.3294619, 49.0961034 32.3294424, 49.096138 32.3294366, 49.0961725 32.3294424)",
178798392,tertiary,roundabout,True,False,3.388,"LINESTRING (49.0961725 32.3294424, 49.0962002 32.3294619)",
430052154,residential,,False,True,5.797,"LINESTRING (49.0961725 32.3294424, 49.0962221 32.3294114)",
178798392,tertiary,roundabout,True,False,8.38,"LINESTRING (49.0962002 32.3294619, 49.096214 32.3294872, 49.096214 32.3295184, 49.0962059 32.3295332)",
178798399,tertiary,,True,False,36.371,"LINESTRING (49.0962002 32.3294619, 49.0963028 32.3294491, 49.0964323 32.329459, 49.0965838 32.3294791)",امام خمینی
178798399,tertiary,,True,False,11.891,"LINESTRING (49.0965838 32.3294791, 49.0967061 32.3295066)",امام خمینی
178798399,tertiary,,True,False,52.313,"LINESTRING (49.0973633 32.3296545, 49.0979015 32.329775)",امام خمینی
430052269,residential,,False,True,25.189,"LINESTRING (49.0973633 32.3296545, 49.0973982 32.3294299)",
178798437,residential,,True,False,85.273,"LINESTRING (49.0916141 32.3294615, 49.090712 32.3295455)",امام خمینی
178798422,tertiary,roundabout,True,False,19.341,"LINESTRING (49.0916141 32.3294615, 49.0915926 32.329422, 49.091593 32.3293785, 49.0916152 32.3293393, 49.0916551 32.3293118)",
178798422,tertiary,roundabout,True,False,14.204,"LINESTRING (49.0916551 32.3293118, 49.0917039 32.3293013, 49.0917535 32.329309, 49.0917948 32.3293334)",
178798422,tertiary,roundabout,True,False,4.727,"LINESTRING (49.0917948 32.3293334, 49.0918202 32.3293701)",
430052373,residential,,False,False,37.252,"LINESTRING (49.0917948 32.3293334, 49.0919812 32.3292533, 49.0921633 32.3292161)",
178798422,tertiary,roundabout,True,False,11.488,"LINESTRING (49.0918202 32.3293701, 49.091826 32.3294042, 49.0918177 32.3294379, 49.0917963 32.3294672)",
178798427,tertiary,,True,False,116.46000000000001,"LINESTRING (49.0918202 32.3293701, 49.0919351 32.3294082, 49.0921058 32.3294355, 49.0930481 32.3294287)",امام خمینی
178798427,tertiary,,True,False,81.529,"LINESTRING (49.0930481 32.3294287, 49.0939157 32.3294407)",امام خمینی
430052159,residential,,False,False,9.79,"LINESTRING (49.0930481 32.3294287, 49.0930448 32.3295167)",
430052159,residential,,False,True,67.054,"LINESTRING (49.0930481 32.3294287, 49.0931219 32.3288289)",
178798427,tertiary,,True,False,59.829,"LINESTRING (49.0939157 32.3294407, 49.0945524 32.3294483)",امام خمینی
430052245,residential,,False,False,9.14,"LINESTRING (49.0939157 32.3294407, 49.0939154 32.3295229)",
178798432,tertiary,,True,False,64.097,"LINESTRING (49.0928266 32.3295151, 49.0921445 32.329506)",امام خمینی
430052279,residential,,False,False,55.311,"LINESTRING (49.0928266 32.3295151, 49.0928207 32.3300125)",
430052146,residential,,False,False,17.332,"LINESTRING (49.0906925 32.3293905, 49.090712 32.3295455)",شهید بهشتی
430052146,residential,,False,True,8.14,"LINESTRING (49.0906925 32.3293905, 49.090686 32.3293175)",شهید بهشتی
178798435,residential,,True,False,90.867,"LINESTRING (49.0906925 32.3293905, 49.091493 32.3293261, 49.0916551 32.3293118)",امام خمینی
430052146,residential,,False,True,17.332,"LINESTRING (49.090712 32.3295455, 49.0906925 32.3293905)",شهید بهشتی
430052181,residential,,False,True,10.072,"LINESTRING (49.0916554 32.3310211, 49.0917626 32.3310211)",مطهری
1031093398,tertiary,,True,False,35.149,"LINESTRING (49.0916554 32.3310211, 49.0916536 32.330705)",شهید رجایی
