osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,bridge
83905400,میدان حضرت معصومه,tertiary,20,roundabout,True,False,18.784,"LINESTRING (49.8669923 37.1529015, 49.86704 37.1529152, 49.8670796 37.1529406, 49.8671067 37.1529748, 49.8671305 37.1530184)",,
457976242,,residential,,,False,True,111.94300000000001,"LINESTRING (49.8669923 37.1529015, 49.8669157 37.1525312, 49.8665928 37.1519546)",,
83905455,خیابان ابوذر (۱۶ متری),tertiary,,,False,False,60.375,"LINESTRING (49.8668342 37.1530879, 49.8661715 37.1532137)",,
83905400,میدان حضرت معصومه,tertiary,20,roundabout,True,False,31.485,"LINESTRING (49.8668342 37.1530879, 49.8668145 37.1530506, 49.8668111 37.1530103, 49.8668243 37.1529712, 49.8668528 37.1529377, 49.8668933 37.1529134, 49.8669416 37.1529008, 49.8669923 37.1529015)",,
83905269,خیابان امام,secondary,,,False,True,78.769,"LINESTRING (49.8702572 37.1484809, 49.8701799 37.1477752)",,
158177999,پروانه,residential,20,,False,False,87.572,"LINESTRING (49.8702572 37.1484809, 49.8712435 37.1484339)",,
1111153362,,residential,,,False,True,53.773,"LINESTRING (49.8702572 37.1484809, 49.8696629 37.1485782)",,
83905269,خیابان امام,secondary,,,False,False,74.352,"LINESTRING (49.8702572 37.1484809, 49.8702943 37.1489756, 49.8703067 37.1490861, 49.8703136 37.149148)",,
488844513,امام خمینی,secondary,,,False,False,29.097,"LINESTRING (49.8707053 37.1518906, 49.8708119 37.1521381)",,
112191862,فاضل خان محّله دو,residential,,,False,False,131.701,"LINESTRING (49.8707053 37.1518906, 49.8712176 37.1514209, 49.8717729 37.1510745)",,
488844513,امام خمینی,secondary,,,False,True,69.892,"LINESTRING (49.8707053 37.1518906, 49.8705267 37.1514408, 49.8704577 37.151294)",,
488844513,امام خمینی,secondary,,,False,True,29.097,"LINESTRING (49.8708119 37.1521381, 49.8707053 37.1518906)",,
83905360,خیابان ابوذر (۱۶ متری),tertiary,,,False,False,77.524,"LINESTRING (49.8708119 37.1521381, 49.8704426 37.1522346, 49.8701339 37.1523162, 49.8699821 37.1523586)",,
1047598921,خیابان امام,secondary,,,False,False,65.8,"LINESTRING (49.8708119 37.1521381, 49.870913 37.1524027, 49.8710508 37.1526981)",,
110412334,,residential,,,True,False,47.066,"LINESTRING (49.8754931 37.1482047, 49.8752681 37.1485881)",,
112501397,بلوار شهید انصاری,secondary,,,True,False,41.105,"LINESTRING (49.8754931 37.1482047, 49.8750525 37.1483201)",,
1051457254,معلم,tertiary,,,False,True,48.677,"LINESTRING (49.8669621 37.1531452, 49.8670547 37.1535767)",2,
83905400,میدان حضرت معصومه,tertiary,20,roundabout,True,False,13.491,"LINESTRING (49.8669621 37.1531452, 49.8669122 37.1531379, 49.8668679 37.1531181, 49.8668342 37.1530879)",,
83905360,خیابان ابوذر (۱۶ متری),tertiary,,,False,True,58.17,"LINESTRING (49.8671305 37.1530184, 49.8677619 37.1528755)",,
83905400,میدان حضرت معصومه,tertiary,20,roundabout,True,False,22.272000000000002,"LINESTRING (49.8671305 37.1530184, 49.8671134 37.1530544, 49.8670922 37.1530912, 49.8670573 37.1531205, 49.8670123 37.1531392, 49.8669621 37.1531452)",,
112191855,شیرودی,residential,30,,False,False,46.311,"LINESTRING (49.8724491 37.1525282, 49.8727892 37.1528444)",,
1111156840,قدیم دیلمان,residential,60,,False,False,44.014,"LINESTRING (49.8724491 37.1525282, 49.8728829 37.1523355)",,
121982640,قدیم دیلمان,residential,,,False,True,124.06899999999999,"LINESTRING (49.8724491 37.1525282, 49.8724401 37.152533, 49.8721601 37.1527325, 49.8719116 37.1528482, 49.8716274 37.1529566, 49.8712334 37.1530489)",,
100024354,قدیم دیلمان,residential,60,,False,True,84.624,"LINESTRING (49.8752681 37.1485881, 49.8751209 37.1488789, 49.8747981 37.149245)",,
110412333,,residential,,,True,False,36.047,"LINESTRING (49.8752681 37.1485881, 49.8751797 37.148422, 49.8750525 37.1483201)",,
100024354,قدیم دیلمان,residential,60,,False,True,63.6,"LINESTRING (49.8747981 37.149245, 49.874472 37.1497545)",,
100024354,قدیم دیلمان,residential,60,,False,False,84.624,"LINESTRING (49.8747981 37.149245, 49.8751209 37.1488789, 49.8752681 37.1485881)",,
"[1111156833, 1111156834]",کوی سرپرست,residential,20,,False,False,18.646,"LINESTRING (49.8747981 37.149245, 49.874852 37.1492797, 49.8749812 37.1493249)",,yes
112191855,شیرودی,residential,30,,False,False,36.915,"LINESTRING (49.8727892 37.1528444, 49.8731447 37.1530174)",,
112191855,شیرودی,residential,30,,False,True,46.311,"LINESTRING (49.8727892 37.1528444, 49.8724491 37.1525282)",,
769896185,گلستان,residential,20,,False,True,84.31700000000001,"LINESTRING (49.8727892 37.1528444, 49.8730486 37.1532004, 49.8731184 37.1535425)",,
1200701073,,residential,,,False,True,100.853,"LINESTRING (49.8727892 37.1528444, 49.8726306 37.1529953, 49.8725313 37.1530209, 49.8724482 37.1530444, 49.8724026 37.1531321, 49.872306 37.1532539, 49.8722014 37.1533694, 49.8720622 37.153505)",,
457976206,فرهنگ چهارم,residential,30,,False,False,59.82,"LINESTRING (49.8674626 37.1548022, 49.8668147 37.1549531)",,
1051457254,معلم,tertiary,,,False,False,56.923,"LINESTRING (49.8674626 37.1548022, 49.8672923 37.1543086)",2,
1051457255,فرهنگ دوازدهم,residential,,,False,False,71.357,"LINESTRING (49.8674626 37.1548022, 49.8682402 37.1546357)",,
1051457254,معلم,tertiary,,,False,True,157.39,"LINESTRING (49.8674626 37.1548022, 49.8674972 37.1549401, 49.8676705 37.1555235, 49.8677618 37.1558314, 49.8678725 37.1561793)",2,
110398816,باهنر,residential,,,False,False,43.721000000000004,"LINESTRING (49.8706382 37.1545946, 49.8709382 37.1543672, 49.8709484 37.1543045)",,
110398816,باهنر,residential,,,False,True,184.493,"LINESTRING (49.8706382 37.1545946, 49.870166 37.1547854, 49.8696671 37.1550397, 49.8689599 37.1555573)",,
