osmid,highway,oneway,reversed,length,lanes,name,maxspeed,geometry,junction,bridge
965203407,residential,False,True,51.507,,,,"LINESTRING (46.0579117 37.1796456, 46.0573951 37.1798581)",,
815359855,tertiary,False,False,81.84,2,خیابان ولیعصر جنوبی,50,"LINESTRING (46.0579117 37.1796456, 46.0579346 37.1797222, 46.0580383 37.18004, 46.058091 37.1803662)",,
815359855,tertiary,False,True,51.585,2,خیابان ولیعصر جنوبی,50,"LINESTRING (46.0579117 37.1796456, 46.0578523 37.179513, 46.0577289 37.1792373, 46.0577159 37.1792087)",,
1024321453,tertiary,False,False,10.374,2,,30,"LINESTRING (46.0609414 37.1798538, 46.0608637 37.179784)",,
1271013502,tertiary,True,False,9.256,2,خیابان امام خمینی (ره),50,"LINESTRING (46.0609414 37.1798538, 46.0608389 37.1798699)",,
967012403,residential,False,False,72.161,,چای کنار شمالی,,"LINESTRING (46.0609414 37.1798538, 46.0614889 37.1803095, 46.0615045 37.1803227)",,
967016954,residential,False,False,163.29399999999998,,شهید کبیری,30,"LINESTRING (46.0581556 37.1804268, 46.0586367 37.1802776, 46.0591858 37.180054, 46.0597756 37.1797387)",,
1063994797,tertiary,True,False,11.428999999999998,2,,40,"LINESTRING (46.0581556 37.1804268, 46.0581565 37.1804473, 46.0581506 37.1804673, 46.0581384 37.1804854, 46.0581206 37.1805004, 46.0580986 37.1805111)",roundabout,
967012378,residential,False,True,26.649,,,,"LINESTRING (46.0545845 37.1809892, 46.0543997 37.1811783)",,
967012381,tertiary,False,False,21.512999999999998,,,40,"LINESTRING (46.0545845 37.1809892, 46.0544611 37.1809315, 46.0543861 37.1808791)",,
967012381,tertiary,False,True,29.119999999999997,,,40,"LINESTRING (46.0545845 37.1809892, 46.0547484 37.1810501, 46.0548856 37.181094)",,
967012381,tertiary,False,True,34.71,,,40,"LINESTRING (46.0548856 37.181094, 46.055277 37.1810799)",,
815359804,tertiary,False,True,62.885,2,خیابان استاد شهریار,50,"LINESTRING (46.0548856 37.181094, 46.0549331 37.1813176, 46.0550041 37.1816516)",,
967012381,tertiary,False,False,29.119999999999997,,,40,"LINESTRING (46.0548856 37.181094, 46.0547484 37.1810501, 46.0545845 37.1809892)",,
967012381,tertiary,False,False,34.71,,,40,"LINESTRING (46.055277 37.1810799, 46.0548856 37.181094)",,
1063994799,tertiary,True,False,22.083,3,میدان استاد شهریار,40,"LINESTRING (46.055277 37.1810799, 46.0552721 37.181047, 46.0552808 37.1810147, 46.0553022 37.1809864, 46.055334 37.1809651, 46.0553728 37.1809532, 46.0554144 37.1809519)",roundabout,
815359805,residential,False,False,65.21300000000001,,,30,"LINESTRING (46.0556713 37.1814246, 46.0553705 37.1814977, 46.0551492 37.1816245, 46.0550041 37.1816516)",,
"[1063988228, 971101629]",tertiary,False,False,38.172,,,40,"LINESTRING (46.0556713 37.1814246, 46.0555922 37.1812158, 46.0554791 37.1811289)",,
"[1063988229, 971101629]",tertiary,False,True,88.592,,,40,"LINESTRING (46.0556713 37.1814246, 46.055862 37.1819277, 46.0560828 37.1818989, 46.0561959 37.1818762)",,
963762244,tertiary,False,False,5.841,2,خیابان ولیعصر شمالی,50,"LINESTRING (46.0593226 37.182923, 46.0593389 37.1829739)",,
"[967012398, 967012397, 815359838]",residential,False,True,296.18899999999996,,,,"LINESTRING (46.0593226 37.182923, 46.0619449 37.1821166, 46.0620167 37.1820966, 46.0624432 37.1819671)",,yes
963762244,tertiary,False,True,73.959,2,خیابان ولیعصر شمالی,50,"LINESTRING (46.0593226 37.182923, 46.0590821 37.1825303, 46.0589566 37.1823252)",,
1065683839,residential,False,True,15.895,2,خیابان ولیعصر شمالی,50,"LINESTRING (46.0598286 37.1843434, 46.0597847 37.1842048)",,
189436527,residential,False,True,181.579,,,30,"LINESTRING (46.0598286 37.1843434, 46.0600465 37.1843771, 46.0603332 37.1844585, 46.0606897 37.1845652, 46.0611798 37.1847028, 46.0617805 37.1848341)",,
1065683839,residential,False,False,12.029,2,خیابان ولیعصر شمالی,50,"LINESTRING (46.0598286 37.1843434, 46.059846 37.1843983, 46.0598618 37.1844483)",,
189436527,residential,False,False,181.579,,,30,"LINESTRING (46.0617805 37.1848341, 46.0611798 37.1847028, 46.0606897 37.1845652, 46.0603332 37.1844585, 46.0600465 37.1843771, 46.0598286 37.1843434)",,
189436527,residential,False,True,104.869,,,30,"LINESTRING (46.0617805 37.1848341, 46.0624187 37.1849742, 46.0629219 37.1850842)",,
815359830,residential,False,False,188.324,,,30,"LINESTRING (46.0617805 37.1848341, 46.0617424 37.1852168, 46.0600996 37.1852664)",,
815359843,residential,False,False,74.584,,چای کنار شمالی,,"LINESTRING (46.0624432 37.1819671, 46.0624583 37.1821204, 46.0625325 37.1822951, 46.0627604 37.1825737)",,
"[967012403, 815359843, 967012404]",residential,False,True,106.605,,چای کنار شمالی,,"LINESTRING (46.0624432 37.1819671, 46.0624329 37.1818186, 46.0623756 37.1815612, 46.0622917 37.1811396, 46.0622632 37.181081, 46.0622335 37.1810271)",,
"[815359838, 967012397, 967012398]",residential,False,False,296.18899999999996,,,,"LINESTRING (46.0624432 37.1819671, 46.0620167 37.1820966, 46.0619449 37.1821166, 46.0593226 37.182923)",,yes
1065683839,residential,False,True,6.939,2,خیابان ولیعصر شمالی,50,"LINESTRING (46.0600996 37.1852664, 46.0600843 37.1852052)",,
815359830,residential,False,True,188.324,,,30,"LINESTRING (46.0600996 37.1852664, 46.0617424 37.1852168, 46.0617805 37.1848341)",,
1065683839,residential,False,False,122.55000000000001,2,خیابان ولیعصر شمالی,50,"LINESTRING (46.0600996 37.1852664, 46.0601634 37.1854919, 46.0603926 37.1863435)",,
1065683839,residential,False,False,15.895,2,خیابان ولیعصر شمالی,50,"LINESTRING (46.0597847 37.1842048, 46.0598286 37.1843434)",,
1065683839,residential,False,True,25.869,2,خیابان ولیعصر شمالی,50,"LINESTRING (46.0597847 37.1842048, 46.0597315 37.1840366, 46.0597098 37.18398)",,
1065683838,residential,False,False,74.191,2,خیابان استاد شهریار,50,"LINESTRING (46.0564653 37.1844868, 46.0565379 37.1838221)",,
1065683838,residential,False,True,35.689,2,خیابان استاد شهریار,50,"LINESTRING (46.0564653 37.1844868, 46.0565624 37.1847983)",,
815359825,residential,False,False,150.171,,,30,"LINESTRING (46.0564653 37.1844868, 46.0556352 37.1844423, 46.0554859 37.1843587, 46.0551404 37.1843629, 46.0548164 37.1844312)",,
815359840,tertiary,True,False,28.782,2,بلوار چهارده معصوم,60,"LINESTRING (46.0624418 37.1804917, 46.0626663 37.1806788)",,
815359819,residential,False,False,116.74,,,30,"LINESTRING (46.0576998 37.1823203, 46.0577731 37.1819897, 46.0580735 37.1819193, 46.0585563 37.1816586)",,
815359819,residential,False,True,125.82000000000001,,,30,"LINESTRING (46.0576998 37.1823203, 46.0567062 37.1825363, 46.0563283 37.1826141)",,
967012375,residential,False,False,47.437,,,,"LINESTRING (46.0576998 37.1823203, 46.057733 37.1824691, 46.057792 37.1826315, 46.0578907 37.1827032)",,
965203387,residential,False,True,67.025,,,30,"LINESTRING (46.0549851 37.1805109, 46.0543861 37.1808791)",,
973503428,residential,False,True,69.262,2,,40,"LINESTRING (46.0549851 37.1805109, 46.0546659 37.1799423)",,
815359808,residential,False,False,228.96299999999997,,,40,"LINESTRING (46.0549851 37.1805109, 46.0553435 37.1803208, 46.055649 37.1802335, 46.0557395 37.1802076, 46.0559931 37.1801567, 46.0562547 37.1801379, 46.0567269 37.1800797, 46.0574297 37.179919)",,
1063994801,residential,False,False,62.565,2,,40,"LINESTRING (46.0549851 37.1805109, 46.0550775 37.1806272, 46.0553623 37.1808649, 46.0554144 37.1809519)",,
815359805,residential,False,True,7.825,,,30,"LINESTRING (46.0544852 37.1818362, 46.0545569 37.1817951)",,
815359810,residential,False,True,109.825,,,30,"LINESTRING (46.0544852 37.1818362, 46.0545542 37.1821003, 46.0546244 37.1821978, 46.0546383 37.1823252, 46.0547787 37.1824348, 46.054588 37.1825798, 46.0544616 37.1826265)",,
"[967012377, 815359862]",residential,False,"[False, True]",93.189,,,30,"LINESTRING (46.0544852 37.1818362, 46.0542622 37.1819187, 46.0541629 37.1819877, 46.0541493 37.182155, 46.0538797 37.1822651, 46.0537189 37.1822693)",,
815359850,tertiary,False,False,72.798,,,30,"LINESTRING (46.0573576 37.1838683, 46.0565379 37.1838221)",,
815359850,tertiary,False,True,72.171,,,30,"LINESTRING (46.0573576 37.1838683, 46.0581676 37.1837989)",,
