osmid,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,tunnel
98356909,94,میدان امام خمینی,primary,30,roundabout,True,False,137.638,"LINESTRING (54.3223216 27.6627111, 54.3222371 27.6626522, 54.3221595 27.6625863, 54.3220897 27.6625139, 54.3220281 27.6624358, 54.3219756 27.6623528, 54.3219324 27.6622656, 54.3218991 27.6621751, 54.321876 27.6620821, 54.3218633 27.6619875, 54.3218611 27.6618923, 54.3218695 27.6617974, 54.3218883 27.6617037, 54.3219174 27.661612)",
484858618,94,بلوار ولایت,primary,60,,True,False,118.882,"LINESTRING (54.3223216 27.6627111, 54.3219418 27.6626119, 54.3216712 27.6625525, 54.3213965 27.6625212, 54.3211414 27.662532)",
98356909,94,میدان امام خمینی,primary,30,roundabout,True,False,21.169,"LINESTRING (54.3225079 27.6628056, 54.3224121 27.6627624, 54.3223216 27.6627111)",
98356909,94,میدان امام خمینی,primary,30,roundabout,True,False,42.352,"LINESTRING (54.3219174 27.661612, 54.3219565 27.6615233, 54.3220053 27.6614385, 54.3220632 27.6613582, 54.3221297 27.6612834)",
98356909,94,میدان امام خمینی,primary,30,roundabout,True,False,31.762,"LINESTRING (54.3240427 27.6620431, 54.3240239 27.6621369, 54.3239948 27.6622285, 54.3239557 27.6623172)",
98356909,94,میدان امام خمینی,primary,30,roundabout,True,False,127.04499999999999,"LINESTRING (54.3239557 27.6623172, 54.3239069 27.6624021, 54.323849 27.6624823, 54.3237825 27.6625571, 54.3237081 27.6626258, 54.3236264 27.6626877, 54.3235382 27.6627422, 54.3234445 27.6627887, 54.323346 27.662827, 54.3232438 27.6628564, 54.3231388 27.6628769, 54.3230321 27.6628882, 54.3229246 27.6628901)",
848763129,94,بلوار پاسداران جنوبی,primary,60,,True,False,175.607,"LINESTRING (54.3239557 27.6623172, 54.3240436 27.6626971, 54.3241136 27.6628916, 54.3242185 27.6630774, 54.32437 27.6632323, 54.324815 27.6636505)",
98356909,94,میدان امام خمینی,primary,30,roundabout,True,False,116.457,"LINESTRING (54.3235907 27.6611294, 54.3236751 27.6611883, 54.3237527 27.6612542, 54.3238225 27.6613266, 54.3238841 27.6614047, 54.3239367 27.6614877, 54.3239798 27.6615749, 54.3240131 27.6616655, 54.3240362 27.6617585, 54.3240489 27.661853, 54.3240511 27.6619482, 54.3240427 27.6620431)",
256177731,,بلوار امامی,secondary,,,True,False,117.239,"LINESTRING (54.3235907 27.6611294, 54.3239545 27.6612525, 54.3241864 27.6613022, 54.324422 27.6613254, 54.3247473 27.6613221)",
484858618,94,بلوار ولایت,primary,60,,True,False,138.487,"LINESTRING (54.3209992 27.6625381, 54.320748 27.6625795, 54.3196392 27.6628519)",
98356935,94,بلوار ولایت,primary,60,,True,False,33.063,"LINESTRING (54.3206312 27.6624094, 54.320937 27.6622867)",
399015908,,,tertiary,,,True,False,46.888,"LINESTRING (54.3206312 27.6624094, 54.3210046 27.6621478)",
98356909,94,میدان امام خمینی,primary,30,roundabout,True,False,127.04199999999999,"LINESTRING (54.3221297 27.6612834, 54.3222041 27.6612147, 54.3222858 27.6611529, 54.322374 27.6610984, 54.3224678 27.6610518, 54.3225662 27.6610136, 54.3226684 27.6609841, 54.3227734 27.6609636, 54.3228802 27.6609524, 54.3229876 27.6609504, 54.3230948 27.6609578, 54.3232007 27.6609745, 54.3233041 27.6610003)",
256057467,,بلوار فرهنگ,secondary,,,True,False,108.087,"LINESTRING (54.3221297 27.6612834, 54.3222883 27.6608494, 54.3223168 27.6606348, 54.3223168 27.660335)",
98356861,,,primary,60,,True,False,100.351,"LINESTRING (54.3238979 27.6631566, 54.3237192 27.6631004, 54.3229246 27.6628901)",
848763128,94,بلوار سید عبدالحسین لاری,secondary,,,True,False,279.54999999999995,"LINESTRING (54.3238979 27.6631566, 54.3236628 27.663148, 54.3235287 27.6631618, 54.3233869 27.6632065, 54.3233073 27.6632736, 54.3232859 27.663339, 54.323315 27.6634182, 54.3234471 27.6635937, 54.3241563 27.6647208, 54.3243224 27.6649855)",
484868656,94,,secondary,,,True,False,85.073,"LINESTRING (54.3246868 27.6643698, 54.3245255 27.6644937, 54.3243739 27.6646107, 54.3242982 27.6647174, 54.3242865 27.6648344, 54.3243224 27.6649855)",
98356881,,,primary_link,30,,True,False,120.17099999999999,"LINESTRING (54.320937 27.6622867, 54.3212967 27.6622105, 54.3213971 27.6622105, 54.3214487 27.6622536, 54.3214802 27.662307, 54.3214859 27.6623654, 54.3214601 27.6624136, 54.3213999 27.6624466, 54.3209992 27.6625381)",
98356935,94,بلوار ولایت,primary,60,,True,False,124.78299999999999,"LINESTRING (54.320937 27.6622867, 54.3213827 27.6621038, 54.321678 27.661888, 54.3219174 27.661612)",
98356909,94,میدان امام خمینی,primary,30,roundabout,True,False,31.769000000000002,"LINESTRING (54.3233041 27.6610003, 54.3234043 27.6610349, 54.3235001 27.6610781, 54.3235907 27.6611294)",
966675945,,بلوار پاسداران جنوبی,primary,60,,True,False,7.438,"LINESTRING (54.324815 27.6636505, 54.3248636 27.6637017)",
484868656,94,,secondary,,,True,False,87.94400000000002,"LINESTRING (54.324815 27.6636505, 54.324881 27.6637658, 54.3249063 27.6638828, 54.3248869 27.6640067, 54.3248752 27.6641065, 54.324813 27.6642476, 54.3246868 27.6643698)",
98356909,94,میدان امام خمینی,primary,30,roundabout,True,False,42.355,"LINESTRING (54.3229246 27.6628901, 54.3228174 27.6628827, 54.3227116 27.662866, 54.3226081 27.6628402, 54.3225079 27.6628056)",
256057467,,بلوار فرهنگ,secondary,,,True,False,30.161,"LINESTRING (54.3223168 27.660335, 54.3222758 27.6600662)",
256057470,,بلوار فرهنگ,secondary,,,True,False,104.79299999999999,"LINESTRING (54.3226052 27.6603027, 54.3227233 27.6604962, 54.3228415 27.6606294, 54.3231136 27.6608609, 54.3233041 27.6610003)",
256057471,,,secondary_link,,,True,False,88.057,"LINESTRING (54.3226052 27.6603027, 54.3226518 27.6605054, 54.3226491 27.6605721, 54.3226114 27.6606198, 54.3225387 27.6606437, 54.3224768 27.660627, 54.3224068 27.6605745, 54.3223718 27.660503, 54.3223168 27.660335)",
256177731,,بلوار امامی,secondary,,,True,False,197.30200000000002,"LINESTRING (54.3247473 27.6613221, 54.3250428 27.661289, 54.3254504 27.6611962, 54.3266842 27.6608793)",
1194664503,,,secondary_link,,,False,False,19.919,"LINESTRING (54.327436 27.6606877, 54.3275123 27.6608536)",
256177732,,بلوار امامی,secondary,,,True,False,63.418,"LINESTRING (54.3275123 27.6608536, 54.3268965 27.6610203)",
1194664503,,,secondary_link,,,False,True,19.919,"LINESTRING (54.3275123 27.6608536, 54.327436 27.6606877)",
256177732,,بلوار امامی,secondary,,,True,False,242.642,"LINESTRING (54.3268965 27.6610203, 54.3247043 27.6615584, 54.3245295 27.6616218)",
1194664504,,,residential,,,False,False,281.811,"LINESTRING (54.3268965 27.6610203, 54.3270868 27.6615199, 54.3273041 27.6622279, 54.3274543 27.6626151, 54.3276179 27.6628859, 54.3278459 27.663209, 54.3279729 27.6633442)",
256177732,,بلوار امامی,secondary,,,True,False,68.96000000000001,"LINESTRING (54.3245295 27.6616218, 54.3243931 27.6616712, 54.3242394 27.6617808, 54.3240427 27.6620431)",
256177733,,,secondary_link,,,True,False,105.45599999999999,"LINESTRING (54.3245295 27.6616218, 54.3243402 27.6616356, 54.3242302 27.6616082, 54.3241851 27.6615483, 54.324188 27.6614784, 54.3242331 27.6614259, 54.3243486 27.661376, 54.3247473 27.6613221)",
256177731,,بلوار امامی,secondary,,,True,False,77.047,"LINESTRING (54.3266842 27.6608793, 54.327436 27.6606877)",
