osmid,oneway,name,highway,reversed,length,geometry,ref,junction,bridge
403351582,True,شاندرمن - ضیابر,secondary,False,58.645,"LINESTRING (49.1237982 37.4052713, 49.1244617 37.4052906)",,,
434744295,False,زنده یاد پرویز وزیری,residential,False,215.60999999999999,"LINESTRING (49.1237982 37.4052713, 49.1238099 37.4051255, 49.1238495 37.4047297, 49.1240946 37.4039695, 49.1240788 37.4038565, 49.1239997 37.4037811, 49.1235094 37.4036931)",,,
402980525,False,,secondary_link,True,8.23,"LINESTRING (49.121032 37.405247, 49.1210372 37.4051731)",,,
434744303,True,شاندرمن - ضیابر,secondary,False,138.072,"LINESTRING (49.121032 37.405247, 49.1204365 37.4052478, 49.1199117 37.4052877, 49.1194803 37.4053583)",,,
402980524,True,,secondary,False,13.422,"LINESTRING (49.1199966 37.4080766, 49.120083 37.4081759)",493,,
402980526,False,,secondary_link,False,10.373,"LINESTRING (49.1199966 37.4080766, 49.1199294 37.4081531)",,,
402980524,True,,secondary,False,34.846,"LINESTRING (49.1204122 37.408554, 49.1205993 37.4088299)",493,,
764871227,False,میعاد,residential,True,57.803,"LINESTRING (49.1204122 37.408554, 49.1209125 37.4084304, 49.1210371 37.4083996)",,,
402980526,False,,secondary_link,True,10.373,"LINESTRING (49.1199294 37.4081531, 49.1199966 37.4080766)",,,
434744304,True,,secondary,False,110.496,"LINESTRING (49.1199294 37.4081531, 49.119696 37.4079486, 49.1191528 37.4075019, 49.1190683 37.4074324)",493,,
479080509,False,,residential,False,26.776,"LINESTRING (49.1186312 37.4066446, 49.1183312 37.4066792)",,,
479080513,True,,secondary,False,21.654,"LINESTRING (49.1186312 37.4066446, 49.1186699 37.4064523)",493,,
402980525,False,,secondary_link,False,8.23,"LINESTRING (49.1210372 37.4051731, 49.121032 37.405247)",,,
403351582,True,شاندرمن - ضیابر,secondary,False,39.86,"LINESTRING (49.1210372 37.4051731, 49.1214881 37.4051876)",,,
403351583,True,میدان شهدا,secondary,False,16.567,"LINESTRING (49.1194803 37.4053583, 49.1194396 37.405396, 49.1193852 37.4054205, 49.1193236 37.4054289)",493,roundabout,
403351583,True,میدان شهدا,secondary,False,16.589,"LINESTRING (49.1193236 37.4054289, 49.119262 37.4054201, 49.1192079 37.4053951, 49.1191676 37.405357)",493,roundabout,
