osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,junction
189218512,True,4,secondary,70,False,57.541000000000004,"LINESTRING (46.0458655 37.3452132, 46.0457413 37.3451311, 46.0456282 37.3450685, 46.0455442 37.3450281, 46.0454817 37.3450041, 46.0454145 37.3449877, 46.045304 37.3449664)",,
365478632,True,4,secondary,60,False,9.357,"LINESTRING (46.0540143 37.3382482, 46.0541184 37.338233)",خیابان مطهری,
365478623,True,4,secondary,50,False,29.274,"LINESTRING (46.0540143 37.3382482, 46.0540157 37.3382753, 46.0540123 37.3383024, 46.0540042 37.3383287, 46.0539914 37.3383539, 46.0539744 37.3383775, 46.0539534 37.3383989, 46.0539288 37.3384177, 46.0539011 37.3384337, 46.0538709 37.3384463, 46.0538486 37.3384527)",میدان امام حسین (ع),roundabout
69710248,False,4,secondary,60,False,19.562,"LINESTRING (46.0528313 37.3384279, 46.0526233 37.3384879)",خیابان بهشتی,
69710248,False,4,secondary,60,True,63.601,"LINESTRING (46.0528313 37.3384279, 46.0535368 37.338316)",خیابان بهشتی,
374522705,True,1,living_street,30,False,110.44400000000002,"LINESTRING (46.0528313 37.3384279, 46.0528567 37.3384719, 46.0528883 37.3385268, 46.0530767 37.3387826, 46.0532915 37.3392408, 46.053337 37.339333)",خیابان سهروردی,
69710248,False,4,secondary,60,False,126.715,"LINESTRING (46.0511628 37.3386746, 46.0505368 37.3387747, 46.0497576 37.3388992)",خیابان بهشتی,
69710248,False,4,secondary,60,True,133.509,"LINESTRING (46.0511628 37.3386746, 46.0513684 37.3386448, 46.0519262 37.3386862, 46.0524197 37.3385571, 46.0524723 37.3385392, 46.0526233 37.3384879)",خیابان بهشتی,
232201390,False,3,secondary,50,False,196.04399999999998,"LINESTRING (46.0511628 37.3386746, 46.0512554 37.3389467, 46.0515536 37.339809, 46.0519204 37.3403183)",خیابان طالقانی,
69710248,False,4,secondary,60,False,215.569,"LINESTRING (46.0497576 37.3388992, 46.047367 37.3392811)",خیابان بهشتی,
69710248,False,4,secondary,60,True,126.715,"LINESTRING (46.0497576 37.3388992, 46.0505368 37.3387747, 46.0511628 37.3386746)",خیابان بهشتی,
189265361,False,3,residential,50,True,464.81700000000006,"LINESTRING (46.0497576 37.3388992, 46.0497071 37.3392701, 46.0496938 37.339368, 46.049668 37.3395962, 46.049637 37.33987, 46.0496081 37.3401259, 46.0496051 37.3401526, 46.0495973 37.340222, 46.0495778 37.3402834, 46.0495521 37.3403399, 46.0495193 37.3403889, 46.0494889 37.3404322, 46.0493377 37.340647, 46.0491646 37.3408928, 46.0487972 37.3413021, 46.0486668 37.3414474, 46.0486022 37.3415193, 46.0485164 37.3416149, 46.0484689 37.3416599, 46.0484276 37.3416951, 46.048356 37.341742, 46.048121 37.341896, 46.0480739 37.3419268, 46.048018 37.3419589, 46.0478935 37.3420305, 46.0477319 37.3421233, 46.0477068 37.3421377, 46.0473231 37.3423582)",شمس تبریزی,
851872798,False,4,residential,50,False,108.588,"LINESTRING (46.0497576 37.3388992, 46.0497843 37.3388083, 46.0498695 37.3385184, 46.0498868 37.3384557, 46.0498941 37.3382657, 46.0498544 37.337936)",خیابان علوی,
