osmid,bridge,highway,oneway,reversed,length,name,geometry,maxspeed,junction
342141859,yes,secondary,False,False,5.253,,"LINESTRING (52.6333148 36.643496, 52.6333725 36.6434866)",,
975881352,,secondary,True,False,140.52999999999997,بلوار آیت الله روحانی,"LINESTRING (52.6333148 36.643496, 52.6330358 36.6436079, 52.632503 36.6436932, 52.6317958 36.6438012)",,
342141860,,secondary,True,False,23.998,بلوار معلم,"LINESTRING (52.6343447 36.6433281, 52.6345987 36.6432571)",,
342141859,yes,secondary,False,True,88.51100000000001,,"LINESTRING (52.6343447 36.6433281, 52.6341865 36.6433539, 52.6333725 36.6434866)",,
674632533,,secondary_link,True,False,51.626000000000005,,"LINESTRING (52.6371497 36.6428151, 52.6372602 36.6428419, 52.6372897 36.6428753, 52.6372951 36.6429194, 52.6372549 36.6429506, 52.6371664 36.6429656, 52.6369572 36.6429463)",,
682380284,,residential,False,False,11.498,خیابان قلی نتاج,"LINESTRING (52.6261873 36.6382421, 52.626307 36.6382038)",,
682380284,,residential,False,True,13.542,خیابان قلی نتاج,"LINESTRING (52.6261873 36.6382421, 52.6260362 36.6382536)",,
682583565,,residential,False,True,26.518,,"LINESTRING (52.6261873 36.6382421, 52.6262529 36.6384747)",,
682385254,,residential,False,False,57.438,خیابان امام خمینی,"LINESTRING (52.6300123 36.6386964, 52.6301263 36.6387117, 52.6303055 36.6386834, 52.630536 36.638668, 52.630648 36.638686)",,
682385254,,residential,False,True,38.117,خیابان امام خمینی,"LINESTRING (52.6300123 36.6386964, 52.6298894 36.6386424, 52.6298638 36.6386192, 52.6298318 36.6385704, 52.6297934 36.6384934, 52.6297518 36.638442)",,
682385266,,residential,False,True,53.622,شهید حسین نسب,"LINESTRING (52.6300123 36.6386964, 52.6298536 36.6389058, 52.629628 36.639059)",30,
483714480,,residential,False,True,43.962,هادی ۱۲,"LINESTRING (52.6278634 36.6394998, 52.6278151 36.6396634, 52.6276434 36.6398441)",30,
483714482,,residential,False,True,198.61900000000003,خیابان علیجان نژاد,"LINESTRING (52.6278634 36.6394998, 52.6273269 36.6394352, 52.6270533 36.6393448, 52.6268549 36.6392372, 52.6267472 36.6391724, 52.6266403 36.6391081, 52.6265364 36.6389579, 52.6264768 36.6388717, 52.6263691 36.638681, 52.6262529 36.6384747)",30,
682385266,,residential,False,False,114.818,شهید حسین نسب,"LINESTRING (52.6278634 36.6394998, 52.6281823 36.6394574, 52.628239 36.6394424, 52.6282921 36.6394032, 52.6283851 36.6392527, 52.6284149 36.6392169, 52.6284915 36.6392052, 52.6287273 36.6391918, 52.6289806 36.639173)",30,
483714480,,residential,False,True,24.544,هادی ۱۲,"LINESTRING (52.6276434 36.6398441, 52.6275469 36.6400508)",30,
483714480,,residential,False,False,43.962,هادی ۱۲,"LINESTRING (52.6276434 36.6398441, 52.6278151 36.6396634, 52.6278634 36.6394998)",30,
682437764,,residential,False,True,178.812,خیابان غلامی,"LINESTRING (52.6276434 36.6398441, 52.6278739 36.6398946, 52.628261 36.6399416, 52.6283586 36.6400017, 52.6285185 36.6401959, 52.6285838 36.6403572, 52.628711 36.6404865, 52.6289567 36.6405762, 52.6292022 36.6406738)",30,
483714480,,residential,False,False,24.544,هادی ۱۲,"LINESTRING (52.6275469 36.6400508, 52.6276434 36.6398441)",30,
483714480,,residential,False,True,114.983,هادی ۱۲,"LINESTRING (52.6275469 36.6400508, 52.6276595 36.6408126, 52.6276726 36.6409019, 52.6276984 36.6410777)",30,
682385267,,residential,False,False,85.878,,"LINESTRING (52.6275469 36.6400508, 52.6274605 36.6400159, 52.6273413 36.6399852, 52.6271813 36.6399224, 52.6270273 36.6398131, 52.6268935 36.6396768, 52.6268227 36.6395793)",,
483714485,,residential,False,True,32.07,هادی ۶,"LINESTRING (52.6313985 36.6410623, 52.6314012 36.6413507)",30,
682437765,,residential,False,False,45.316,شهید تقی فدائیان,"LINESTRING (52.6313985 36.6410623, 52.6318754 36.6409221)",,
682437763,,residential,False,False,120.761,خیابان الیاسی,"LINESTRING (52.6313985 36.6410623, 52.63124 36.6409168, 52.6310783 36.6407307, 52.6310319 36.6406839, 52.6309745 36.6406682, 52.6308243 36.6406575, 52.6307594 36.6406472, 52.6307009 36.6406187, 52.6306003 36.6405434, 52.6305425 36.6405144, 52.6304622 36.6404928, 52.6303486 36.6404646)",30,
483714480,,residential,False,False,27.665,هادی ۱۲,"LINESTRING (52.6277346 36.6413248, 52.6276984 36.6410777)",30,
1025768967,,residential,False,False,48.52,,"LINESTRING (52.6277346 36.6413248, 52.6282695 36.6412461)",,
