osmid,oneway,highway,reversed,length,geometry,junction,maxspeed,name
215241531,True,primary,False,264.91600000000005,"LINESTRING (46.3683995 35.3099485, 46.36881 35.3097898, 46.3691365 35.3096135, 46.3693909 35.3094176, 46.36955 35.30925, 46.3697174 35.3090571, 46.369831 35.3088831, 46.36999 35.30855, 46.3701523 35.3081685)",,,
566414431,True,primary,False,71.03999999999999,"LINESTRING (46.3638859 35.3129822, 46.3639108 35.3128587, 46.3640149 35.3127042, 46.3641991 35.3125322, 46.364311 35.3124727)",,,
215241541,False,residential,False,21.66,"LINESTRING (46.3704184 35.3127466, 46.3706558 35.3127262)",,,
215241541,False,residential,True,36.428,"LINESTRING (46.3704184 35.3127466, 46.3700179 35.3127694)",,,
1052250794,False,residential,False,17.568,"LINESTRING (46.3704184 35.3127466, 46.3704602 35.3128057, 46.3704891 35.3128923)",,,
215241541,False,residential,True,17.722,"LINESTRING (46.3627991 35.314461, 46.3626047 35.3144456)",,,
1052250813,False,residential,False,34.588,"LINESTRING (46.3627991 35.314461, 46.3629003 35.3147609)",,,
215241541,False,residential,False,53.916,"LINESTRING (46.3627991 35.314461, 46.362973 35.3144068, 46.3633452 35.3142703)",,,
215241541,False,residential,True,19.814,"LINESTRING (46.3708726 35.3127049, 46.3706558 35.3127262)",,,
215241535,True,tertiary,False,19.862,"LINESTRING (46.3708726 35.3127049, 46.3708263 35.3126758, 46.3707916 35.3126166, 46.3707994 35.3125516)",roundabout,,
215241536,False,tertiary,True,41.387,"LINESTRING (46.3699485 35.3123103, 46.3694929 35.3122925)",,,
261567945,False,residential,False,51.437,"LINESTRING (46.3699485 35.3123103, 46.3700179 35.3127694)",,30,
215241536,False,tertiary,False,82.628,"LINESTRING (46.3699485 35.3123103, 46.3706393 35.3124591, 46.3707994 35.3125516)",,,
215241530,True,tertiary,False,85.41,"LINESTRING (46.369229 35.3118769, 46.368954 35.3111423)",,,
215241544,False,tertiary,True,9.964,"LINESTRING (46.369229 35.3118769, 46.3693309 35.3118435)",,,
"[242713761, 242713754]",False,residential,"[False, True]",230.17899999999997,"LINESTRING (46.369229 35.3118769, 46.3690719 35.3120222, 46.3680512 35.3121711, 46.3679134 35.3121688, 46.3676887 35.3112696)",,30,
215241543,False,residential,False,48.401,"LINESTRING (46.3628998 35.3155631, 46.3627084 35.3151568)",,,
215241543,False,residential,True,16.017,"LINESTRING (46.3628998 35.3155631, 46.3629583 35.315699)",,,
215241532,False,residential,True,45.345,"LINESTRING (46.3628998 35.3155631, 46.3631329 35.3154936, 46.3632745 35.3154257, 46.3633315 35.3153717)",,,
320107522,False,residential,True,94.833,"LINESTRING (46.3629164 35.3166157, 46.3622825 35.3159376)",,30,
215241543,False,residential,False,103.436,"LINESTRING (46.3629164 35.3166157, 46.3630213 35.3159209, 46.3630177 35.3158377, 46.3629583 35.315699)",,,
215241531,True,primary,False,418.644,"LINESTRING (46.364311 35.3124727, 46.3643531 35.3123888, 46.3648439 35.3119846, 46.3661156 35.3109561, 46.3667089 35.3106297, 46.3672896 35.3104034, 46.367764 35.310204, 46.3678736 35.3101599)",,,
566414430,True,primary,False,48.512,"LINESTRING (46.364311 35.3124727, 46.3646007 35.3125077, 46.3647606 35.3126557)",,,
215241536,False,tertiary,False,90.962,"LINESTRING (46.3649708 35.3129542, 46.3659632 35.3128384)",,,
707158162,True,tertiary,False,37.596000000000004,"LINESTRING (46.3649708 35.3129542, 46.3648701 35.3129858, 46.3648031 35.3130001, 46.3645698 35.3130351)",,,
