osmid,oneway,ref,name,highway,junction,reversed,length,geometry,maxspeed,lanes,bridge
54461558,True,,میدان شهدا (گل),secondary,roundabout,False,19.132,"LINESTRING (52.6502368 36.7005595, 52.6502082 36.7006121, 52.6501622 36.700656, 52.6501026 36.7006877)",,3,
53380103,True,,شهید رجایی,secondary,,False,152.626,"LINESTRING (52.6501026 36.7006877, 52.6504735 36.7020277)",,,
54461558,True,,میدان شهدا (گل),secondary,roundabout,False,56.512,"LINESTRING (52.6501026 36.7006877, 52.6500265 36.7007054, 52.6499473 36.7007032, 52.649873 36.7006812, 52.649811 36.7006416, 52.6497675 36.7005885, 52.649747 36.7005272, 52.6497514 36.7004637, 52.6497804 36.7004046)",,3,
53380110,True,18,میدان بسیج,primary,roundabout,False,22.728,"LINESTRING (52.6500482 36.6980666, 52.6501049 36.6980433, 52.6501676 36.6980339, 52.6502309 36.6980393, 52.6502898 36.6980589)",,,
429703932,True,,بلوار امام خمینی,primary,,False,107.731,"LINESTRING (52.6500482 36.6980666, 52.6501321 36.6979184, 52.6501544 36.6978456, 52.6502015 36.6976921, 52.6502083 36.6976062, 52.6502468 36.6971202)",,,
413116352,True,18,میدان خلیج فارس,primary,roundabout,False,13.594999999999999,"LINESTRING (52.6446075 36.6990984, 52.6445917 36.6991504, 52.6445434 36.6992072)",,,
53380105,True,18,بلوار شریفی,primary,,False,159.35999999999999,"LINESTRING (52.6532464 36.6979261, 52.6518209 36.6980052, 52.651661 36.6980129, 52.6514629 36.6980205)",60,2,
373417230,False,,شریفی۴,residential,,False,65.267,"LINESTRING (52.6532464 36.6979261, 52.6531859 36.6981822, 52.6530429 36.6984877)",,,
648805334,False,,بهشتی ۳,residential,,False,54.307,"LINESTRING (52.652514 36.7003845, 52.6523657 36.7008582)",,,
648805334,False,,بهشتی ۳,residential,,True,19.063,"LINESTRING (52.652514 36.7003845, 52.652581 36.7002217)",,,
455045164,False,,,residential,,False,50.711,"LINESTRING (52.652514 36.7003845, 52.6523369 36.7002917, 52.6520579 36.700197, 52.6520044 36.7001897)",,,
83365474,False,,بهشتی,secondary,,True,97.18,"LINESTRING (52.6522662 36.7012033, 52.6512477 36.7008919)",,,
629913698,False,,بهشتی ۴ (اوصیاء),residential,,False,63.647,"LINESTRING (52.6522662 36.7012033, 52.6522221 36.7017746)",,,
648805334,False,,بهشتی ۳,residential,,True,39.385,"LINESTRING (52.6522662 36.7012033, 52.6523657 36.7008582)",,,
629913698,False,,بهشتی ۴ (اوصیاء),residential,,True,23.899,"LINESTRING (52.6522313 36.7019894, 52.6522221 36.7017746)",,,
455045176,False,,,residential,,False,65.969,"LINESTRING (52.6522313 36.7019894, 52.6524348 36.7019927, 52.6524589 36.7020207, 52.6525903 36.7020185, 52.6525957 36.7021583, 52.6527835 36.7021669)",,,
629913698,False,,بهشتی ۴ (اوصیاء),residential,,False,59.900000000000006,"LINESTRING (52.6522313 36.7019894, 52.6522283 36.7021139, 52.6522184 36.702528)",,,
429723112,False,,,residential,,False,46.546,"LINESTRING (52.6518647 36.7026757, 52.6513521 36.7027552)",,,
433224491,False,,شهید اصغرزاده,residential,,False,20.92,"LINESTRING (52.6518647 36.7026757, 52.6518937 36.7028624)",,,
455045079,False,,,residential,,False,25.504,"LINESTRING (52.6518647 36.7026757, 52.6518246 36.7024486)",,,
629913698,False,,بهشتی ۴ (اوصیاء),residential,,True,35.888999999999996,"LINESTRING (52.6518647 36.7026757, 52.6521286 36.702588, 52.6522184 36.702528)",,,
375678889,True,18,بلوار شریفی,primary,,False,9.992,"LINESTRING (52.6506798 36.6979936, 52.6507892 36.6979741)",60,,
1270818084,True,,شریعتی,primary,,False,59.406,"LINESTRING (52.6431285 36.7028693, 52.6427143 36.7024508)",50,,
1270818085,False,,,primary_link,,False,5.777,"LINESTRING (52.6431285 36.7028693, 52.6431814 36.7028393)",,,
648805334,False,,بهشتی ۳,residential,,False,39.385,"LINESTRING (52.6523657 36.7008582, 52.6522662 36.7012033)",,,
648805334,False,,بهشتی ۳,residential,,True,54.307,"LINESTRING (52.6523657 36.7008582, 52.652514 36.7003845)",,,
648805335,False,,خیابان شهید جباری,residential,,True,86.64500000000001,"LINESTRING (52.6523657 36.7008582, 52.6530139 36.7008463, 52.6533367 36.7008634)",,,
383668652,False,,شهید حاجی زاده ۶,residential,,True,57.141999999999996,"LINESTRING (52.6478491 36.6964726, 52.6473067 36.6964426, 52.6472099 36.6964498)",,,
383668652,False,,شهید حاجی زاده ۶,residential,,False,91.163,"LINESTRING (52.6451983 36.6967497, 52.6461846 36.6965335)",,,
627805642,False,,پاسداران ۴ (شهید حاجی زاده),residential,,True,10.173,"LINESTRING (52.6451983 36.6967497, 52.6452123 36.6968405)",,,
627805642,False,,پاسداران ۴ (شهید حاجی زاده),residential,,True,68.326,"LINESTRING (52.6452848 36.6973124, 52.6454216 36.697917)",,,
458340135,False,,حاجی زاده ۴,residential,,False,164.156,"LINESTRING (52.6452848 36.6973124, 52.6455771 36.6972693, 52.645899 36.6972285, 52.6461927 36.6971682, 52.6464623 36.6971231, 52.6470953 36.69705)",,,
627805642,False,,پاسداران ۴ (شهید حاجی زاده),residential,,False,52.870000000000005,"LINESTRING (52.6452848 36.6973124, 52.6452369 36.6970008, 52.6452123 36.6968405)",,,
383668644,False,,پاسداران ۲,residential,,True,107.418,"LINESTRING (52.6474979 36.697554, 52.6477238 36.6985029)",,,
627805643,False,,,residential,,False,142.632,"LINESTRING (52.6474979 36.697554, 52.6459311 36.6978132)",,,
627805643,False,,,residential,,True,6.844,"LINESTRING (52.6474979 36.697554, 52.6475728 36.6975405)",,,
383668629,False,,پاسداران ۴ (شهید حاجی زاده),residential,,True,94.322,"LINESTRING (52.6454216 36.697917, 52.6456161 36.6987508)",,,
627805642,False,,پاسداران ۴ (شهید حاجی زاده),residential,,False,68.326,"LINESTRING (52.6454216 36.697917, 52.6452848 36.6973124)",,,
