osmid,ref,name,highway,oneway,reversed,length,junction,geometry,tunnel
413736974,32,زنجان - میانه,primary,False,False,75.737,,"LINESTRING (47.7932292 37.3981045, 47.7932235 37.3987856)",
413736974,32,زنجان - میانه,primary,False,True,56.781,,"LINESTRING (47.7932292 37.3981045, 47.7932559 37.3975943)",
819759775,,,residential,False,False,66.505,,"LINESTRING (47.7932292 37.3981045, 47.7939638 37.3982354)",
397448222,,میدان امام خمینی,tertiary,True,False,8.131,roundabout,"LINESTRING (47.7978531 37.3964243, 47.7978089 37.396414, 47.7977711 37.3963932)",
1154320339,,باهنر ۱۰,residential,False,False,236.627,,"LINESTRING (47.7978531 37.3964243, 47.7982143 37.3970007, 47.7984092 37.3973272, 47.7993542 37.3981621)",
397448223,,شهید رجایی,tertiary,False,False,60.974,,"LINESTRING (47.7978108 37.396207, 47.7974474 37.3957408)",
397448222,,میدان امام خمینی,tertiary,True,False,30.028,roundabout,"LINESTRING (47.7978108 37.396207, 47.7978577 37.3961971, 47.7979061 37.3962001, 47.7979505 37.3962158, 47.7979858 37.3962423, 47.798008 37.3962766, 47.7980146 37.3963148, 47.7980047 37.3963526)",
397448222,,میدان امام خمینی,tertiary,True,False,24.607,roundabout,"LINESTRING (47.7977711 37.3963932, 47.7977435 37.396364, 47.7977289 37.3963294, 47.7977288 37.3962928, 47.7977432 37.3962581, 47.7977707 37.3962288, 47.7978108 37.396207)",
397448224,,شهید باهنر,tertiary,False,False,116.291,,"LINESTRING (47.7977711 37.3963932, 47.7973398 37.3968324, 47.796863 37.3971413)",
450238476,,سردار رفیع غفاری,residential,False,False,124.102,,"LINESTRING (47.7980047 37.3963526, 47.7993595 37.3960574)",
397448222,,میدان امام خمینی,tertiary,True,False,16.699,roundabout,"LINESTRING (47.7980047 37.3963526, 47.7979796 37.3963856, 47.7979421 37.3964101, 47.797899 37.3964229, 47.7978531 37.3964243)",
397448223,,شهید رجایی,tertiary,False,False,64.323,,"LINESTRING (47.7952608 37.3938266, 47.7945358 37.3937732)",
819759759,,,residential,False,False,35.935,,"LINESTRING (47.7952608 37.3938266, 47.7951926 37.393508)",
397448223,,شهید رجایی,tertiary,False,True,79.35900000000001,,"LINESTRING (47.7952608 37.3938266, 47.7956017 37.3939181, 47.7959906 37.3941546, 47.7960254 37.3941817)",
397448223,,شهید رجایی,tertiary,False,True,64.323,,"LINESTRING (47.7945358 37.3937732, 47.7952608 37.3938266)",
1188313099,,شهید رجایی,tertiary,True,False,51.639,,"LINESTRING (47.7945358 37.3937732, 47.7940326 37.3940095)",
