osmid,oneway,name,highway,reversed,length,geometry,bridge,maxspeed,junction
53380046,True,امام خمینی,primary,False,50.948,"LINESTRING (52.521136 36.6848664, 52.5215495 36.684908, 52.5217041 36.6849094)",,,
435478750,False,شهیدان کارگران,tertiary,False,115.453,"LINESTRING (52.521136 36.6848664, 52.5211314 36.6846717, 52.5211528 36.6845351, 52.5211877 36.684406, 52.5212212 36.6843044, 52.5212923 36.6842124, 52.5214076 36.6841549, 52.5215739 36.6841242, 52.5217119 36.684094)",,,
229418837,False,صیادان,residential,True,19.482,"LINESTRING (52.5211597 36.6850206, 52.5210913 36.685187)",,,
"[53380026, 53380045]",True,بلوار شهدا,primary,False,59.513,"LINESTRING (52.5211597 36.6850206, 52.5206874 36.6850196, 52.5204933 36.6850038)",yes,60,
229418897,True,ولیعصر,primary,False,242.212,"LINESTRING (52.5214303 36.6807924, 52.5214871 36.6806408, 52.5215182 36.6804615, 52.5214983 36.6803484, 52.5214777 36.680123, 52.5214352 36.679927, 52.521384 36.6796789, 52.5212597 36.6789977, 52.5211895 36.6786423)",,,
435793953,False,ولیعصر ۱۵,residential,False,141.25699999999998,"LINESTRING (52.5214303 36.6807924, 52.5211321 36.6807021, 52.5209403 36.6806236, 52.5207834 36.6805042, 52.5205943 36.6803353, 52.5204917 36.6802419, 52.5203569 36.6801192, 52.5202282 36.6800055)",,,
435474042,False,فاضلی,secondary,False,7.24,"LINESTRING (52.5200733 36.6837175, 52.5201514 36.6837353)",,,
435474042,False,فاضلی,secondary,True,30.354,"LINESTRING (52.5200733 36.6837175, 52.5197438 36.683649)",,,
"[229418897, 667405726]",True,ولیعصر,primary,False,17.418,"LINESTRING (52.5200733 36.6837175, 52.52008 36.6836566, 52.5200895 36.6835774, 52.5200951 36.6835621)",,,
229418879,False,,primary_link,True,9.685,"LINESTRING (52.5190412 36.684897, 52.5190403 36.6849841)",,,
53380027,True,بلوار شهدا,primary,False,104.297,"LINESTRING (52.5190412 36.684897, 52.5195828 36.6849001, 52.5202108 36.6849037)",,60,
53380027,True,بلوار شهدا,primary,False,39.025,"LINESTRING (52.5202108 36.6849037, 52.5203496 36.6849054, 52.5206461 36.6848755)",,60,
435762038,True,ولیعصر,primary,False,93.543,"LINESTRING (52.5202108 36.6849037, 52.5201799 36.6846542, 52.5200697 36.684261, 52.520048 36.6840743)",,,
53380026,True,بلوار شهدا,primary,False,32.254,"LINESTRING (52.5190403 36.6849841, 52.5186786 36.6849818)",,60,
229418879,False,,primary_link,False,9.685,"LINESTRING (52.5190403 36.6849841, 52.5190412 36.684897)",,,
53380047,True,امام خمینی,primary,False,28.692,"LINESTRING (52.5232352 36.6851082, 52.523008 36.6850616, 52.5229219 36.6850503)",,,
686415679,False,امام خمینی ۸,residential,False,37.751000000000005,"LINESTRING (52.5232352 36.6851082, 52.5232568 36.6853212, 52.5232675 36.6854467)",,,
229418837,False,صیادان,residential,False,37.5,"LINESTRING (52.5209759 36.6855113, 52.5210913 36.685187)",,,
229418833,False,اسحاقی ۳۶,residential,True,48.627,"LINESTRING (52.5209759 36.6855113, 52.5211905 36.6855737, 52.5213756 36.6856167, 52.521487 36.685661)",,,
229418837,False,صیادان,residential,True,105.95,"LINESTRING (52.5209759 36.6855113, 52.5208333 36.6858636, 52.5206551 36.6861385, 52.5204275 36.686341)",,,
229418833,False,اسحاقی ۳۶,residential,False,48.626999999999995,"LINESTRING (52.521487 36.685661, 52.5213756 36.6856167, 52.5211905 36.6855737, 52.5209759 36.6855113)",,,
229418833,False,اسحاقی ۳۶,residential,True,72.409,"LINESTRING (52.521487 36.685661, 52.5213559 36.686207, 52.5213286 36.6862996)",,,
607472464,False,,residential,False,37.962,"LINESTRING (52.521487 36.685661, 52.5216275 36.6856025, 52.5218852 36.6855452)",,,
229418833,False,اسحاقی ۳۶,residential,False,65.992,"LINESTRING (52.5211559 36.6870101, 52.5211702 36.6868085, 52.5212758 36.6864785, 52.5212904 36.686429)",,,
"[686415680, 686415681, 686415682]",False,,residential,"[False, True]",67.179,"LINESTRING (52.5211559 36.6870101, 52.5214606 36.6869865, 52.521558 36.6869939, 52.5216826 36.6870361, 52.5217598 36.6871091, 52.5218071 36.687175)",,,
435787728,False,,residential,False,17.529,"LINESTRING (52.5244746 36.6868216, 52.5242858 36.6867777)",,,
"[1109605707, 376038949]",False,پاسداران ۱۳,residential,False,68.373,"LINESTRING (52.5244746 36.6868216, 52.5245431 36.6867392, 52.5246316 36.686688, 52.5251654 36.6866725)",,,
1109605707,False,پاسداران ۱۳,residential,True,72.353,"LINESTRING (52.5244746 36.6868216, 52.5246188 36.6872764, 52.5246489 36.6874562)",,,
376038949,False,,residential,True,31.213,"LINESTRING (52.5269346 36.6867969, 52.5265867 36.6867659)",,,
1109605706,False,پاسداران ۹,residential,False,70.155,"LINESTRING (52.5269346 36.6867969, 52.5268899 36.6874268)",,,
435792258,False,شهید آزادی,residential,True,51.167,"LINESTRING (52.5269346 36.6867969, 52.527033 36.686618, 52.5270344 36.6865029, 52.5270316 36.6863534)",,,
435765832,False,,residential,False,34.339,"LINESTRING (52.5162658 36.6795259, 52.5166501 36.6795453)",,,
435474036,False,موعد 15,residential,False,66.433,"LINESTRING (52.5162313 36.6798401, 52.5169756 36.679815)",,,
