osmid,oneway,name,highway,junction,reversed,length,geometry,maxspeed,lanes
27128851,True,میدان انقلاب,secondary,roundabout,False,35.245000000000005,"LINESTRING (55.6690954 29.4494688, 55.6690363 29.4494319, 55.6689932 29.4493808, 55.6689704 29.4493206, 55.6689701 29.4492572, 55.6689924 29.4491968)",,
59148785,False,خیابان انقلاب,residential,,False,88.433,"LINESTRING (55.6690954 29.4494688, 55.6690466 29.4495483, 55.6686649 29.4501702)",30,
27128850,True,بلوار دکتر صادقی,secondary,,False,86.392,"LINESTRING (55.6738185 29.4453206, 55.6730979 29.4448625)",,
434089490,False,,residential,,True,30.305,"LINESTRING (55.6738185 29.4453206, 55.6736474 29.4455488)",30,
673578273,False,,tertiary_link,,False,15.789,"LINESTRING (55.6722339 29.4443236, 55.6723121 29.444199)",,
27128850,True,بلوار دکتر صادقی,secondary,,False,57.375,"LINESTRING (55.6722339 29.4443236, 55.6721307 29.4442703, 55.6717384 29.4440409)",,
137991272,True,خیابان امام خمینی,tertiary,,False,111.591,"LINESTRING (55.6727783 29.4434365, 55.6733251 29.4425531)",30,
694362211,False,,residential,,True,92.057,"LINESTRING (55.6727783 29.4434365, 55.6719801 29.4429868)",,
27128851,True,میدان انقلاب,secondary,roundabout,False,35.0,"LINESTRING (55.669304 29.4491075, 55.6693753 29.4491558, 55.66942 29.4492242, 55.6694313 29.4493023, 55.6694075 29.4493782)",,
59149357,True,خیابان امام خمینی,tertiary,,False,31.027,"LINESTRING (55.669304 29.4491075, 55.6693667 29.4490051, 55.6694548 29.4488613)",,
27128851,True,میدان انقلاب,secondary,roundabout,False,35.18,"LINESTRING (55.6694075 29.4493782, 55.669352 29.4494408, 55.6692731 29.44948, 55.669183 29.4494898, 55.6690954 29.4494688)",,
484217903,False,خیابان هفده شهریور,tertiary,,True,13.307,"LINESTRING (55.6698849 29.4430211, 55.6699657 29.4429243)",,
484217895,True,خیابان هفده شهریور,tertiary,,False,213.654,"LINESTRING (55.6698849 29.4430211, 55.6698278 29.443132, 55.6698087 29.443169, 55.6694049 29.4436471, 55.6686391 29.4445077, 55.6685841 29.4445681)",,
1224998966,True,بلوار دکتر صادقی,secondary,,False,66.418,"LINESTRING (55.6698849 29.4430211, 55.669779 29.4429716, 55.6692805 29.4427387)",,
484217903,False,خیابان هفده شهریور,tertiary,,False,12.439,"LINESTRING (55.6710422 29.4416341, 55.6709667 29.4417246)",,
484217903,False,خیابان هفده شهریور,tertiary,,True,27.035,"LINESTRING (55.6710422 29.4416341, 55.6712063 29.4414374)",,
484217903,False,خیابان هفده شهریور,tertiary,,False,13.307,"LINESTRING (55.6699657 29.4429243, 55.6698849 29.4430211)",,
484217903,False,خیابان هفده شهریور,tertiary,,True,37.399,"LINESTRING (55.6699657 29.4429243, 55.6700064 29.4428756, 55.6701927 29.4426522)",,
485206133,True,بلوار دکتر صادقی,secondary,,False,36.058,"LINESTRING (55.6699657 29.4429243, 55.6700983 29.4429928, 55.670286 29.4430897)",,
485206133,True,بلوار دکتر صادقی,secondary,,False,193.852,"LINESTRING (55.670286 29.4430897, 55.6719808 29.4440176)",,
137991272,True,خیابان امام خمینی,tertiary,,False,18.36,"LINESTRING (55.6723121 29.444199, 55.6724 29.4440527)",30,
673578273,False,,tertiary_link,,True,15.789,"LINESTRING (55.6723121 29.444199, 55.6722339 29.4443236)",,
485206133,True,بلوار دکتر صادقی,secondary,,False,38.66,"LINESTRING (55.6723121 29.444199, 55.6724406 29.4442736, 55.6726331 29.4444053)",,
484217917,True,خیابان آیت الله سعیدی,secondary,,False,38.615,"LINESTRING (55.6742069 29.4415805, 55.6745353 29.4417775)",,
137991264,True,میدان قدس,secondary,roundabout,False,36.515,"LINESTRING (55.6742069 29.4415805, 55.6741408 29.4416458, 55.6740534 29.4416823, 55.6739606 29.4416873, 55.6738774 29.4416645)",,2
434089468,False,,residential,,False,54.7,"LINESTRING (55.6739223 29.4452339, 55.6742267 29.4448195)",30,
485206133,True,بلوار دکتر صادقی,secondary,,False,131.814,"LINESTRING (55.6739223 29.4452339, 55.6750387 29.4459122)",,
207069194,False,خیابان بدر جنوبی,residential,,True,66.817,"LINESTRING (55.6665532 29.4414487, 55.6662198 29.4419748)",30,
75279036,False,خیابان ابن سینا,secondary,,True,51.485,"LINESTRING (55.6655202 29.4475157, 55.6659905 29.4477317)",,
207069003,False,ابن سینا ۷,residential,,True,39.265,"LINESTRING (55.6655202 29.4475157, 55.665311 29.4478182)",30,
594751192,False,,residential,,True,67.621,"LINESTRING (55.6655202 29.4475157, 55.6658683 29.4469885)",,
207069003,False,ابن سینا ۷,residential,,False,39.265,"LINESTRING (55.665311 29.4478182, 55.6655202 29.4475157)",30,
1020259306,True,شریعتی ۱۰,residential,,False,86.168,"LINESTRING (55.6710983 29.4501452, 55.6716541 29.44954)",30,
484226607,True,خیابان شریعتی,secondary,,False,92.42399999999999,"LINESTRING (55.6710983 29.4501452, 55.6703521 29.4498075, 55.6703294 29.4497972, 55.6702515 29.4497616)",,
27128850,True,بلوار دکتر صادقی,secondary,,False,131.464,"LINESTRING (55.6749341 29.4459944, 55.6738185 29.4453206)",,
484226608,False,شریعتی ۱۰,residential,,True,76.448,"LINESTRING (55.6749341 29.4459944, 55.6744301 29.4465236)",30,
