osmid,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,junction
69993274,خیابان شهرداری,tertiary,False,False,46.731,"LINESTRING (50.4001316 37.0805275, 50.39986 37.0801674)",,,
233434095,مفتح جنوبی,tertiary,False,True,225.849,"LINESTRING (50.3986173 37.0724837, 50.3987141 37.0725648, 50.3987866 37.0726606, 50.3997264 37.0743049)",,,
1255674417,مفتح جنوبی,tertiary,True,False,89.488,"LINESTRING (50.3986173 37.0724837, 50.3984905 37.0724573, 50.3983678 37.0724653, 50.3982422 37.0725041, 50.3976975 37.0727401)",,,
233434022,,secondary,False,True,44.229,"LINESTRING (50.4017054 37.0738784, 50.4012899 37.0740982)",yes,,
617800465,بلوار امام خمینی غربی,secondary,True,False,28.178,"LINESTRING (50.4017054 37.0738784, 50.4019344 37.0737028)",,,
233434135,,residential,False,False,12.133,"LINESTRING (50.3972239 37.0739119, 50.3973252 37.0739852)",,30,
233434022,,secondary,False,False,44.229,"LINESTRING (50.4012899 37.0740982, 50.4017054 37.0738784)",yes,,
617802405,خیابان امام خمینی,secondary,False,True,27.23,"LINESTRING (50.4012899 37.0740982, 50.4010394 37.0742397)",,,
233434071,,residential,False,True,197.247,"LINESTRING (50.4012899 37.0740982, 50.4014855 37.0743431, 50.4017942 37.0747297, 50.4021839 37.0757065)",,30,
233434135,,residential,False,False,53.784,"LINESTRING (50.397599 37.0741835, 50.3980979 37.0744583)",,30,
233434135,,residential,False,True,32.806,"LINESTRING (50.397599 37.0741835, 50.3973252 37.0739852)",,30,
1255674422,,residential,False,True,82.529,"LINESTRING (50.397599 37.0741835, 50.3969479 37.0747136)",,,
233434065,,residential,False,True,57.217,"LINESTRING (50.4007224 37.0744188, 50.4010262 37.0748727)",,30,
617802405,خیابان امام خمینی,secondary,False,False,34.461,"LINESTRING (50.4007224 37.0744188, 50.4010394 37.0742397)",,,
617802405,خیابان امام خمینی,secondary,False,True,7.377,"LINESTRING (50.4007224 37.0744188, 50.4006545 37.0744571)",,,
233434135,,residential,False,False,52.844,"LINESTRING (50.3980979 37.0744583, 50.3984646 37.0748328)",,30,
233434135,,residential,False,True,53.784,"LINESTRING (50.3980979 37.0744583, 50.397599 37.0741835)",,30,
1255674423,,residential,False,False,154.931,"LINESTRING (50.3980979 37.0744583, 50.398437 37.0743317, 50.3984551 37.0743173, 50.3984561 37.0743011, 50.3982549 37.0738969, 50.3982152 37.0738105, 50.3981978 37.0738062, 50.3981803 37.0738094, 50.398065 37.0738436, 50.3980489 37.0738426, 50.3980315 37.0738394, 50.397837 37.0734959)",,,
233434095,مفتح جنوبی,tertiary,False,False,61.441,"LINESTRING (50.4001036 37.0747683, 50.3997264 37.0743049)",,,
233434162,مفتح شمالی,tertiary,False,True,137.644,"LINESTRING (50.4001036 37.0747683, 50.4009969 37.0757804)",,30,
617802405,خیابان امام خمینی,secondary,False,False,59.884,"LINESTRING (50.4001036 37.0747683, 50.4006545 37.0744571)",,,
617802405,خیابان امام خمینی,secondary,False,True,71.362,"LINESTRING (50.4001036 37.0747683, 50.3998918 37.0748879, 50.3994711 37.0751642)",,,
233434135,,residential,False,True,52.844,"LINESTRING (50.3984646 37.0748328, 50.3980979 37.0744583)",,30,
253832704,,residential,False,False,42.49,"LINESTRING (50.3984646 37.0748328, 50.3980432 37.0750144)",,30,
233434135,,residential,False,False,86.021,"LINESTRING (50.3984646 37.0748328, 50.3988138 37.0751988, 50.3989936 37.0754777)",,30,
253832704,,residential,False,True,127.506,"LINESTRING (50.3984646 37.0748328, 50.3989672 37.0745681, 50.3995051 37.0743394, 50.3997264 37.0743049)",,30,
233434098,,residential,False,False,141.561,"LINESTRING (50.3994711 37.0751642, 50.4002808 37.0762612)",,30,
617802405,خیابان امام خمینی,secondary,False,True,54.861,"LINESTRING (50.3994711 37.0751642, 50.3989936 37.0754777)",,,
617802405,خیابان امام خمینی,secondary,False,False,71.362,"LINESTRING (50.3994711 37.0751642, 50.3998918 37.0748879, 50.4001036 37.0747683)",,,
617802405,خیابان امام خمینی,secondary,False,False,54.861,"LINESTRING (50.3989936 37.0754777, 50.3994711 37.0751642)",,,
617802405,خیابان امام خمینی,secondary,False,True,11.583,"LINESTRING (50.3989936 37.0754777, 50.3988928 37.0755439)",,,
233434135,,residential,False,True,86.021,"LINESTRING (50.3989936 37.0754777, 50.3988138 37.0751988, 50.3984646 37.0748328)",,30,
233434110,,residential,False,False,74.247,"LINESTRING (50.3988928 37.0755439, 50.39934 37.0761083)",,30,
617802405,خیابان امام خمینی,secondary,False,False,11.583,"LINESTRING (50.3988928 37.0755439, 50.3989936 37.0754777)",,,
617802405,خیابان امام خمینی,secondary,False,True,41.866,"LINESTRING (50.3988928 37.0755439, 50.3985223 37.0757771)",,,
233434071,,residential,False,True,42.744,"LINESTRING (50.4021839 37.0757065, 50.4022265 37.0760894)",,30,
233434080,,residential,False,False,47.296,"LINESTRING (50.4021839 37.0757065, 50.4017489 37.0759524)",,30,
233434071,,residential,False,False,197.24699999999999,"LINESTRING (50.4021839 37.0757065, 50.4017942 37.0747297, 50.4014855 37.0743431, 50.4012899 37.0740982)",,30,
233434099,,residential,False,True,83.031,"LINESTRING (50.4009969 37.0757804, 50.4002808 37.0762612)",,30,
233434162,مفتح شمالی,tertiary,False,False,137.644,"LINESTRING (50.4009969 37.0757804, 50.4001036 37.0747683)",,30,
233434162,مفتح شمالی,tertiary,False,True,54.18,"LINESTRING (50.4009969 37.0757804, 50.4013485 37.0761788)",,30,
233434126,,residential,False,False,33.172,"LINESTRING (50.3984098 37.075861, 50.3986055 37.0761152)",,30,
