osmid,highway,oneway,reversed,length,junction,geometry,lanes,name
122637440,residential,False,True,46.274,,"LINESTRING (57.3147618 36.0180029, 57.3144789 36.0183505)",,
742464963,residential,False,False,144.148,,"LINESTRING (57.3147618 36.0180029, 57.3134309 36.0172806)",,
742464963,residential,False,True,197.475,,"LINESTRING (57.3147618 36.0180029, 57.3165737 36.019006)",,
122637440,residential,False,False,76.631,,"LINESTRING (57.3134289 36.0197019, 57.3138803 36.0191174)",,
122637440,residential,False,True,63.657,,"LINESTRING (57.3134289 36.0197019, 57.3130798 36.0201999)",,
541372162,residential,False,False,148.273,,"LINESTRING (57.3134289 36.0197019, 57.3145026 36.0207138)",,
742464960,residential,False,True,103.36,,"LINESTRING (57.3134289 36.0197019, 57.312539 36.0191137)",,
122637159,secondary,True,False,9.844000000000001,roundabout,"LINESTRING (57.3126274 36.0206793, 57.312682 36.0206821, 57.3127311 36.0207017)",,
122637440,residential,False,False,64.007,,"LINESTRING (57.3127311 36.0207017, 57.3130798 36.0201999)",,
122637159,secondary,True,False,9.846,roundabout,"LINESTRING (57.3127311 36.0207017, 57.3127672 36.020735, 57.3127848 36.0207769)",,
122637159,secondary,True,False,19.692999999999998,roundabout,"LINESTRING (57.3127848 36.0207769, 57.3127813 36.0208211, 57.3127571 36.0208608, 57.3127159 36.02089, 57.3126641 36.0209042)",,
122637686,secondary,True,False,94.244,,"LINESTRING (57.3127848 36.0207769, 57.3129533 36.0209703, 57.3131008 36.0211197, 57.3134386 36.0214384)",2,بلوار امام خمینی (ره)
122637159,secondary,True,False,19.686,roundabout,"LINESTRING (57.3125067 36.0208066, 57.3125103 36.0207624, 57.3125345 36.0207227, 57.3125756 36.0206935, 57.3126274 36.0206793)",,
122637570,secondary,True,False,52.537,,"LINESTRING (57.3125067 36.0208066, 57.3122974 36.020678, 57.312032 36.0205315)",2,بلوار امام خمینی (ره)
489647537,residential,False,False,166.338,,"LINESTRING (57.3125604 36.0208817, 57.311651 36.0221843)",,
122637159,secondary,True,False,9.837,roundabout,"LINESTRING (57.3125604 36.0208817, 57.3125243 36.0208485, 57.3125067 36.0208066)",,
122637159,secondary,True,False,9.845,roundabout,"LINESTRING (57.3126641 36.0209042, 57.3126095 36.0209013, 57.3125604 36.0208817)",,
122637260,secondary_link,False,True,12.114,,"LINESTRING (57.3147357 36.0226795, 57.314633 36.02275)",,
122637686,secondary,True,False,53.334,,"LINESTRING (57.3147357 36.0226795, 57.315119 36.0230455)",2,بلوار امام خمینی (ره)
122637260,secondary_link,False,False,12.114,,"LINESTRING (57.314633 36.02275, 57.3147357 36.0226795)",,
122637678,secondary,True,False,31.337,,"LINESTRING (57.314633 36.02275, 57.3144083 36.0225346)",2,بلوار امام خمینی (ره)
122637358,secondary_link,False,True,12.115,,"LINESTRING (57.3163594 36.0242198, 57.3162569 36.0242905)",,
122637358,secondary_link,False,False,12.115,,"LINESTRING (57.3162569 36.0242905, 57.3163594 36.0242198)",,
122637678,secondary,True,False,225.1,,"LINESTRING (57.3162569 36.0242905, 57.314633 36.02275)",2,بلوار امام خمینی (ره)
449803527,tertiary,False,False,99.28,,"LINESTRING (57.3091809 36.0189488, 57.3086221 36.0197188)",,
122637570,secondary,True,False,196.005,,"LINESTRING (57.3091809 36.0189488, 57.3089797 36.0188357, 57.307611 36.0180482, 57.3073786 36.017964)",2,بلوار امام خمینی (ره)
449803527,tertiary,False,False,67.072,,"LINESTRING (57.3078928 36.0207307, 57.3075247 36.0212553)",,
449803527,tertiary,False,True,26.875,,"LINESTRING (57.3078928 36.0207307, 57.3080403 36.0205205)",,
742464919,residential,False,False,80.182,,"LINESTRING (57.3078928 36.0207307, 57.3071004 36.0204002)",,
449803527,tertiary,False,True,68.55,,"LINESTRING (57.3068588 36.0248403, 57.3067826 36.0242269)",,
489647536,residential,False,True,46.725,,"LINESTRING (57.3068588 36.0248403, 57.3073763 36.0248028)",,
449803527,tertiary,False,False,60.559,,"LINESTRING (57.3066887 36.0236876, 57.3067826 36.0242269)",,
449803527,tertiary,False,True,83.087,,"LINESTRING (57.3066887 36.0236876, 57.306639 36.0232082, 57.3067152 36.0229493)",,
489647536,residential,False,False,46.725,,"LINESTRING (57.3073763 36.0248028, 57.3068588 36.0248403)",,
742464914,residential,False,False,62.682,,"LINESTRING (57.3073763 36.0248028, 57.3073804 36.0242391)",,
489647536,residential,False,True,166.38,,"LINESTRING (57.3073763 36.0248028, 57.3088273 36.024857, 57.3089414 36.024549)",,
449803527,tertiary,False,False,68.55,,"LINESTRING (57.3067826 36.0242269, 57.3068588 36.0248403)",,
449803527,tertiary,False,True,60.559,,"LINESTRING (57.3067826 36.0242269, 57.3066887 36.0236876)",,
489647537,residential,False,True,53.778,,"LINESTRING (57.3067826 36.0242269, 57.3073804 36.0242391)",,
489647536,residential,False,False,166.38,,"LINESTRING (57.3089414 36.024549, 57.3088273 36.024857, 57.3073763 36.0248028)",,
489647537,residential,False,False,145.686,,"LINESTRING (57.3089414 36.024549, 57.3085095 36.0244405, 57.307788 36.0242474, 57.3073804 36.0242391)",,
489647537,residential,False,True,113.94999999999999,,"LINESTRING (57.3089414 36.024549, 57.3094765 36.0244308, 57.3095852 36.0243231, 57.3097969 36.0239209)",,
489647538,residential,False,True,159.344,,"LINESTRING (57.3097969 36.0239209, 57.3081514 36.0233895)",,
