osmid,highway,oneway,reversed,length,name,geometry,junction,lanes
273451054,residential,False,False,15.939,,"LINESTRING (45.0716846 37.5527524, 45.0715391 37.5526673)",,
69552903,tertiary,True,False,74.939,خیابان حافظ,"LINESTRING (45.0632211 37.5508341, 45.0634595 37.551481)",,
208964935,residential,False,True,59.623,کوی ۱۸,"LINESTRING (45.0632211 37.5508341, 45.0625803 37.5510056)",,
499186801,tertiary,True,False,11.298,حافظ یک,"LINESTRING (45.0634595 37.551481, 45.0635128 37.5515734)",,
902640785,secondary,True,False,53.243,سرداران ۲,"LINESTRING (45.0634595 37.551481, 45.0639488 37.5512003)",,
69553006,secondary,True,False,8.832,سرداران,"LINESTRING (45.0689749 37.5472322, 45.0690414 37.5471728)",,
835972364,primary,True,False,71.133,امام خمینی,"LINESTRING (45.0689749 37.5472322, 45.0683971 37.5467857)",,
648718985,residential,False,False,17.623,شهید رزبانی ۱۶,"LINESTRING (45.0646309 37.5508086, 45.0645304 37.5506716)",,
499186804,secondary,True,False,75.088,سرداران ۲,"LINESTRING (45.0646309 37.5508086, 45.0649278 37.5505666, 45.0651871 37.5502987)",,
499186801,tertiary,True,False,21.885,حافظ یک,"LINESTRING (45.0641767 37.5526456, 45.0642837 37.5528232)",,
1211536818,residential,False,False,8.214,,"LINESTRING (45.0666588 37.5489191, 45.0666972 37.5489864)",,
1211536818,residential,False,True,11.728,,"LINESTRING (45.0666588 37.5489191, 45.0666817 37.5488152)",,
69553006,secondary,True,False,67.979,سرداران,"LINESTRING (45.0666588 37.5489191, 45.0672059 37.5488148, 45.0673364 37.5487807, 45.0673939 37.5487477)",,
69552903,tertiary,True,False,25.481,خیابان حافظ,"LINESTRING (45.0629691 37.5498322, 45.0630219 37.5500575)",,
208964930,tertiary,False,False,46.755,مقدم شش,"LINESTRING (45.0629691 37.5498322, 45.0634929 37.5497663)",,
208964917,residential,False,False,37.741,پنجم,"LINESTRING (45.0612843 37.5503678, 45.0616996 37.5502854)",,
205979571,residential,False,False,33.84,دوازدهم,"LINESTRING (45.0687049 37.5523279, 45.0690865 37.5523609)",,
205890433,primary,True,False,12.79,میدان انقلاب,"LINESTRING (45.0650005 37.5439595, 45.064957 37.5440055, 45.0648999 37.544041)",roundabout,
741807178,primary,True,False,128.47299999999998,امام خمینی,"LINESTRING (45.0650005 37.5439595, 45.0651297 37.5440646, 45.0657292 37.5445523, 45.066026 37.5447802)",,
205890433,primary,True,False,9.001999999999999,میدان انقلاب,"LINESTRING (45.0646218 37.5440429, 45.0645799 37.5440198, 45.064544 37.543991)",roundabout,
860578726,primary,True,False,78.985,امینی,"LINESTRING (45.0646218 37.5440429, 45.0644423 37.5442097, 45.0640402 37.5445832)",,1
273430939,secondary,True,False,172.59900000000002,شهید مدنی ۲,"LINESTRING (45.0649186 37.5476654, 45.0656006 37.5482531, 45.0658553 37.5485237, 45.0660302 37.5487477, 45.0661281 37.548879)",,2
205976615,secondary,True,False,16.813,میدان امام حسین,"LINESTRING (45.0661792 37.5489611, 45.0662425 37.5489562, 45.0663052 37.5489644, 45.0663631 37.5489852)",roundabout,3
69553006,secondary,True,False,27.085,سرداران,"LINESTRING (45.0663631 37.5489852, 45.0664864 37.5489576, 45.0666588 37.5489191)",,
205976615,secondary,True,False,11.213999999999999,میدان امام حسین,"LINESTRING (45.0663631 37.5489852, 45.0664122 37.5490172, 45.0664493 37.5490582)",roundabout,3
205976615,secondary,True,False,22.421,میدان امام حسین,"LINESTRING (45.0664493 37.5490582, 45.0664717 37.5491054, 45.0664779 37.5491555, 45.0664675 37.5492053, 45.0664413 37.5492512)",roundabout,3
205976606,secondary,True,False,11.419,شهید مدنی ۲,"LINESTRING (45.0660277 37.5490472, 45.065977 37.5489527)",,2
205976615,secondary,True,False,16.814999999999998,میدان امام حسین,"LINESTRING (45.0660277 37.5490472, 45.066068 37.5490082, 45.0661197 37.5489789, 45.0661792 37.5489611)",roundabout,3
69551498,secondary,True,False,128.161,شهید مدنی ۲,"LINESTRING (45.0664413 37.5492512, 45.0665182 37.5493568, 45.0671683 37.5502493)",,2
205976615,secondary,True,False,16.817999999999998,میدان امام حسین,"LINESTRING (45.0664413 37.5492512, 45.0664009 37.5492901, 45.0663492 37.5493195, 45.0662897 37.5493373)",roundabout,3
205976615,secondary,True,False,28.031999999999996,میدان امام حسین,"LINESTRING (45.0660567 37.5492812, 45.0660197 37.5492402, 45.0659973 37.549193, 45.065991 37.5491428, 45.0660014 37.5490931, 45.0660277 37.5490472)",roundabout,3
648716190,residential,False,False,54.918,کوچه بیست و یکم,"LINESTRING (45.0660567 37.5492812, 45.065871 37.5492736, 45.0658042 37.5492708, 45.0656629 37.5492608, 45.0654604 37.5491773)",,
205976615,secondary,True,False,11.207,میدان امام حسین,"LINESTRING (45.0661637 37.549334, 45.0661058 37.5493132, 45.0660567 37.5492812)",roundabout,3
382257124,secondary,True,False,106.818,سرداران ۲,"LINESTRING (45.0661637 37.549334, 45.06602 37.5494962, 45.0657715 37.5497765, 45.0654931 37.5501336)",,
69551498,secondary,True,False,92.201,شهید مدنی ۲,"LINESTRING (45.0682629 37.5515764, 45.0687049 37.5523279)",,2
205979579,residential,False,False,34.537,کوی ۱۵ خرداد ( صحیه ),"LINESTRING (45.0682629 37.5515764, 45.0686537 37.5515546)",,
273430979,secondary_link,False,True,14.278,,"LINESTRING (45.0682629 37.5515764, 45.0681197 37.5516364)",,
205979573,residential,True,False,105.779,کوی ارگ,"LINESTRING (45.0703135 37.545312, 45.0701316 37.5443717)",,
205979582,residential,True,False,31.082,مخابرات,"LINESTRING (45.0703135 37.545312, 45.0699672 37.5453644)",,
205979584,residential,False,False,33.95,کوچه آگاهی,"LINESTRING (45.0691981 37.5454932, 45.0690051 37.545229)",,1
205979582,residential,True,False,149.315,مخابرات,"LINESTRING (45.0691981 37.5454932, 45.068823 37.5455995, 45.0682048 37.5457945, 45.0680313 37.5459071, 45.0677874 37.5461642)",,
205979576,residential,True,False,45.531,کوی ارگ,"LINESTRING (45.0707979 37.5466648, 45.0706378 37.5462755)",,
1134198568,residential,False,False,21.205,کوی ارگ,"LINESTRING (45.0707979 37.5466648, 45.0708725 37.5468461)",,
648663097,residential,False,False,10.026,,"LINESTRING (45.0695665 37.5471228, 45.0696637 37.5471696)",,
