osmid,highway,oneway,reversed,length,geometry,name,junction
396736723,residential,True,False,25.727,"LINESTRING (48.3356336 31.8774348, 48.3356087 31.8774614, 48.3355135 31.877497, 48.3354096 31.877491, 48.3353889 31.8774802)",,roundabout
396736736,residential,False,True,22.002,"LINESTRING (48.3363021 31.8774798, 48.3361105 31.8775924)",,
396736788,residential,False,False,35.506,"LINESTRING (48.3363021 31.8774798, 48.3364296 31.8777802)",,
396736788,residential,False,True,61.901,"LINESTRING (48.3363021 31.8774798, 48.3360798 31.8769561)",,
396736723,residential,True,False,27.2,"LINESTRING (48.3353889 31.8774802, 48.3353209 31.8774447, 48.3352677 31.8773687, 48.3352622 31.8772804)",,roundabout
396736829,residential,False,True,71.837,"LINESTRING (48.3353889 31.8774802, 48.3352827 31.877551, 48.3347232 31.877789)",جمهوری,
396736716,residential,False,False,99.086,"LINESTRING (48.3389283 31.8775422, 48.3392565 31.8783886)",مدرس,
396736716,residential,False,True,39.522,"LINESTRING (48.3389283 31.8775422, 48.3387974 31.8772046)",مدرس,
1106293462,residential,False,True,204.677,"LINESTRING (48.3389283 31.8775422, 48.3368827 31.8781511)",شهدا,
396736704,residential,True,False,36.66,"LINESTRING (48.3361105 31.8775924, 48.3364296 31.8777802)",جانبازان,
396736736,residential,False,False,22.002,"LINESTRING (48.3361105 31.8775924, 48.3363021 31.8774798)",,
396736788,residential,False,True,35.506,"LINESTRING (48.3364296 31.8777802, 48.3363021 31.8774798)",,
396736704,residential,True,False,59.731,"LINESTRING (48.3364296 31.8777802, 48.3366275 31.8779054, 48.3368827 31.8781511)",جانبازان,
396736722,residential,True,False,87.658,"LINESTRING (48.3399289 31.8777887, 48.3407216 31.878199)",آزادی,
396736746,residential,False,False,12.346,"LINESTRING (48.3399289 31.8777887, 48.3398391 31.8778694)",,
396736779,residential,False,False,189.624,"LINESTRING (48.3347232 31.877789, 48.3364088 31.878716)",امام صادق,
396736829,residential,False,True,16.002,"LINESTRING (48.3347232 31.877789, 48.3345717 31.8778535)",جمهوری,
396736829,residential,False,False,71.837,"LINESTRING (48.3347232 31.877789, 48.3352827 31.877551, 48.3353889 31.8774802)",جمهوری,
396736829,residential,False,False,16.002,"LINESTRING (48.3345717 31.8778535, 48.3347232 31.877789)",جمهوری,
396736829,residential,False,True,74.071,"LINESTRING (48.3345717 31.8778535, 48.3338703 31.8781518)",جمهوری,
396736822,residential,False,True,178.176,"LINESTRING (48.3345717 31.8778535, 48.3342053 31.8772716, 48.3338277 31.8768031, 48.3336561 31.8764578)",,
396736722,residential,True,False,100.647,"LINESTRING (48.3398391 31.8778694, 48.3395409 31.8770004)",آزادی,
396736746,residential,False,True,12.346,"LINESTRING (48.3398391 31.8778694, 48.3399289 31.8777887)",,
396736704,residential,True,False,125.895,"LINESTRING (48.3368827 31.8781511, 48.3377987 31.8789738)",جانبازان,
396736820,residential,False,True,5.885,"LINESTRING (48.3368827 31.8781511, 48.3368291 31.8781781)",شهدا,
1106293462,residential,False,False,204.677,"LINESTRING (48.3368827 31.8781511, 48.3389283 31.8775422)",شهدا,
396736826,residential,False,True,235.355,"LINESTRING (48.3338703 31.8781518, 48.3359524 31.8793154)",نخل,
396736829,residential,False,False,74.071,"LINESTRING (48.3338703 31.8781518, 48.3345717 31.8778535)",جمهوری,
396736820,residential,False,False,5.885,"LINESTRING (48.3368291 31.8781781, 48.3368827 31.8781511)",شهدا,
396736820,residential,False,True,71.822,"LINESTRING (48.3368291 31.8781781, 48.336777 31.8782325, 48.3364088 31.878716)",شهدا,
396736824,residential,True,False,140.986,"LINESTRING (48.3368291 31.8781781, 48.3366312 31.8779768, 48.3356336 31.8774348)",جانبازان,
396736713,residential,True,False,179.572,"LINESTRING (48.3407216 31.878199, 48.3411036 31.8779357, 48.3421961 31.8771791)",,
396736716,residential,False,False,75.754,"LINESTRING (48.3392565 31.8783886, 48.3395074 31.8790357)",مدرس,
396736716,residential,False,True,99.086,"LINESTRING (48.3392565 31.8783886, 48.3389283 31.8775422)",مدرس,
396736787,residential,False,False,152.256,"LINESTRING (48.3392565 31.8783886, 48.3377987 31.8789738)",,
396736713,residential,True,False,72.108,"LINESTRING (48.3401286 31.8786076, 48.3407216 31.878199)",,
