osmid,oneway,highway,junction,reversed,length,geometry,name,maxspeed,bridge
721512747,True,secondary,roundabout,False,25.028000000000002,"LINESTRING (61.3241992 30.9362356, 61.3241676 30.9362097, 61.3241462 30.936177, 61.3241371 30.9361403, 61.324141 30.9361029, 61.3241575 30.9360682, 61.3241853 30.9360392)",,,
721515636,True,tertiary,,False,24.312,"LINESTRING (61.3244177 30.9387099, 61.3241631 30.9387208)",بلوار امام خمینی,30,
721515634,True,tertiary,,False,14.972,"LINESTRING (61.3244177 30.9387099, 61.3244196 30.9386141, 61.324436 30.9385779)",میدان سفیر امید,,
721515635,True,tertiary,,False,46.081,"LINESTRING (61.3287544 30.9378893, 61.3292316 30.9378244)",بلوار امام خمینی,30,
1169949491,False,residential,,True,20.212,"LINESTRING (61.3287544 30.9378893, 61.3287453 30.9377077)",,,
401994071,False,residential,,True,20.397,"LINESTRING (61.3268068 30.9381751, 61.326765 30.9379952)",,30,
721515635,True,tertiary,,False,188.451,"LINESTRING (61.3268068 30.9381751, 61.3287544 30.9378893)",بلوار امام خمینی,30,
721515635,True,tertiary,,False,211.22,"LINESTRING (61.3246353 30.9385482, 61.3268068 30.9381751)",بلوار امام خمینی,30,
721515634,True,tertiary,,False,18.77,"LINESTRING (61.3246353 30.9385482, 61.3246642 30.9385848, 61.3246873 30.9386426, 61.3246877 30.9387061)",میدان سفیر امید,,
401994057,False,residential,,False,32.269,"LINESTRING (61.3224735 30.9386515, 61.3224468 30.9383622)",,,
401994050,True,tertiary,,False,187.447,"LINESTRING (61.3224735 30.9386515, 61.3243498 30.9385923, 61.324436 30.9385779)",بلوار امام خمینی,30,
401994050,True,tertiary,,False,42.529,"LINESTRING (61.3200687 30.9388752, 61.3205093 30.9388163)",بلوار امام خمینی,30,
721518930,False,tertiary_link,,False,13.95,"LINESTRING (61.3200687 30.9388752, 61.320043 30.9389987)",,,yes
401994049,False,residential,,False,78.782,"LINESTRING (61.3244894 30.9401547, 61.3244187 30.9408606)",,30,
401994061,False,residential,,False,111.565,"LINESTRING (61.3244894 30.9401547, 61.3256485 30.9400194)",,30,
401994061,False,residential,,True,156.293,"LINESTRING (61.3244894 30.9401547, 61.3228653 30.9399671)",,30,
721523229,True,tertiary,,False,139.013,"LINESTRING (61.3244894 30.9401547, 61.3244382 30.9400632, 61.3244142 30.9389147)",,30,
401994052,False,residential,,False,79.199,"LINESTRING (61.3218028 30.9388353, 61.321705 30.9395426)",,,
721515636,True,tertiary,,False,168.819,"LINESTRING (61.3218028 30.9388353, 61.320043 30.9389987)",بلوار امام خمینی,30,
401994053,False,residential,,False,43.623,"LINESTRING (61.320043 30.9389987, 61.3199934 30.9393887)",,,
721518930,False,tertiary_link,,True,13.95,"LINESTRING (61.320043 30.9389987, 61.3200687 30.9388752)",,,yes
401994052,False,residential,,True,58.401,"LINESTRING (61.3213675 30.9420004, 61.3214224 30.9414773)",,,
721520811,False,residential,,False,128.26,"LINESTRING (61.3213675 30.9420004, 61.3213626 30.9421719, 61.322505 30.942236)",,,
401994054,False,residential,,False,133.175,"LINESTRING (61.3230241 30.9387772, 61.3228653 30.9399671)",,30,
721515636,True,tertiary,,False,116.659,"LINESTRING (61.3230241 30.9387772, 61.3218028 30.9388353)",بلوار امام خمینی,30,
401994054,False,residential,,True,73.925,"LINESTRING (61.322505 30.942236, 61.3225943 30.9415756)",,30,
721520811,False,residential,,False,66.195,"LINESTRING (61.322505 30.942236, 61.3231976 30.9422749)",,,
721520811,False,residential,,True,128.26,"LINESTRING (61.322505 30.942236, 61.3213626 30.9421719, 61.3213675 30.9420004)",,,
401994070,False,residential,,False,79.908,"LINESTRING (61.3243009 30.9368295, 61.323469 30.9369148)",وصال,30,
721515053,True,tertiary,,False,48.928,"LINESTRING (61.3243009 30.9368295, 61.3242664 30.936474, 61.3243148 30.9364018)",بلوار سفیر امید,30,
401994056,False,residential,,True,115.916,"LINESTRING (61.3224265 30.93766, 61.3212191 30.9377792)",,,
401994057,False,residential,,False,71.125,"LINESTRING (61.3224265 30.93766, 61.3223987 30.9370208)",,,
401994057,False,residential,,True,13.937,"LINESTRING (61.3224265 30.93766, 61.32244 30.9377848)",,,
