osmid,oneway,name,highway,junction,reversed,length,geometry,lanes,maxspeed
129456988,True,میدان شهدا,secondary,roundabout,False,20.095,"LINESTRING (54.3407729 36.1637641, 54.3408468 36.1637724, 54.3409162 36.1637946, 54.3409769 36.1638296)",,
129456988,True,میدان شهدا,secondary,roundabout,False,33.589999999999996,"LINESTRING (54.3409769 36.1638296, 54.3410257 36.1638754, 54.3410595 36.1639293, 54.3410763 36.1639882, 54.3410752 36.1640486, 54.3410561 36.164107)",,
129456988,True,میدان شهدا,secondary,roundabout,False,37.795,"LINESTRING (54.3404655 36.1639585, 54.3404953 36.1638949, 54.3405452 36.1638402, 54.3406115 36.1637982, 54.3406893 36.1637723, 54.3407729 36.1637641)",,
777219504,True,شهید مفتح,secondary,,False,132.293,"LINESTRING (54.3404655 36.1639585, 54.3403618 36.1637572, 54.3403281 36.1636961, 54.3402912 36.1636371, 54.3402528 36.1635891, 54.3402019 36.163541, 54.3396999 36.1631237, 54.3395834 36.1630246)",3,50
129456988,True,میدان شهدا,secondary,roundabout,False,17.244999999999997,"LINESTRING (54.3410561 36.164107, 54.3410073 36.1641738, 54.3409355 36.1642253)",,
129458168,True,بلوار امام خمینی,secondary,,False,30.151,"LINESTRING (54.3410561 36.164107, 54.3411741 36.1642904, 54.3412297 36.1643367)",2,
129456988,True,میدان شهدا,secondary,roundabout,False,21.887,"LINESTRING (54.3405054 36.1641481, 54.3404714 36.1640885, 54.3404578 36.1640238, 54.3404655 36.1639585)",,
129456988,True,میدان شهدا,secondary,roundabout,False,27.411,"LINESTRING (54.3409355 36.1642253, 54.3408619 36.1642532, 54.3407817 36.1642648, 54.3407006 36.1642591, 54.3406425 36.1642437)",,
129456988,True,میدان شهدا,secondary,roundabout,False,16.478,"LINESTRING (54.3406425 36.1642437, 54.3405892 36.1642194, 54.3405429 36.1641871, 54.3405054 36.1641481)",,
414626942,True,خیابان پاسداران,tertiary,,False,63.542,"LINESTRING (54.3406425 36.1642437, 54.3404634 36.1643247, 54.3401188 36.16462)",,
141529188,False,شهید دستجردی,residential,,False,52.567,"LINESTRING (54.3391304 36.1687579, 54.3397156 36.1687753)",,30
414626938,True,خیابان پاسداران,tertiary,,False,94.048,"LINESTRING (54.3391304 36.1687579, 54.3391731 36.1690189, 54.3392585 36.1694399, 54.3393103 36.1695901)",,
141528416,False,خیابان سمیه,residential,,False,38.837,"LINESTRING (54.3392438 36.1696203, 54.3388769 36.1698054)",,30
414626940,True,خیابان پاسداران,tertiary,,False,139.922,"LINESTRING (54.3392438 36.1696203, 54.3391915 36.1694503, 54.339107 36.1690269, 54.3390802 36.1688765, 54.3390306 36.1685917, 54.3390234 36.168377)",,
897373351,False,خیابان امامزاده علی,residential,,True,40.163,"LINESTRING (54.3398505 36.1702565, 54.3401964 36.1700274)",,30
141529141,False,,residential,,True,100.93,"LINESTRING (54.3398505 36.1702565, 54.3398223 36.1700258, 54.3397413 36.1693531)",,30
414626938,True,خیابان پاسداران,tertiary,,False,177.581,"LINESTRING (54.3398505 36.1702565, 54.3399538 36.1704124, 54.3399783 36.1704529, 54.3402832 36.1710276, 54.3403015 36.1710648, 54.3404002 36.1712445, 54.340504 36.171422, 54.3406291 36.1715577, 54.3407163 36.1716878)",,
129543369,True,میدان شاهچراغی,tertiary,roundabout,False,39.681,"LINESTRING (54.3407518 36.1716899, 54.3408215 36.1717054, 54.34089 36.1717331, 54.3409457 36.1717681, 54.3409964 36.1718154, 54.3410316 36.1718657, 54.3410549 36.171922)",,
141528431,True,طوس,tertiary,,False,96.86099999999999,"LINESTRING (54.3407518 36.1716899, 54.34092 36.1715643, 54.3410073 36.1714015, 54.3411652 36.170909)",,30
