osmid,oneway,highway,reversed,length,geometry,lanes,ref,name,maxspeed,tunnel,width,junction
23647101,True,primary_link,False,334.694,"LINESTRING (50.9931432 35.819753, 50.9930603 35.8198502, 50.9929472 35.8199303, 50.9928047 35.8200083, 50.9907758 35.8210264, 50.990681 35.8210893, 50.9906141 35.8211772, 50.9905757 35.8212585, 50.9905561 35.8213463, 50.9905309 35.8214591, 50.9905214 35.8215202, 50.9905028 35.8216602)",,,,,,,
"[537754075, 23962748, 168549373, 537754076]",True,primary,False,619.32,"LINESTRING (50.9931432 35.819753, 50.9905647 35.8210266, 50.9898268 35.8214029, 50.9889382 35.8218702, 50.9879167 35.8223832, 50.98776 35.8224619, 50.9873107 35.8226944)","['2', '3']",32,شهید بهشتى,"['60', '50']",yes,,
492575054,True,primary,False,159.32999999999998,"LINESTRING (50.9873107 35.8226944, 50.9859746 35.8233427, 50.9857943 35.8234302)",3,32,شهید بهشتى,50,,,
168549387,False,tertiary,False,217.201,"LINESTRING (50.9924823 35.826686, 50.9901445 35.8262141)",,,غزل,40,,,
168549468,False,tertiary,True,12.554,"LINESTRING (50.9924823 35.826686, 50.9926164 35.8267164)",,,,40,,,
384659818,True,secondary,False,177.569,"LINESTRING (50.9924823 35.826686, 50.9926797 35.8259733, 50.9928685 35.8253503, 50.9929302 35.825131)",,,بهارستان,50,,,
168549468,False,tertiary,False,12.554,"LINESTRING (50.9926164 35.8267164, 50.9924823 35.826686)",,,,40,,,
21796828,True,secondary,False,37.076,"LINESTRING (50.9930348 35.8252419, 50.9929408 35.8255665)",,,بهارستان,50,,,
490316482,True,primary,False,15.524,"LINESTRING (50.9930348 35.8252419, 50.9929302 35.825131)",,,بلوار طالقانی شمالی,60,,,
21796830,True,secondary,False,18.671,"LINESTRING (50.9929302 35.825131, 50.9929729 35.8249667)",,,بهار,50,,,
490316483,True,primary,False,68.469,"LINESTRING (50.9929302 35.825131, 50.9927354 35.8248962, 50.9925063 35.8246201)",,,بلوار طالقانی شمالی,60,,,
20630971,True,secondary,False,40.065,"LINESTRING (50.9937177 35.824182, 50.9934338 35.8244592)",,,بهار,50,,,
21796819,False,secondary,False,20.222,"LINESTRING (50.9937177 35.824182, 50.9938786 35.8240553)",4,,شرع پسند,50,,20,
21796819,False,secondary,False,46.644,"LINESTRING (50.9943304 35.823625, 50.9946368 35.823287)",4,,شرع پسند,50,,20,
