osmid,oneway,highway,reversed,length,geometry,name,junction,ref
384544526,True,secondary,False,138.728,"LINESTRING (47.1158038 37.947477, 47.1158043 37.9476176, 47.1158093 37.9487246)",,,
517578549,False,residential,False,261.992,"LINESTRING (47.1158038 37.947477, 47.1159625 37.947476, 47.1167618 37.9474718, 47.1168664 37.9474422, 47.1172929 37.9472476, 47.1181539 37.9471207, 47.1182907 37.9470445, 47.1183684 37.9469472, 47.1184356 37.9467682)",,,
384544526,True,secondary,False,87.66,"LINESTRING (47.1156334 37.9467005, 47.1157332 37.9470912, 47.1158038 37.947477)",,,
384544536,False,tertiary,True,207.918,"LINESTRING (47.1156334 37.9467005, 47.1160396 37.946521, 47.117736 37.9458366)",,,
508380692,True,secondary,False,10.299,"LINESTRING (47.11436 37.9449261, 47.1143119 37.9448416)",,,
370023279,True,tertiary,False,35.596000000000004,"LINESTRING (47.120737 37.9491914, 47.1206559 37.9491897, 47.1205802 37.9491666, 47.1205187 37.9491247, 47.1204787 37.949069, 47.1204648 37.9490059)",میدان امام خمینی,roundabout,
370023283,False,tertiary,False,174.046,"LINESTRING (47.120737 37.9491914, 47.120341 37.9494928, 47.1200822 37.9497221, 47.119876 37.9500519, 47.11972 37.9502176, 47.1195914 37.9503082, 47.1194499 37.9503326)",,,
370023279,True,tertiary,False,13.27,"LINESTRING (47.1208706 37.9491386, 47.1208142 37.9491714, 47.120737 37.9491914)",میدان امام خمینی,roundabout,
370023735,False,residential,True,78.214,"LINESTRING (47.1208706 37.9491386, 47.1211408 37.9490551, 47.1216467 37.9487981)",,,
384544537,False,residential,True,221.736,"LINESTRING (47.1208706 37.9491386, 47.1212923 37.9494639, 47.1214644 37.9496646, 47.1215906 37.9499832, 47.1218449 37.9505599, 47.1220118 37.9508759)",,,
370023279,True,tertiary,False,49.826,"LINESTRING (47.1204648 37.9490059, 47.1204786 37.9489429, 47.1205185 37.9488871, 47.1205799 37.9488452, 47.1206555 37.948822, 47.1207367 37.9488202, 47.1208139 37.94884, 47.1208781 37.9488792)",میدان امام خمینی,roundabout,
