osmid,highway,oneway,reversed,length,geometry,name,maxspeed,lanes,bridge,junction
660430744,living_street,False,True,22.715,"LINESTRING (51.2521407 36.695722, 51.2521669 36.6959252)",,,,,
660430742,living_street,True,False,335.86,"LINESTRING (51.2521407 36.695722, 51.2520629 36.695565, 51.2516163 36.6927723, 51.2516607 36.6927673)",,,,,
660430748,residential,False,True,78.5,"LINESTRING (51.2555122 36.6987737, 51.2563061 36.6984684)",,,,,
447182293,residential,False,False,93.421,"LINESTRING (51.2563061 36.6984684, 51.2566258 36.6992685)",خیابان شهید علی اکبر قاضی,30,,,
447182293,residential,False,True,60.157,"LINESTRING (51.2563061 36.6984684, 51.2561002 36.6979532)",خیابان شهید علی اکبر قاضی,30,,,
660430748,residential,False,False,78.5,"LINESTRING (51.2563061 36.6984684, 51.2555122 36.6987737)",,,,,
1082818827,residential,False,True,64.253,"LINESTRING (51.2469667 36.6924938, 51.2475223 36.6921258)",کوچه کاج,,,,
1082818827,residential,False,False,64.253,"LINESTRING (51.2475223 36.6921258, 51.2469667 36.6924938)",کوچه کاج,,,,
447182269,residential,False,True,342.276,"LINESTRING (51.2523477 36.6987014, 51.2559577 36.697654)",کوچه رز ۷,30,,,
120090753,tertiary,True,False,63.951,"LINESTRING (51.2523477 36.6987014, 51.2523451 36.6989285, 51.252341 36.6992765)",بهشتی,40,2,,
120090754,tertiary,True,False,366.09400000000005,"LINESTRING (51.2522218 36.6989183, 51.2522227 36.6987375, 51.2522539 36.6982593, 51.252337 36.697749, 51.2523941 36.6973451, 51.252398 36.6970054, 51.2523188 36.6965862, 51.2522197 36.6962469, 51.2520853 36.6959866, 51.2519571 36.695686)",بهشتی,40,2,,
"[598982661, 598982662, 598982663]",living_street,False,False,115.95499999999998,"LINESTRING (51.2522218 36.6989183, 51.2520897 36.6989156, 51.2519299 36.6989118, 51.2516094 36.6989138, 51.2513344 36.6989531, 51.2509268 36.6989777)",,,,yes,
"[598982661, 598982662, 598982663]",living_street,False,True,115.95500000000001,"LINESTRING (51.2509268 36.6989777, 51.2513344 36.6989531, 51.2516094 36.6989138, 51.2519299 36.6989118, 51.2520897 36.6989156, 51.2522218 36.6989183)",,,,yes,
598982669,living_street,True,False,55.821,"LINESTRING (51.2509268 36.6989777, 51.2509512 36.6990069, 51.2509616 36.6990409, 51.2509569 36.6990758, 51.2509376 36.6991073, 51.250906 36.6991316, 51.250866 36.6991458, 51.2508224 36.6991482, 51.2507803 36.6991385, 51.2507449 36.6991179, 51.2507205 36.6990888, 51.2507105 36.6990596, 51.2507116 36.6990294, 51.2507239 36.6990008, 51.2507461 36.6989764, 51.2507764 36.6989584)",,,,,roundabout
598982664,living_street,False,False,39.25,"LINESTRING (51.2508326 36.6989476, 51.2507937 36.698596)",,,,,
598982669,living_street,True,False,9.315,"LINESTRING (51.2508326 36.6989476, 51.2508496 36.6989471, 51.2508916 36.6989569, 51.2509268 36.6989777)",,,,,roundabout
598982664,living_street,False,False,3.047,"LINESTRING (51.2507937 36.698596, 51.2507907 36.6985687)",,,,,
598982664,living_street,False,True,39.25,"LINESTRING (51.2507937 36.698596, 51.2508326 36.6989476)",,,,,
598982668,living_street,False,False,58.589,"LINESTRING (51.2507937 36.698596, 51.2514493 36.6985597)",,,,,
598982664,living_street,False,False,80.821,"LINESTRING (51.2507907 36.6985687, 51.2507106 36.6978447)",,,,,
598982664,living_street,False,True,3.047,"LINESTRING (51.2507907 36.6985687, 51.2507937 36.698596)",,,,,
598982667,living_street,False,True,94.226,"LINESTRING (51.2507907 36.6985687, 51.2497377 36.6986412)",,,,,
447182287,residential,False,True,273.73,"LINESTRING (51.2525182 36.6973516, 51.2554024 36.6965078)",کوچه شهید روح الله کلاری,30,,,
120090753,tertiary,True,False,78.33099999999999,"LINESTRING (51.2525182 36.6973516, 51.2524489 36.6977614, 51.2524076 36.6980504)",بهشتی,40,2,,
120090753,tertiary,True,False,155.812,"LINESTRING (51.252341 36.6992765, 51.2523549 36.6996824, 51.2523852 36.7000214, 51.2524619 36.7004192, 51.2525267 36.7006666)",بهشتی,40,2,,
447182291,residential,False,True,378.211,"LINESTRING (51.252341 36.6992765, 51.2534266 36.6991766, 51.254024 36.6990935, 51.2543387 36.699028, 51.2548162 36.6987979, 51.2552085 36.698542, 51.2561002 36.6979532)",کوچه رز ۳,30,,,
597816770,tertiary_link,False,False,10.444,"LINESTRING (51.2524109 36.7006808, 51.2525267 36.7006666)",,30,2,,
120090754,tertiary,True,False,197.164,"LINESTRING (51.2524109 36.7006808, 51.2523711 36.7004796, 51.2522853 36.7000856, 51.2522386 36.6997136, 51.2522198 36.6993006, 51.2522218 36.6989183)",بهشتی,40,2,,
597816770,tertiary_link,False,True,10.444,"LINESTRING (51.2525267 36.7006666, 51.2524109 36.7006808)",,30,2,,
660657694,living_street,False,True,62.922,"LINESTRING (51.2500727 36.6990016, 51.2507764 36.6989584)",,,,,
1085309917,tertiary_link,False,False,10.229,"LINESTRING (51.2499344 36.69377, 51.2498591 36.6938394)",,,,,
120090753,tertiary,True,False,279.706,"LINESTRING (51.2499344 36.69377, 51.2505363 36.6942345, 51.250883 36.6945617, 51.2519571 36.695686)",بهشتی,40,2,,
1085309917,tertiary_link,False,True,10.229,"LINESTRING (51.2498591 36.6938394, 51.2499344 36.69377)",,,,,
120090754,tertiary,True,False,282.768,"LINESTRING (51.2498591 36.6938394, 51.2488763 36.693202, 51.2484515 36.6928929, 51.2478737 36.6924247, 51.2475223 36.6921258)",بهشتی,40,2,,
447182287,residential,False,False,273.73,"LINESTRING (51.2554024 36.6965078, 51.2525182 36.6973516)",کوچه شهید روح الله کلاری,30,,,
447182293,residential,False,False,71.15,"LINESTRING (51.2554024 36.6965078, 51.255695 36.6971031)",خیابان شهید علی اکبر قاضی,30,,,
447182282,residential,False,True,311.446,"LINESTRING (51.255695 36.6971031, 51.2524076 36.6980504)",شهید محمد رضا خلعتبری,30,,,
447182293,residential,False,False,65.582,"LINESTRING (51.255695 36.6971031, 51.2559577 36.697654)",خیابان شهید علی اکبر قاضی,30,,,
447182293,residential,False,True,71.15,"LINESTRING (51.255695 36.6971031, 51.2554024 36.6965078)",خیابان شهید علی اکبر قاضی,30,,,
447182269,residential,False,False,342.276,"LINESTRING (51.2559577 36.697654, 51.2523477 36.6987014)",کوچه رز ۷,30,,,
447182293,residential,False,False,35.613,"LINESTRING (51.2559577 36.697654, 51.2561002 36.6979532)",خیابان شهید علی اکبر قاضی,30,,,
447182293,residential,False,True,65.582,"LINESTRING (51.2559577 36.697654, 51.255695 36.6971031)",خیابان شهید علی اکبر قاضی,30,,,
447182293,residential,False,False,60.157,"LINESTRING (51.2561002 36.6979532, 51.2563061 36.6984684)",خیابان شهید علی اکبر قاضی,30,,,
447182293,residential,False,True,35.613,"LINESTRING (51.2561002 36.6979532, 51.2559577 36.697654)",خیابان شهید علی اکبر قاضی,30,,,
447182291,residential,False,False,378.21099999999996,"LINESTRING (51.2561002 36.6979532, 51.2552085 36.698542, 51.2548162 36.6987979, 51.2543387 36.699028, 51.254024 36.6990935, 51.2534266 36.6991766, 51.252341 36.6992765)",کوچه رز ۳,30,,,
447182282,residential,False,False,311.446,"LINESTRING (51.2524076 36.6980504, 51.255695 36.6971031)",شهید محمد رضا خلعتبری,30,,,
120090753,tertiary,True,False,72.631,"LINESTRING (51.2524076 36.6980504, 51.252376 36.6982484, 51.2523477 36.6987014)",بهشتی,40,2,,
598982664,living_street,False,True,80.821,"LINESTRING (51.2507106 36.6978447, 51.2507907 36.6985687)",,,,,
598982666,living_street,False,False,5.487,"LINESTRING (51.2507106 36.6978447, 51.2507717 36.6978388)",,,,,
660657693,living_street,False,False,54.725,"LINESTRING (51.2507106 36.6978447, 51.2501 36.697895)",,,,,
660657693,living_street,False,False,42.303,"LINESTRING (51.2501 36.697895, 51.249628 36.6979339)",,,,,
660657693,living_street,False,True,54.725,"LINESTRING (51.2501 36.697895, 51.2507106 36.6978447)",,,,,
598982665,living_street,False,False,91.314,"LINESTRING (51.2501 36.697895, 51.2500711 36.6975134, 51.2499369 36.6973373, 51.2496483 36.6973602)",,,,,
660657693,living_street,False,True,42.303,"LINESTRING (51.249628 36.6979339, 51.2501 36.697895)",,,,,
598982665,living_street,False,True,91.314,"LINESTRING (51.2496483 36.6973602, 51.2499369 36.6973373, 51.2500711 36.6975134, 51.2501 36.697895)",,,,,
