osmid,oneway,highway,reversed,length,name,geometry,junction,lanes
561843401,True,secondary_link,False,12.793,,"LINESTRING (56.3621869 28.4531765, 56.3622461 28.4530739)",,
"[1112648235, 317786220]",True,secondary,False,220.26500000000001,بلوار امام خمینی,"LINESTRING (56.3621869 28.4531765, 56.3600907 28.4532435, 56.3599424 28.4532845)",,
317786218,True,secondary,False,162.642,,"LINESTRING (56.3623092 28.4531792, 56.361141 28.4542206)",,
317786220,True,secondary,False,11.96,بلوار امام خمینی,"LINESTRING (56.3623092 28.4531792, 56.3621869 28.4531765)",,
878546447,False,tertiary,True,99.22,خیابان ابولفضل,"LINESTRING (56.3588669 28.4561677, 56.3596579 28.4567268)",,
878546576,False,secondary,True,12.041,,"LINESTRING (56.3588669 28.4561677, 56.3587786 28.4560922)",,
878546576,False,secondary,False,12.041,,"LINESTRING (56.3587786 28.4560922, 56.3588669 28.4561677)",,
317786217,True,secondary,False,464.90599999999995,,"LINESTRING (56.3587786 28.4560922, 56.3587925 28.4560805, 56.3600603 28.4549999, 56.3621869 28.4531765)",,
317786220,True,secondary,False,302.922,بلوار امام خمینی,"LINESTRING (56.3661838 28.4530836, 56.3630865 28.45316)",,
317786222,True,secondary,False,14.373999999999999,میدان شهرداری,"LINESTRING (56.3661838 28.4530836, 56.3661718 28.4530239, 56.3661854 28.4529563)",roundabout,
317786222,True,secondary,False,59.209,میدان شهرداری,"LINESTRING (56.3661854 28.4529563, 56.3662509 28.4527959, 56.3663463 28.4527091, 56.3664675 28.4526525, 56.3666027 28.4526316)",roundabout,
317786222,True,secondary,False,50.262,میدان شهرداری,"LINESTRING (56.3667386 28.4526485, 56.3668619 28.4527015, 56.3669684 28.4527951, 56.3670326 28.4529148, 56.3670398 28.4529811)",roundabout,
317786222,True,secondary,False,13.418,میدان شهرداری,"LINESTRING (56.3666027 28.4526316, 56.3667386 28.4526485)",roundabout,
317786229,False,tertiary,False,37.332,شمشیری,"LINESTRING (56.3666591 28.4533998, 56.3666733 28.4537353)",,
317786222,True,secondary,False,64.26,میدان شهرداری,"LINESTRING (56.3666591 28.4533998, 56.3665088 28.4533918, 56.3663705 28.4533396, 56.3662604 28.4532492, 56.3661958 28.4531428, 56.3661838 28.4530836)",roundabout,
317786222,True,secondary,False,11.872,میدان شهرداری,"LINESTRING (56.3670398 28.4529811, 56.367047 28.4530466, 56.3670355 28.4530863)",roundabout,
317786222,True,secondary,False,54.334999999999994,میدان شهرداری,"LINESTRING (56.3670355 28.4530863, 56.3670097 28.4531749, 56.3669253 28.4532845, 56.3668036 28.4533625, 56.3666591 28.4533998)",roundabout,
317786229,False,tertiary,True,97.568,شمشیری,"LINESTRING (56.3668887 28.4590453, 56.3668606 28.4581682)",,
318088587,False,tertiary,True,251.593,,"LINESTRING (56.3668887 28.4590453, 56.3669005 28.4613079)",,
"[317786229, 317786230]",False,tertiary,False,38.737,شمشیری,"LINESTRING (56.3668887 28.4590453, 56.3667157 28.4592191, 56.3666249 28.4593052)",,
561843389,False,unclassified,False,202.858,,"LINESTRING (56.3668887 28.4590453, 56.3667908 28.4589979, 56.3666764 28.4588842, 56.3665874 28.4587911, 56.366473 28.4586979, 56.3662886 28.4585992, 56.3660547 28.4584745, 56.3657359 28.4583614, 56.3654647 28.4582483, 56.3652914 28.4581795, 56.3651689 28.4580723)",,
317786229,False,tertiary,False,4.306,شمشیری,"LINESTRING (56.3667303 28.4550844, 56.3667319 28.4551231)",,
