osmid,oneway,highway,reversed,length,geometry,ref,name,junction,maxspeed
420438664,True,secondary,False,125.81500000000001,"LINESTRING (50.4475752 33.9044195, 50.447863 33.90433, 50.4480295 33.9042634, 50.4481587 33.9042008, 50.4482395 33.9041192, 50.4483256 33.9039226, 50.4484533 33.9036591)",,,,
432116906,True,secondary,False,74.033,"LINESTRING (50.4475752 33.9044195, 50.4476848 33.9044391, 50.4477521 33.9044615, 50.4478245 33.9045062, 50.4478582 33.9045481, 50.4478868 33.9046082, 50.4478936 33.9046627, 50.4478885 33.9047214, 50.4478438 33.9049271)",58,میدان سردار سلیمانی,roundabout,
554598810,True,secondary,False,73.34,"LINESTRING (50.4475752 33.9044195, 50.4479141 33.9043838, 50.4483621 33.9043277)",58,بلوار شهید بهشتی غربی,,
554598810,True,secondary,False,69.802,"LINESTRING (50.4483621 33.9043277, 50.4491048 33.904209)",58,بلوار شهید بهشتی غربی,,
197599364,True,primary,False,13.859,"LINESTRING (50.4570444 33.905196, 50.4571162 33.905178, 50.4571912 33.9051739)",58,میدان آزادی,roundabout,
420438663,False,primary_link,True,11.621,"LINESTRING (50.4521335 33.9038649, 50.4521199 33.903761)",,,,
197599358,True,secondary,False,71.243,"LINESTRING (50.4521335 33.9038649, 50.4518885 33.9039008, 50.4513727 33.9039734)",58,بلوار شهید بهشتی غربی,,
649603816,False,residential,False,160.077,"LINESTRING (50.4521335 33.9038649, 50.4518928 33.9042948, 50.4517829 33.9045113, 50.4516242 33.9048238, 50.4514411 33.9051846)",,گلشن,,
197599358,True,secondary,False,77.368,"LINESTRING (50.4484162 33.9044358, 50.4483539 33.9044752, 50.4482518 33.9045332, 50.4481265 33.9046016, 50.4480194 33.9046904, 50.4479352 33.9048036, 50.4478438 33.9049271)",58,بلوار شهید بهشتی غربی,,
197599361,True,secondary_link,False,85.57499999999999,"LINESTRING (50.4484162 33.9044358, 50.4482305 33.9044908, 50.4481331 33.9045229, 50.4480726 33.9045368, 50.4480206 33.9045299, 50.447997 33.9045076, 50.4479819 33.9044713, 50.4480054 33.9044393, 50.4480709 33.9044072, 50.4481784 33.9043752, 50.4483621 33.9043277)",,,,
432116906,True,secondary,False,8.349,"LINESTRING (50.4478438 33.9049271, 50.4477979 33.9049918)",58,میدان سردار سلیمانی,roundabout,
254834165,True,secondary,False,37.242000000000004,"LINESTRING (50.4477979 33.9049918, 50.4477234 33.9052013, 50.4476639 33.9053068)",,,,
197599364,True,primary,False,15.009,"LINESTRING (50.4572914 33.9057063, 50.4572123 33.905722, 50.457131 33.9057212)",58,میدان آزادی,roundabout,
197599364,True,primary,False,36.435,"LINESTRING (50.457131 33.9057212, 50.4570524 33.905704, 50.4569811 33.9056715, 50.4569242 33.905628, 50.4568809 33.9055747, 50.4568537 33.9055146)",58,میدان آزادی,roundabout,
"[348824363, 254833677]",True,secondary,False,66.462,"LINESTRING (50.457131 33.9057212, 50.4570213 33.9057513, 50.4569225 33.9058021, 50.4568349 33.9058793, 50.4567502 33.905978, 50.4566354 33.9061285)",,امام خمینی,,
197599358,True,secondary,False,198.507,"LINESTRING (50.4568537 33.9055146, 50.4567778 33.9053663, 50.456734 33.9052989, 50.4566604 33.9052417, 50.4565479 33.9051726, 50.4559829 33.9048609, 50.4554643 33.9045826, 50.4551842 33.9044413)",58,بلوار شهید بهشتی غربی,,
197599364,True,primary,False,42.878,"LINESTRING (50.4568537 33.9055146, 50.4568443 33.9054379, 50.4568609 33.905362, 50.4569022 33.9052929, 50.456965 33.9052361, 50.4570444 33.905196)",58,میدان آزادی,roundabout,
197599364,True,primary,False,41.883,"LINESTRING (50.4575026 33.9054047, 50.4575049 33.9054786, 50.4574825 33.905552, 50.457437 33.9056176, 50.4573716 33.9056703, 50.4572914 33.9057063)",58,میدان آزادی,roundabout,
197599365,True,secondary,False,47.043,"LINESTRING (50.4575026 33.9054047, 50.4575695 33.905528, 50.4576008 33.9055759, 50.4576632 33.9056342, 50.4578145 33.9057257)",58,بلوار شهید بهشتی شرقی,,60
649666505,False,residential,False,47.572,"LINESTRING (50.4577052 33.9057939, 50.4576836 33.9058738, 50.45767 33.9059659, 50.4576389 33.9061277, 50.4576377 33.906217)",,محمدرضا (بابک) رضایی,,
706286558,True,secondary,False,40.63,"LINESTRING (50.4577052 33.9057939, 50.4576024 33.9057454, 50.4575215 33.9057109, 50.4574477 33.9057016, 50.4573579 33.9057043, 50.4572914 33.9057063)",58,بلوار شهید بهشتی شرقی,,60
254833640,False,secondary,False,12.426,"LINESTRING (50.4575122 33.9049838, 50.4575835 33.904889)",,امام خمینی,,
639457845,True,secondary,False,33.025999999999996,"LINESTRING (50.4575122 33.9049838, 50.4574676 33.9050847, 50.4574537 33.9051563, 50.457429 33.9052715)",,,,
254833677,True,secondary,False,38.528,"LINESTRING (50.4545415 33.9089007, 50.454306 33.9091868)",,امام خمینی,,
