osmid,highway,oneway,reversed,length,name,geometry,ref,junction
517542496,residential,False,False,6.448,,"LINESTRING (49.6932154 37.177762, 49.693147 37.1777818)",,
769243165,residential,False,False,7.087,,"LINESTRING (49.6932154 37.177762, 49.6932825 37.1777273)",,
937834535,primary,True,False,123.31800000000001,امام خمینی,"LINESTRING (49.6932154 37.177762, 49.693155 37.1776963, 49.6930976 37.1776349, 49.6929541 37.1774778, 49.692926 37.1774388, 49.692824 37.1772972, 49.6925495 37.1767942)",,
287141529,residential,False,False,55.721,طلوع,"LINESTRING (49.6926024 37.1767538, 49.6931117 37.1764598)",,
937834536,primary,True,False,74.407,امام خمینی,"LINESTRING (49.6926024 37.1767538, 49.6927493 37.1770215, 49.6929029 37.1772924, 49.6929528 37.1773615)",315,
769243169,primary,True,False,19.661,میدان ساعت,"LINESTRING (49.6943143 37.1795537, 49.6943557 37.1795831, 49.6943668 37.1796264, 49.6943432 37.1796664, 49.6942942 37.1796872)",,roundabout
519231647,residential,False,False,39.274,سپیده,"LINESTRING (49.6944682 37.1803232, 49.6945627 37.1802956, 49.6946264 37.1802702, 49.6946582 37.1802279, 49.6947007 37.1801941, 49.6947998 37.1801659, 49.6948423 37.1801561)",,
769243168,primary,True,False,114.13300000000001,آزادگان,"LINESTRING (49.6944682 37.1803232, 49.6945347 37.180436, 49.6946075 37.1805593, 49.6947764 37.1809222, 49.6949338 37.1812793)",,
239575586,secondary,True,False,138.134,بلوار پانزده خرداد,"LINESTRING (49.6934964 37.1807101, 49.6933194 37.18095, 49.693251 37.1812386, 49.6932259 37.1816206, 49.6932464 37.1819079)",,
756223940,residential,False,True,114.166,بازارچه مظفری,"LINESTRING (49.6934964 37.1807101, 49.693906 37.180935, 49.6945511 37.18057)",,
239575578,residential,False,True,74.123,ملت,"LINESTRING (49.6932561 37.182043, 49.6940719 37.181895)",,
239575581,secondary_link,False,True,5.715,,"LINESTRING (49.6932561 37.182043, 49.6931916 37.182042)",,
239575586,secondary,True,False,66.797,بلوار پانزده خرداد,"LINESTRING (49.6932561 37.182043, 49.6932944 37.1822987, 49.69328 37.1825237, 49.6932579 37.1826403)",,
239575581,secondary_link,False,False,5.715,,"LINESTRING (49.6931916 37.182042, 49.6932561 37.182043)",,
239575585,secondary,True,False,208.58800000000002,بلوار پانزده خرداد,"LINESTRING (49.6931916 37.182042, 49.6931581 37.1816208, 49.6931837 37.1812321, 49.6932544 37.1809339, 49.6934375 37.1806829, 49.6936223 37.1804623, 49.6937384 37.1802787)",,
267296342,tertiary,False,False,56.074,شریعتی,"LINESTRING (49.6999683 37.1761688, 49.7004025 37.1758019)",,
267296342,tertiary,False,True,74.935,شریعتی,"LINESTRING (49.6999683 37.1761688, 49.6993682 37.1766437)",,
267296342,tertiary,False,False,74.935,شریعتی,"LINESTRING (49.6993682 37.1766437, 49.6999683 37.1761688)",,
267296342,tertiary,False,True,67.802,شریعتی,"LINESTRING (49.6993682 37.1766437, 49.6988266 37.1770745)",,
519231661,residential,False,False,56.281000000000006,حقیقت,"LINESTRING (49.6993682 37.1766437, 49.6998021 37.1768476, 49.6999208 37.1768927)",,
267296342,tertiary,False,False,83.819,شریعتی,"LINESTRING (49.6981571 37.1776071, 49.6988266 37.1770745)",,
267296342,tertiary,False,True,110.555,شریعتی,"LINESTRING (49.6981571 37.1776071, 49.6972882 37.1783207)",,
519231653,residential,False,False,86.487,بشر دوست,"LINESTRING (49.6981571 37.1776071, 49.6980237 37.1774626, 49.6978758 37.177276, 49.6977279 37.177114, 49.69758 37.1769814)",,
267296342,tertiary,False,False,110.555,شریعتی,"LINESTRING (49.6972882 37.1783207, 49.6981571 37.1776071)",,
813343733,residential,False,False,9.991,پورقلی,"LINESTRING (49.6972882 37.1783207, 49.6973993 37.1783053)",,
267296342,tertiary,False,True,48.303,شریعتی,"LINESTRING (49.6972882 37.1783207, 49.6970737 37.1784411, 49.6969101 37.178486, 49.6968031 37.1785056)",,
"[312390169, 756229773]",residential,False,"[False, True]",125.565,کوچه صداقت,"LINESTRING (49.6972882 37.1783207, 49.696733 37.1778054, 49.6971139 37.177473)",,
267296342,tertiary,False,True,13.816,شریعتی,"LINESTRING (49.6964287 37.1785546, 49.6962729 37.1785599)",,
267296342,tertiary,False,False,33.641,شریعتی,"LINESTRING (49.6964287 37.1785546, 49.6967009 37.1785244, 49.6968031 37.1785056)",,
756230239,residential,False,False,95.682,شهید علیرضا میرزاجانی,"LINESTRING (49.6964287 37.1785546, 49.6965627 37.1791784, 49.6965587 37.179406)",,
517535487,primary,True,False,19.576,امام خمینی,"LINESTRING (49.6940193 37.1786499, 49.6941061 37.1788118)",315,
991423083,tertiary,False,True,6.035,,"LINESTRING (49.6940193 37.1786499, 49.6939576 37.1786729)",,
991423084,tertiary,True,False,33.666,شریعتی,"LINESTRING (49.6940193 37.1786499, 49.694211 37.1786345, 49.6943982 37.1786398)",,
813343731,tertiary,True,False,6.746,میدان قدس,"LINESTRING (49.7001737 37.1783128, 49.7001471 37.1783345, 49.7001138 37.1783492)",,roundabout
519240946,residential,False,False,48.688,,"LINESTRING (49.6909904 37.177552, 49.6907638 37.1771531)",,
937834537,tertiary,False,False,114.23900000000002,شهید انصاری,"LINESTRING (49.6909904 37.177552, 49.6902958 37.1777829, 49.6898103 37.1778341, 49.6897635 37.1778381)",,
937834537,tertiary,False,True,111.352,شهید انصاری,"LINESTRING (49.6909904 37.177552, 49.6913284 37.1774602, 49.6915886 37.17727, 49.6918032 37.1770733, 49.6920106 37.177016)",,
937834537,tertiary,False,True,15.87,شهید انصاری,"LINESTRING (49.6892619 37.1778812, 49.68944 37.1778659)",,
239575578,residential,False,False,74.123,ملت,"LINESTRING (49.6940719 37.181895, 49.6932561 37.182043)",,
239575578,residential,False,True,92.52300000000001,ملت,"LINESTRING (49.6940719 37.181895, 49.6949901 37.1817404, 49.6950937 37.1817229)",,
490272763,residential,False,False,47.767,سید رضوی,"LINESTRING (49.6940719 37.181895, 49.6941476 37.1821956, 49.6941779 37.1823162)",,
"[490272764, 490272765]",residential,False,"[False, True]",80.20400000000001,عرفان,"LINESTRING (49.6933835 37.1841226, 49.6934174 37.184017, 49.6934544 37.1839164, 49.693479 37.1838575, 49.6929725 37.183669)",,
756223920,residential,False,False,60.742999999999995,,"LINESTRING (49.6933835 37.1841226, 49.6935332 37.1841532, 49.6936968 37.1841597, 49.6940589 37.1841105)",,
"[490272764, 490272765]",residential,False,"[False, True]",80.20400000000001,عرفان,"LINESTRING (49.6929725 37.183669, 49.693479 37.1838575, 49.6934544 37.1839164, 49.6934174 37.184017, 49.6933835 37.1841226)",,
813343731,tertiary,True,False,14.38,میدان قدس,"LINESTRING (49.7001737 37.1781912, 49.700192 37.1782201, 49.7001983 37.178252, 49.700192 37.1782839, 49.7001737 37.1783128)",,roundabout
501035497,tertiary,True,False,50.010999999999996,سردار سلیمانی,"LINESTRING (49.6990049 37.1807854, 49.6990103 37.1805354, 49.6990344 37.1803366)",,
830187798,residential,False,True,146.846,هنرمند,"LINESTRING (49.6990049 37.1807854, 49.6988875 37.1807864, 49.6986645 37.1808231, 49.6984061 37.1808541, 49.6981938 37.1808964, 49.6980168 37.1809246, 49.697893 37.180933, 49.6978434 37.1809048, 49.6977903 37.1808231, 49.6977408 37.1806736, 49.6976806 37.180558)",,
937834535,primary,True,False,102.359,امام خمینی,"LINESTRING (49.6925495 37.1767942, 49.6925198 37.1767334, 49.6922541 37.1761883, 49.6921404 37.1759334)",,
937834537,tertiary,False,False,54.865,شهید انصاری,"LINESTRING (49.6925495 37.1767942, 49.6923996 37.1769086, 49.6920106 37.177016)",,
