osmid,oneway,ref,name,highway,junction,reversed,length,geometry
163684403,True,35,میدان شهید سلیمانی,trunk,roundabout,False,51.056999999999995,"LINESTRING (47.7822623 35.2433721, 47.7823572 35.2433228, 47.7824663 35.2433006, 47.7825784 35.2433079, 47.7826819 35.2433438, 47.782766 35.2434047)"
163684403,True,35,میدان شهید سلیمانی,trunk,roundabout,False,63.077,"LINESTRING (47.782766 35.2434047, 47.7828233 35.2434869, 47.7828445 35.2435798, 47.7828275 35.2436734, 47.7827739 35.2437572, 47.7826898 35.2438221, 47.7825844 35.2438611)"
163684403,True,35,میدان شهید سلیمانی,trunk,roundabout,False,20.869,"LINESTRING (47.7825844 35.2438611, 47.78247 35.2438698, 47.7823583 35.2438478)"
163684403,True,35,میدان شهید سلیمانی,trunk,roundabout,False,10.656,"LINESTRING (47.7823583 35.2438478, 47.7822595 35.2437961)"
163684422,False,,,residential,,True,66.531,"LINESTRING (47.7811411 35.2438293, 47.7811058 35.243898, 47.7808261 35.2443694)"
163684478,False,35,غدیر,primary,,False,378.01000000000005,"LINESTRING (47.7811411 35.2438293, 47.778798 35.2441574, 47.7775617 35.2444167, 47.777079 35.2445481)"
163684478,False,35,غدیر,primary,,True,103.14699999999999,"LINESTRING (47.7811411 35.2438293, 47.7819951 35.2437365, 47.7822595 35.2437961)"
163684423,True,,,secondary,,False,18.743,"LINESTRING (47.7823814 35.2440153, 47.7823583 35.2438478)"
879985174,False,,,residential,,False,147.94299999999998,"LINESTRING (47.7823814 35.2440153, 47.7823198 35.2440178, 47.7822179 35.2440156, 47.7817726 35.244169, 47.7811235 35.2442697, 47.7808261 35.2443694)"
163684423,True,,,secondary,,False,52.538,"LINESTRING (47.7824177 35.2449851, 47.7824065 35.2445127)"
163684449,False,,,residential,,True,124.56,"LINESTRING (47.7824177 35.2449851, 47.7817748 35.2451305, 47.7814351 35.245223, 47.7811679 35.2454031)"
163684422,False,,,residential,,False,23.603,"LINESTRING (47.7804734 35.2449636, 47.7805868 35.2447726)"
163684422,False,,,residential,,True,99.92,"LINESTRING (47.7804734 35.2449636, 47.7799837 35.2457683)"
635436816,False,,شهید حیدری,residential,,True,76.582,"LINESTRING (47.7804734 35.2449636, 47.7798273 35.244521)"
635436816,False,,شهید حیدری,residential,,False,80.175,"LINESTRING (47.7804734 35.2449636, 47.7810631 35.2453022, 47.7811679 35.2454031)"
163684423,True,,,secondary,,False,72.943,"LINESTRING (47.7826407 35.2456153, 47.7824177 35.2449851)"
163684463,False,,,residential,,True,104.024,"LINESTRING (47.7826407 35.2456153, 47.7825188 35.2456126, 47.782074 35.2455994, 47.7818071 35.2456324, 47.7815489 35.2457703)"
635434700,False,35,غدیر,primary,,True,16.391,"LINESTRING (47.7753614 35.2451153, 47.7752037 35.245187)"
163684488,True,,بلوار اشرفی اصفهانی,secondary,,False,172.071,"LINESTRING (47.7753614 35.2451153, 47.7754993 35.2453286, 47.776406 35.2464047)"
"[635434700, 163684478]",False,35,غدیر,primary,,"[False, True]",168.502,"LINESTRING (47.7753614 35.2451153, 47.7755845 35.2450118, 47.7766263 35.2446786, 47.777079 35.2445481)"
163684419,False,,,residential,,False,26.525,"LINESTRING (47.7791546 35.2452031, 47.7793788 35.245356)"
163684419,False,,,residential,,True,134.65,"LINESTRING (47.7791546 35.2452031, 47.7790172 35.2452031, 47.7788069 35.2452494, 47.7783945 35.2456126, 47.7780497 35.2459316)"
"[635436816, 1224007572]",False,,شهید حیدری,residential,,False,141.708,"LINESTRING (47.7791546 35.2452031, 47.7788584 35.2449797, 47.7794015 35.2445983, 47.7796243 35.2445308, 47.7798273 35.244521)"
163684419,False,,,residential,,False,48.703,"LINESTRING (47.7793788 35.245356, 47.7797905 35.2456367)"
163684419,False,,,residential,,True,26.525,"LINESTRING (47.7793788 35.245356, 47.7791546 35.2452031)"
163684436,False,,,residential,,False,126.503,"LINESTRING (47.7793788 35.245356, 47.7787569 35.246374)"
635436816,False,,شهید حیدری,residential,,False,53.519,"LINESTRING (47.7811679 35.2454031, 47.7815489 35.2457703)"
163684449,False,,,residential,,False,124.56,"LINESTRING (47.7811679 35.2454031, 47.7814351 35.245223, 47.7817748 35.2451305, 47.7824177 35.2449851)"
635436816,False,,شهید حیدری,residential,,True,80.175,"LINESTRING (47.7811679 35.2454031, 47.7810631 35.2453022, 47.7804734 35.2449636)"
163684419,False,,,residential,,False,22.846,"LINESTRING (47.7797905 35.2456367, 47.7799837 35.2457683)"
163684419,False,,,residential,,True,48.703,"LINESTRING (47.7797905 35.2456367, 47.7793788 35.245356)"
163684428,False,,,residential,,False,207.874,"LINESTRING (47.7797905 35.2456367, 47.7786775 35.2472703)"
163684419,False,,,residential,,True,22.846,"LINESTRING (47.7799837 35.2457683, 47.7797905 35.2456367)"
163684422,False,,,residential,,False,99.92,"LINESTRING (47.7799837 35.2457683, 47.7804734 35.2449636)"
163684419,False,,,residential,,False,69.066,"LINESTRING (47.7799837 35.2457683, 47.7800846 35.2458372, 47.7805752 35.2461587)"
635436816,False,,شهید حیدری,residential,,False,32.859,"LINESTRING (47.7815489 35.2457703, 47.7817829 35.2459957)"
635436816,False,,شهید حیدری,residential,,True,53.519,"LINESTRING (47.7815489 35.2457703, 47.7811679 35.2454031)"
163684463,False,,,residential,,False,104.024,"LINESTRING (47.7815489 35.2457703, 47.7818071 35.2456324, 47.782074 35.2455994, 47.7825188 35.2456126, 47.7826407 35.2456153)"
163684423,True,,,secondary,,False,26.33,"LINESTRING (47.7827614 35.2458306, 47.7826407 35.2456153)"
635436816,False,,شهید حیدری,residential,,True,32.859,"LINESTRING (47.7817829 35.2459957, 47.7815489 35.2457703)"
635436816,False,,شهید حیدری,residential,,False,100.095,"LINESTRING (47.7817829 35.2459957, 47.7820578 35.2463391, 47.7820012 35.2466693, 47.7820491 35.2468208)"
635436817,False,,,residential,,False,98.272,"LINESTRING (47.7817829 35.2459957, 47.7812905 35.2460498, 47.7808306 35.2463455)"
163684423,True,,,secondary,,False,37.21,"LINESTRING (47.782958 35.2461242, 47.7827614 35.2458306)"
163684459,True,,,tertiary,,False,49.842,"LINESTRING (47.782958 35.2461242, 47.7828342 35.246174, 47.7825026 35.2463721)"
163684430,False,,معظمی,residential,,False,202.003,"LINESTRING (47.7805752 35.2461587, 47.7794023 35.2477023)"
163684419,False,,,residential,,False,31.173000000000002,"LINESTRING (47.7805752 35.2461587, 47.7806992 35.24624, 47.7808306 35.2463455)"
163684419,False,,,residential,,True,69.066,"LINESTRING (47.7805752 35.2461587, 47.7800846 35.2458372, 47.7799837 35.2457683)"
163684481,False,,چمران,tertiary,,True,64.694,"LINESTRING (47.7825026 35.2463721, 47.7820491 35.2468208)"
163684455,True,,,tertiary,,False,66.049,"LINESTRING (47.7825026 35.2463721, 47.7827129 35.2460947, 47.7827452 35.2459825, 47.7827614 35.2458306)"
163684442,False,,,residential,,True,279.58299999999997,"LINESTRING (47.7765002 35.2465165, 47.7771167 35.2460617, 47.7777339 35.2453349, 47.777079 35.2445481)"
163684488,True,,بلوار اشرفی اصفهانی,secondary,,False,64.37,"LINESTRING (47.7765002 35.2465165, 47.7766232 35.2466624, 47.776902 35.2469934)"
163684444,False,,,residential,,False,102.985,"LINESTRING (47.7778446 35.2465306, 47.7772946 35.247059, 47.7771013 35.2472299)"
163684481,False,,چمران,tertiary,,False,64.694,"LINESTRING (47.7820491 35.2468208, 47.7825026 35.2463721)"
163684481,False,,چمران,tertiary,,True,42.484,"LINESTRING (47.7820491 35.2468208, 47.7817512 35.2471154)"
1224007573,False,,,residential,,False,27.986,"LINESTRING (47.7820491 35.2468208, 47.7821872 35.2470458)"
635436816,False,,شهید حیدری,residential,,True,100.095,"LINESTRING (47.7820491 35.2468208, 47.7820012 35.2466693, 47.7820578 35.2463391, 47.7817829 35.2459957)"
163684419,False,,,residential,,False,157.487,"LINESTRING (47.776902 35.2469934, 47.7780497 35.2459316)"
163684488,True,,بلوار اشرفی اصفهانی,secondary,,False,31.924,"LINESTRING (47.776902 35.2469934, 47.7771013 35.2472299)"
1224007573,False,,,residential,,True,27.986,"LINESTRING (47.7821872 35.2470458, 47.7820491 35.2468208)"
163684472,False,,,residential,,True,154.10300000000004,"LINESTRING (47.7821872 35.2470458, 47.7820012 35.2473826, 47.7819689 35.2475411, 47.7821306 35.2480893, 47.7820821 35.2482345, 47.781977 35.2483468)"
1224007573,False,,,residential,,False,270.772,"LINESTRING (47.7821872 35.2470458, 47.7828423 35.2476864, 47.7830283 35.2479704, 47.7832466 35.2484195, 47.783797 35.2490755)"
163684481,False,,چمران,tertiary,,False,42.484,"LINESTRING (47.7817512 35.2471154, 47.7820491 35.2468208)"
163684419,False,,,residential,,True,119.672,"LINESTRING (47.7817512 35.2471154, 47.7811764 35.2466231, 47.7808306 35.2463455)"
163684481,False,,چمران,tertiary,,True,99.273,"LINESTRING (47.7817512 35.2471154, 47.7813543 35.2475081, 47.781047 35.2477982)"
163684488,True,,بلوار اشرفی اصفهانی,secondary,,False,17.507,"LINESTRING (47.7771013 35.2472299, 47.7772106 35.2473596)"
163684444,False,,,residential,,True,102.985,"LINESTRING (47.7771013 35.2472299, 47.7772946 35.247059, 47.7778446 35.2465306)"
163684428,False,,,residential,,True,207.874,"LINESTRING (47.7786775 35.2472703, 47.7797905 35.2456367)"
163684437,False,,,residential,,False,81.484,"LINESTRING (47.7786775 35.2472703, 47.7794023 35.2477023)"
163684437,False,,,residential,,True,59.967,"LINESTRING (47.7786775 35.2472703, 47.778211 35.247652)"
163684488,True,,بلوار اشرفی اصفهانی,secondary,,False,278.867,"LINESTRING (47.7772106 35.2473596, 47.7789538 35.2494243)"
163684424,False,,,residential,,True,86.945,"LINESTRING (47.7772106 35.2473596, 47.7774159 35.2473298, 47.77761 35.2473496, 47.7781033 35.2475543)"
163684424,False,,,residential,,True,14.618,"LINESTRING (47.7781033 35.2475543, 47.778211 35.247652)"
163684424,False,,,residential,,False,86.94500000000001,"LINESTRING (47.7781033 35.2475543, 47.77761 35.2473496, 47.7774159 35.2473298, 47.7772106 35.2473596)"
163684436,False,,,residential,,True,144.058,"LINESTRING (47.7781033 35.2475543, 47.7786532 35.2465438, 47.7787569 35.246374)"
163684435,False,,جابر جنوبی,residential,,False,35.497,"LINESTRING (47.7734129 35.2476996, 47.7735747 35.2479902)"
787691391,False,,,residential,,False,198.187,"LINESTRING (47.7734129 35.2476996, 47.7736348 35.2475117, 47.7737978 35.2472752, 47.7741661 35.2469427, 47.7749514 35.2464619)"
163684466,False,,,residential,,False,57.279,"LINESTRING (47.774998 35.2476996, 47.7754949 35.2473823)"
635434699,False,,,residential,,False,62.903,"LINESTRING (47.774998 35.2476996, 47.7745094 35.2472986)"
635434699,False,,,residential,,True,74.066,"LINESTRING (47.774998 35.2476996, 47.7753352 35.2483061)"
163684466,False,,,residential,,True,141.51,"LINESTRING (47.774998 35.2476996, 47.7740275 35.2482213, 47.7736394 35.2482874)"
163684430,False,,معظمی,residential,,True,202.003,"LINESTRING (47.7794023 35.2477023, 47.7805752 35.2461587)"
163684437,False,,,residential,,False,120.338,"LINESTRING (47.7794023 35.2477023, 47.7804728 35.2483402)"
163684437,False,,,residential,,True,81.484,"LINESTRING (47.7794023 35.2477023, 47.7786775 35.2472703)"
163684435,False,,جابر جنوبی,residential,,False,33.565,"LINESTRING (47.7735747 35.2479902, 47.7736394 35.2482874)"
163684435,False,,جابر جنوبی,residential,,True,35.497,"LINESTRING (47.7735747 35.2479902, 47.7734129 35.2476996)"
635434702,False,,,residential,,False,114.536,"LINESTRING (47.7735747 35.2479902, 47.7745094 35.2472986)"
163684435,False,,جابر جنوبی,residential,,False,55.713,"LINESTRING (47.7736394 35.2482874, 47.7737336 35.2487825)"
163684435,False,,جابر جنوبی,residential,,True,33.565,"LINESTRING (47.7736394 35.2482874, 47.7735747 35.2479902)"
163684466,False,,,residential,,False,141.51,"LINESTRING (47.7736394 35.2482874, 47.7740275 35.2482213, 47.774998 35.2476996)"
163684437,False,,,residential,,True,120.338,"LINESTRING (47.7804728 35.2483402, 47.7794023 35.2477023)"
163684481,False,,چمران,tertiary,,False,79.693,"LINESTRING (47.7804728 35.2483402, 47.781047 35.2477982)"
163684481,False,,چمران,tertiary,,True,79.445,"LINESTRING (47.7804728 35.2483402, 47.7799113 35.2488881)"
163684453,False,,,residential,,False,147.74,"LINESTRING (47.781977 35.2483468, 47.7822277 35.2486902, 47.7829413 35.2494135)"
163684453,False,,,residential,,True,104.228,"LINESTRING (47.781977 35.2483468, 47.7812254 35.2479176, 47.781047 35.2477982)"
163684472,False,,,residential,,False,154.103,"LINESTRING (47.781977 35.2483468, 47.7820821 35.2482345, 47.7821306 35.2480893, 47.7819689 35.2475411, 47.7820012 35.2473826, 47.7821872 35.2470458)"
163684446,False,,شهید حاجیان,residential,,False,63.67,"LINESTRING (47.7747877 35.2486638, 47.7753352 35.2483061)"
635434692,False,,,residential,,True,64.216,"LINESTRING (47.7747877 35.2486638, 47.7752374 35.2491095)"
163684446,False,,شهید حاجیان,residential,,True,92.85499999999999,"LINESTRING (47.7747877 35.2486638, 47.7743847 35.2489058, 47.774068 35.249245)"
