osmid,name,highway,oneway,reversed,length,geometry,junction,maxspeed,bridge
122807873,میرزا کوچک خان جنگلی,secondary,False,False,52.688,"LINESTRING (54.1133744 36.7917587, 54.1134595 36.7915869, 54.1135889 36.7913171)",,,
1181079550,میرزا کوچک خان جنگلی,secondary,True,False,34.53,"LINESTRING (54.1133744 36.7917587, 54.1133898 36.7918453, 54.1133013 36.7920568)",,,
292550292,نواب صفوی,secondary,False,False,73.16,"LINESTRING (54.1112908 36.7955702, 54.1105445 36.795295)",,,
122807846,میدان معلم,secondary,True,False,14.795000000000002,"LINESTRING (54.1112908 36.7955702, 54.1113198 36.7955324, 54.1113601 36.7955019, 54.1114088 36.7954809)",roundabout,,
122807846,میدان معلم,secondary,True,False,16.163,"LINESTRING (54.1112926 36.7957116, 54.1112749 36.7956653, 54.1112743 36.7956168, 54.1112908 36.7955702)",roundabout,,
122807872,گرگان,secondary,True,False,93.736,"LINESTRING (54.1133013 36.7920568, 54.1142898 36.7923466)",,,
1181079548,,secondary_link,True,False,10.649,"LINESTRING (54.1133013 36.7920568, 54.1132968 36.7920652, 54.1132544 36.7921449)",,,
122807870,شهید بهشتی,secondary,False,False,58.31,"LINESTRING (54.1128234 36.7919825, 54.1122236 36.7917721)",,,
1181079552,شهید بهشتی,secondary,True,False,32.184,"LINESTRING (54.1128234 36.7919825, 54.1129164 36.7919677, 54.1131726 36.7920268)",,,
1181079549,,secondary_link,True,False,10.668,"LINESTRING (54.1131246 36.7921147, 54.1131726 36.7920268)",,,
1181079553,شهید بهشتی,secondary,True,False,31.310000000000002,"LINESTRING (54.1131246 36.7921147, 54.1128829 36.7920386, 54.1128234 36.7919825)",,,
122807882,بلوار ولیعصر,secondary,True,False,160.522,"LINESTRING (54.1132544 36.7921449, 54.1126119 36.7934937)",,,
1181079547,,secondary_link,True,False,12.036,"LINESTRING (54.1132544 36.7921449, 54.1131246 36.7921147)",,,
122807892,گرگان,secondary,False,False,18.066,"LINESTRING (54.1169961 36.7925379, 54.1171664 36.7924496)",,,
122807892,گرگان,secondary,False,True,99.588,"LINESTRING (54.1169961 36.7925379, 54.1167353 36.7926381, 54.1164141 36.7927215, 54.1161665 36.7927579, 54.1159268 36.7927608)",,,
632169433,گل ۹,unclassified,False,True,62.246,"LINESTRING (54.1169961 36.7925379, 54.1170989 36.792732, 54.117115 36.7929125, 54.1170989 36.79308)",,,
122807892,گرگان,secondary,False,False,33.527,"LINESTRING (54.1154233 36.7927169, 54.1157955 36.7927624)",,,
122807879,گرگان,secondary,True,False,110.102,"LINESTRING (54.1154233 36.7927169, 54.1151873 36.7926982, 54.1142499 36.7924209)",,,
