osmid,highway,oneway,reversed,length,name,ref,geometry,junction,bridge
179052271,primary_link,False,False,12.383,,,"LINESTRING (47.7163985 33.148984, 47.7163248 33.1488913)",,
544722520,residential,False,True,63.726,چمران,,"LINESTRING (47.7163985 33.148984, 47.7168916 33.1493815)",,
359790181,primary,True,False,90.85300000000001,بلوار امام علی ( ع),37,"LINESTRING (47.7163985 33.148984, 47.716144 33.1491945, 47.7157237 33.149574)",,
359790181,primary,True,False,35.717,بلوار امام علی ( ع),37,"LINESTRING (47.7144587 33.1517735, 47.7143219 33.1520736)",,
544722515,residential,False,True,118.21100000000001,هاشمی نژاد,,"LINESTRING (47.7144587 33.1517735, 47.7152908 33.1520676, 47.7156416 33.1521567)",,
179052316,tertiary,False,True,51.113,هفت تیر,,"LINESTRING (47.7139384 33.1532342, 47.7133914 33.1531945)",,
179052261,primary,True,False,165.31900000000002,بلوار امام علی ( ع),37,"LINESTRING (47.7139384 33.1532342, 47.7139504 33.1530187, 47.7139796 33.1527766, 47.7140557 33.152403, 47.7141477 33.1521429, 47.7143034 33.1517887)",,
179052261,primary,True,False,99.36,بلوار امام علی ( ع),37,"LINESTRING (47.7143034 33.1517887, 47.7147434 33.1509746)",,
485883699,residential,False,False,49.074,حافظ,,"LINESTRING (47.7143034 33.1517887, 47.7137914 33.1516837)",,
179052261,primary,True,False,148.086,بلوار امام علی ( ع),37,"LINESTRING (47.7151884 33.1499472, 47.7154075 33.1496629, 47.7156005 33.1494651, 47.7160353 33.1491004, 47.7162367 33.1489549)",,
179052271,primary_link,False,True,12.383,,,"LINESTRING (47.7163248 33.1488913, 47.7163985 33.148984)",,
179059796,residential,False,False,28.468,معلم شمالی,,"LINESTRING (47.7087836 33.1552077, 47.7087577 33.1554628)",,
179059796,residential,False,True,31.055,معلم شمالی,,"LINESTRING (47.7087836 33.1552077, 47.7088101 33.1549293)",,
