osmid,lanes,highway,oneway,reversed,length,bridge,geometry
520994208,2,secondary,False,False,56.139,,"LINESTRING (48.561001 33.648959, 48.5612712 33.648507)"
520994208,2,secondary,False,True,66.283,,"LINESTRING (48.561001 33.648959, 48.560608 33.6494573)"
658850887,,unclassified,False,True,13.95,,"LINESTRING (48.561001 33.648959, 48.5608761 33.6488888)"
520994208,2,secondary,False,False,62.291,,"LINESTRING (48.5599165 33.6502285, 48.560342 33.6497945)"
658850882,,unclassified,False,True,23.585,,"LINESTRING (48.5599165 33.6502285, 48.5601668 33.6501888)"
"[444688945, 520994199]",2,secondary,False,True,77.961,yes,"LINESTRING (48.5599165 33.6502285, 48.5597598 33.6504053, 48.5595916 33.6505951, 48.55941 33.6507886)"
658850882,,unclassified,False,False,65.19300000000001,,"LINESTRING (48.5599165 33.6502285, 48.559988 33.6499655, 48.5602117 33.6497094)"
658850882,,unclassified,False,False,7.601,,"LINESTRING (48.5608761 33.6488888, 48.5609141 33.6488282)"
658850887,,unclassified,False,False,13.95,,"LINESTRING (48.5608761 33.6488888, 48.561001 33.648959)"
658850882,,unclassified,False,True,65.937,,"LINESTRING (48.5608761 33.6488888, 48.5605125 33.6493651, 48.5604923 33.6493883)"
658850882,,unclassified,False,False,95.614,,"LINESTRING (48.5611487 33.6484535, 48.5615563 33.6476634)"
658850882,,unclassified,False,True,46.984,,"LINESTRING (48.5611487 33.6484535, 48.5609141 33.6488282)"
658850888,,unclassified,False,False,12.805,,"LINESTRING (48.5611487 33.6484535, 48.5612712 33.648507)"
371090217,,tertiary,False,False,62.264,,"LINESTRING (48.5615563 33.6476634, 48.5608908 33.647582)"
658850882,,unclassified,False,True,95.614,,"LINESTRING (48.5615563 33.6476634, 48.5611487 33.6484535)"
658850889,,unclassified,False,False,14.831,,"LINESTRING (48.5615563 33.6476634, 48.5617088 33.6477043)"
658850882,,unclassified,False,False,231.428,,"LINESTRING (48.5615563 33.6476634, 48.5619935 33.6466191, 48.5623782 33.6456978)"
520994208,2,secondary,False,True,386.079,,"LINESTRING (48.5630725 33.6444235, 48.5628325 33.6450669, 48.5617088 33.6477043)"
658850882,,unclassified,False,False,393.017,,"LINESTRING (48.5630725 33.6444235, 48.563171 33.6446511, 48.5623127 33.6466013, 48.5618509 33.6477545)"
658850882,,unclassified,False,True,158.859,,"LINESTRING (48.5630725 33.6444235, 48.5628491 33.6445766, 48.5625273 33.6453409, 48.5623782 33.6456978)"
658850889,,unclassified,False,True,14.289,,"LINESTRING (48.5618509 33.6477545, 48.5617088 33.6477043)"
658850882,,unclassified,False,False,204.771,,"LINESTRING (48.5618509 33.6477545, 48.5615822 33.6482974, 48.5613888 33.6486407, 48.5610907 33.6491022, 48.5608614 33.649397)"
658850882,,unclassified,False,True,393.017,,"LINESTRING (48.5618509 33.6477545, 48.5623127 33.6466013, 48.563171 33.6446511, 48.5630725 33.6444235)"
658850882,,unclassified,False,False,23.585,,"LINESTRING (48.5601668 33.6501888, 48.5599165 33.6502285)"
658850882,,unclassified,False,True,45.077,,"LINESTRING (48.5601668 33.6501888, 48.5604625 33.6498667)"
"[658850883, 658850884, 658850973]",,unclassified,False,False,85.89099999999999,yes,"LINESTRING (48.5601668 33.6501888, 48.5600689 33.6502855, 48.5597177 33.650632, 48.5595203 33.6507325)"
444688945,2,secondary,False,True,13.555,,"LINESTRING (48.55941 33.6507886, 48.5593199 33.6508847)"
658850884,,unclassified,False,True,11.965,,"LINESTRING (48.55941 33.6507886, 48.5595203 33.6507325)"
"[444688945, 520994199]",2,secondary,False,False,77.961,yes,"LINESTRING (48.55941 33.6507886, 48.5595916 33.6505951, 48.5597598 33.6504053, 48.5599165 33.6502285)"
658850896,,unclassified,False,True,70.065,,"LINESTRING (48.55941 33.6507886, 48.5592912 33.6507366, 48.5590021 33.6510559, 48.5589141 33.6511491)"
658850882,,unclassified,False,False,45.077,,"LINESTRING (48.5604625 33.6498667, 48.5601668 33.6501888)"
658850885,,unclassified,False,False,13.743,,"LINESTRING (48.5604625 33.6498667, 48.560342 33.6497945)"
658850882,,unclassified,False,True,46.230999999999995,,"LINESTRING (48.5604625 33.6498667, 48.5606496 33.6496629, 48.560757 33.6495311)"
520994208,2,secondary,False,False,44.857,,"LINESTRING (48.560342 33.6497945, 48.560608 33.6494573)"
520994208,2,secondary,False,True,62.291,,"LINESTRING (48.560342 33.6497945, 48.5599165 33.6502285)"
658850885,,unclassified,False,False,15.33,,"LINESTRING (48.560342 33.6497945, 48.5602117 33.6497094)"
658850885,,unclassified,False,True,13.743,,"LINESTRING (48.560342 33.6497945, 48.5604625 33.6498667)"
658850882,,unclassified,False,False,44.152,,"LINESTRING (48.5602117 33.6497094, 48.5604923 33.6493883)"
658850885,,unclassified,False,True,15.33,,"LINESTRING (48.5602117 33.6497094, 48.560342 33.6497945)"
658850882,,unclassified,False,True,65.19300000000001,,"LINESTRING (48.5602117 33.6497094, 48.559988 33.6499655, 48.5599165 33.6502285)"
658850882,,unclassified,False,True,17.769,,"LINESTRING (48.560757 33.6495311, 48.5608614 33.649397)"
658850886,,unclassified,False,False,16.049,,"LINESTRING (48.560757 33.6495311, 48.560608 33.6494573)"
658850882,,unclassified,False,False,46.230999999999995,,"LINESTRING (48.560757 33.6495311, 48.5606496 33.6496629, 48.5604625 33.6498667)"
520994208,2,secondary,False,False,66.283,,"LINESTRING (48.560608 33.6494573, 48.561001 33.648959)"
520994208,2,secondary,False,True,44.857,,"LINESTRING (48.560608 33.6494573, 48.560342 33.6497945)"
658850886,,unclassified,False,False,13.174,,"LINESTRING (48.560608 33.6494573, 48.5604923 33.6493883)"
658850886,,unclassified,False,True,16.049,,"LINESTRING (48.560608 33.6494573, 48.560757 33.6495311)"
658850882,,unclassified,False,True,44.152,,"LINESTRING (48.5604923 33.6493883, 48.5602117 33.6497094)"
658850886,,unclassified,False,True,13.174,,"LINESTRING (48.5604923 33.6493883, 48.560608 33.6494573)"
658850882,,unclassified,False,False,65.937,,"LINESTRING (48.5604923 33.6493883, 48.5605125 33.6493651, 48.5608761 33.6488888)"
520994208,2,secondary,False,False,98.018,,"LINESTRING (48.5612712 33.648507, 48.5617088 33.6477043)"
520994208,2,secondary,False,True,56.139,,"LINESTRING (48.5612712 33.648507, 48.561001 33.648959)"
658850888,,unclassified,False,True,12.805,,"LINESTRING (48.5612712 33.648507, 48.5611487 33.6484535)"
520994208,2,secondary,False,True,98.018,,"LINESTRING (48.5617088 33.6477043, 48.5612712 33.648507)"
658850889,,unclassified,False,False,14.289,,"LINESTRING (48.5617088 33.6477043, 48.5618509 33.6477545)"
658850889,,unclassified,False,True,14.831,,"LINESTRING (48.5617088 33.6477043, 48.5615563 33.6476634)"
520994208,2,secondary,False,False,386.079,,"LINESTRING (48.5617088 33.6477043, 48.5628325 33.6450669, 48.5630725 33.6444235)"
444688945,2,secondary,False,False,72.104,,"LINESTRING (48.5588405 33.6513958, 48.5592124 33.6509993, 48.5593199 33.6508847)"
444688945,2,secondary,False,True,21.439,,"LINESTRING (48.5588405 33.6513958, 48.558738 33.651505, 48.5587024 33.6515504)"
"[658850881, 658850890]",,unclassified,False,True,34.885000000000005,,"LINESTRING (48.5588405 33.6513958, 48.5589624 33.6514742, 48.558838 33.6516281)"
658850891,,residential,False,False,12.324,,"LINESTRING (48.5587024 33.6515504, 48.5586123 33.6514688)"
