osmid,oneway,name,highway,reversed,length,maxspeed,geometry,junction,bridge
26922619,True,بلوار شهید سلیمانی,trunk,False,83.211,,"LINESTRING (53.352366 35.7071638, 53.3528687 35.707791)",,
310411019,False,ناصر خسرو,residential,False,96.99600000000001,30,"LINESTRING (53.352366 35.7071638, 53.3526124 35.7068791, 53.3526446 35.7068007, 53.3526499 35.7067266, 53.3526392 35.7066482, 53.3526446 35.7066134, 53.3526821 35.7065219, 53.3527894 35.7063912)",,
26922606,True,میدان شهدا,trunk,False,13.021,,"LINESTRING (53.3528934 35.708179, 53.3528283 35.7082079, 53.3527605 35.7082221)",roundabout,
26923341,True,خیابان امام خمینی,tertiary,False,123.602,,"LINESTRING (53.3528934 35.708179, 53.3534094 35.7087528, 53.3536517 35.7090355, 53.3536905 35.7090826)",,
203027453,True,میدان امام,tertiary,False,24.918,,"LINESTRING (53.3555911 35.7112339, 53.3556328 35.7112181, 53.3556781 35.7112116, 53.3557239 35.7112149, 53.3557671 35.7112277, 53.3558048 35.7112491, 53.3558344 35.7112777)",roundabout,
1108100289,False,امام خمینی,tertiary,False,17.571,,"LINESTRING (53.3557387 35.711491, 53.3558183 35.7116352)",,
203027453,True,میدان امام,tertiary,False,12.460999999999999,,"LINESTRING (53.3557387 35.711491, 53.3556934 35.7114975, 53.3556476 35.7114942, 53.3556043 35.7114815)",roundabout,
1108100289,False,امام خمینی,tertiary,False,32.909,,"LINESTRING (53.3568256 35.7134603, 53.3569389 35.7137416)",,
311450815,False,مالک اشتر,residential,False,112.309,30,"LINESTRING (53.3568256 35.7134603, 53.3565781 35.71354, 53.3565083 35.7135639, 53.3564601 35.7135552, 53.355894 35.7130376)",,
1108100289,False,امام خمینی,tertiary,True,77.58200000000001,,"LINESTRING (53.3568256 35.7134603, 53.3566497 35.7131416, 53.356508 35.7128849, 53.3564742 35.7128236)",,
26922606,True,میدان شهدا,trunk,False,23.570999999999998,,"LINESTRING (53.3529325 35.707832, 53.3529717 35.7078744, 53.352998 35.7079229, 53.3530101 35.707975, 53.3530073 35.7080279)",roundabout,
203027449,True,بلوار انقلاب,trunk,False,80.196,,"LINESTRING (53.3529325 35.707832, 53.3533247 35.7078167, 53.3538173 35.7077729)",,
26922606,True,میدان شهدا,trunk,False,13.762,,"LINESTRING (53.3527605 35.7082221, 53.3526822 35.7082209, 53.352611 35.7082042)",roundabout,
26922606,True,میدان شهدا,trunk,False,36.723,,"LINESTRING (53.352501 35.7078478, 53.35256 35.7078023, 53.3526324 35.7077722, 53.3527123 35.7077599, 53.3527933 35.7077663, 53.3528687 35.707791)",roundabout,
